#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::06 - Keigo::Recognition
これはコンピュータです。	これはこんぴゅーたです。	This is a computer.	丁寧語	です	polite copula	copula	[sound:008b12a898c8.mp3]	[sound:008b12a898c8.mp3]	module:06-keigo point:teineigo-bikago complexity:intro
明日行きます。	あしたいきます。	I will go tomorrow.	丁寧語	ます	polite verb	verb form	[sound:d601a12f9b13.mp3]	[sound:d601a12f9b13.mp3]	module:06-keigo point:teineigo-bikago complexity:intro frequency:top10k
これはございます。	これはございます。	This exists (formal).	丁寧語	ございます	very polite existence	exist	[sound:49b55b30a3e9.mp3]	[sound:49b55b30a3e9.mp3]	module:06-keigo point:teineigo-bikago complexity:intro
でございます。	でございます。	It is (very formal).	丁寧語	でございます	very formal copula	copula	[sound:b18e273ce17a.mp3]	[sound:b18e273ce17a.mp3]	module:06-keigo point:teineigo-bikago complexity:intro
よろしいでしょうか。	よろしいでしょうか。	Is that alright?	丁寧語	でしょうか	polite questioning	question	[sound:ee578af43918.mp3]	[sound:ee578af43918.mp3]	module:06-keigo point:teineigo-bikago complexity:intro
おはようございます。	おはようございます。	Good morning (formal).	丁寧語	ございます	polite greeting	greeting	[sound:e0db4dbed72c.mp3]	[sound:e0db4dbed72c.mp3]	module:06-keigo point:teineigo-bikago complexity:intro
お忙しいでしょうか。	おいそがしいでしょうか。	Are you busy?	丁寧語	でしょうか	polite inquiry	question	[sound:211da1e62115.mp3]	[sound:211da1e62115.mp3]	module:06-keigo point:teineigo-bikago complexity:intro frequency:top1k
お返事をいただきたいです。	おへんじをいただきたいです。	I would like a reply.	丁寧語	いただきたいです	polite desire	desire	[sound:6ee0e17cc7c2.mp3]	[sound:6ee0e17cc7c2.mp3]	module:06-keigo point:teineigo-bikago complexity:standard frequency:top5k
ご質問がございますか。	ごしつもんがございますか。	Do you have any questions?	丁寧語	ございますか	polite yes/no question	question	[sound:76220740d559.mp3]	[sound:76220740d559.mp3]	module:06-keigo point:teineigo-bikago complexity:intro frequency:top1k
ご説明いただけますか。	ごせつめいいただけますか。	Could you explain?	丁寧語	いただけますか	formal request	request	[sound:ecf2f17175bf.mp3]	[sound:ecf2f17175bf.mp3]	module:06-keigo point:teineigo-bikago complexity:intro frequency:top5k
