#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::05 - N1 Grammar::Cloze
そんなことは{{c1::しまい}}。	そんなことは。	しない意思。	[sound:3b49a7fb7572.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro source:shin-kanzen
彼はもう来{{c1::まい}}。	かれはもうらい。	来ないと思う。	[sound:9f0c1f8e659e.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top10k source:shin-kanzen
失敗する{{c1::まい}}と努力した。	しっぱいするとどりょくした。	失敗しない努力。	[sound:5778d7f233d6.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top10k source:shin-kanzen
そんなはずは{{c1::あるまい}}。	そんなはずは。	あり得ない。	[sound:6cc6f441e685.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro source:shin-kanzen
行かないわけには{{c1::いくまい}}。	いかないわけには。	行かざるを得ない。	[sound:0b68281c6342.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro source:shin-kanzen
二度とそんなことは{{c1::するまい}}。	にどとそんなことは。	しない決心。	[sound:0fc60c8fd846.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top10k source:shin-kanzen
彼は黙っていよう{{c1::まい}}。	かれはだまっていよう。	沈黙しない。	[sound:1dce64172032.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top5k source:shin-kanzen
本当に{{c1::そうではあるまいか}}。	ほんとうに。	そうではないか。	[sound:a8a41b7c01a6.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top1k source:shin-kanzen
彼もそう思う{{c1::まいか}}。	かれもそうおもう。	思うのではないか。	[sound:a7fedbd8ba22.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top5k source:shin-kanzen
言う{{c1::まじき}}言葉を話した。	いうことばをはなした。	言うべきでない言葉。	[sound:945f2d6ba061.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:top1k source:shin-kanzen
やる{{c1::まじき}}行為。	やるこうい。	やるべきでない行為。	[sound:accc619695c5.mp3]	module:05-n1 jlpt:n1 point:classical-negation complexity:intro frequency:low source:shin-kanzen
