#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast
部員は試合に___。	させられた	選ばれた	選ばれた	Passive: chosen, not forced (された)	Passive with に = selected/assigned	[sound:db2122a40e91.mp3]	
従業員は仕事を___。	させられた	与えられた	与えられた	Passive: given job, not forced to do	を + passive = assigned work	[sound:29aab4ae3a23.mp3]	
子どもが宿題を___。	させられた	させられた	させられた	Causative-passive: forced to do homework	を + causative-passive = forced action	[sound:2c3aadf03621.mp3]	
患者は治療を___。	させられた	受けられた	受けられた	Passive: receive treatment, not forced	を + passive = received	[sound:d0279086a55e.mp3]	
兵士は行進を___。	させられた	させられた	させられた	Causative-passive: forced to march	を + causative-passive = forced	[sound:025d5a7f7ec3.mp3]	
選手は練習に___。	させられた	招待された	招待された	Passive: invited, not forced to practice	に + passive = invited	[sound:869cd35aa83a.mp3]	
社員は研修を___。	させられた	させられた	 させられた	Causative-passive: forced to attend training	を + causative-passive = forced attendance	[sound:1816e101be93.mp3]	
学生は質問を___。	させられた	許された	許された	Passive: allowed to ask, not forced	を + passive = granted	[sound:c1d63217cc36.mp3]	
メンバーは秘密を___。	させられた	させられた	 させられた	Causative-passive: forced to keep secret	を + causative-passive = forced	[sound:160c80bb6902.mp3]	
アスリートは禁止食を___。	させられた	ささられた	させられた	Causative-passive: forced to avoid food	を + causative-passive = forced restriction	[sound:353e044f6f9b.mp3]	
権利が___。	与えられた	取られた	与えられた	Passive: given rights, not forced	を + passive = received	[sound:9f7467e19377.mp3]	
報告が___。	させられた	強制された	させられた	Causative-passive: forced to report	を + causative-passive = forced	[sound:13b4d3ef8ed8.mp3]	
儀式が___。	行われた	させられた	行われた	Passive: ceremony performed, not forced	が + passive = performed	[sound:254c0bb01d86.mp3]	
子どもを不安に___。	させた	起こされた	させた	Causative: made child anxious	を + causative = caused feeling	[sound:26a755c6fc01.mp3]	
負担を___。	ささせられた	背負わされた	背負わされた	Causative-passive: forced to bear burden	を + causative-passive = forced	[sound:5079488c66fe.mp3]	
責任が___。	与えられた	課せられた	与えられた	Passive: assigned responsibility, not forced	が + passive = assigned	[sound:02b3b928a727.mp3]	
雨に___。	降られた	させられた	降られた	Suffering passive: caught in rain	に + suffering passive = trouble	[sound:8fac69dd4eef.mp3]	
試験を受けさせられた。	させられた	した	させられた	Causative-passive: forced to take exam	を + causative-passive = forced	[sound:e07faff43ad0.mp3]	
制度が見直された。	見直された	させられた	見直された	Passive: system reviewed	が + passive = reviewed	[sound:994a466b2b5c.mp3]	
心配させられた。	させられた	心配した	させられた	Causative-passive: made to worry	を + causative-passive = forced	[sound:4fd974b2c665.mp3]	
