#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::07 - Casual::Recognition
#
毎日コーヒー飲みます。	まいにちこーひーのみます。	Drink coffee every day.	Direct object ellipsis	を (drops)	Object unmarked	Spoken natural	を (formal)	[sound:204ac5bdfc4d.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
本、読みました。	ほん、よみました。	Read a book.	Object omission	を (drops)	Book as topic-object	Natural speech	を (formal)	[sound:fd61660d9185.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
明日、来てください。	あした、きてください。	Come tomorrow.	Time particle ellipsis	に (drops)	Temporal destination	Directive	に (formal)	[sound:a13757bc7b0e.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
朝、八時に起きます。	あさ、はちじにおきます。	Wake up at eight in morning.	Time specification	に (embedded)	Temporal anchoring	Standard	に	[sound:858c2270efc1.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
ケーキ、食べた。	けーき、たべた。	Ate the cake.	Topic-object fusion	を (drops)	Cake focus	Casual narrative	を	[sound:30b16cfa9339.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
私が学生です。	わたしががくせいです。	I am a student.	Subject marked in formal context	が (topic-fronted)	Subject assertion	Standard marking	が	[sound:c3c30598d4e5.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
私、学生です。	わたし、がくせいです。	I'm a student.	Subject as topic	が (drops)	Self-introduction	Natural speech	が	[sound:9ce2530d6def.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
今日鉛筆で書きます。	きょうえんぴつでかきます。	Write with a pencil.	Instrument marked	で (stays)	Tool specification	Standard	で	[sound:cc3e0976a219.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
あきさんが来た。	あきさんがきた。	Aki came.	Subject specified	が (stays)	Subject assertion	Narrative	が	[sound:f228a618f392.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
あき、来た。	あき、きた。	Aki came.	Name as topic	が (drops)	Casual narrative	Natural speech	が	[sound:e672758b1390.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
弟に本をあげました。	おとうとにほんをあげました。	Gave a book to my brother.	Both particles marked	に＋を	Full syntax	Formal	に＋を	[sound:2f2fe31c37da.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
弟、本、あげました。	おとうと、ほん、あげました。	Gave my brother a book.	Both particles drop	に＋を (drops)	Casual narrative	Natural speech	に＋を	[sound:db345d4b5531.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
ペンでメモを書く。	ぺんでめもをかく。	Write memo with pen.	Full complement	で＋を	Tool + object	Standard	で＋を	[sound:720899fd7cca.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
ペン、メモ、書く。	ぺん、めも、かく。	Write memo with pen.	All particles drop	で＋を (drops)	Casual	Natural speech	で＋を	[sound:08c9b25a130f.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
明日学校に行きます。	あしたがっこうにいきます。	Go to school.	Destination marked	に (stays)	Location goal	Standard	に	[sound:c9d8d666abb6.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
学校、行きます。	がっこう、いきます。	Going to school.	Destination as topic	に (drops)	Natural speech	Conversational	に	[sound:15afd8383c50.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
はい、私は学生です。	はい、わたしはがくせいです。	As for me, I'm a student.	Topic-marked subject	は (stays)	Topic assertion	Standard	は	[sound:b95f9ecdbdc2.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
兄は来ました。妹は来ませんでした。	あにはきました。いもうとはきませんでした。	Older brother came. Younger sister didn't.	Topic contrast with は	は (stays)	Contrast marker	Contrastive	は	[sound:c1a6f1b96c17.mp3]	module:07-casual point:particle-ellipsis complexity:standard frequency:top10k source:imabi
兄、来ました。妹、来ませんでした。	あに、きました。いもうと、きませんでした。	Older brother came. Younger sister didn't.	Topic without particle	は (drops)	Natural narrative	Conversational	は	[sound:89b23bd67003.mp3]	module:07-casual point:particle-ellipsis complexity:standard frequency:top10k source:imabi
昼ご飯を食べます。	ひるごはんをたべます。	Eat lunch.	Object marked	を (stays)	Standard expression	Formal	を	[sound:459827b187bf.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
昼ご飯、食べます。	ひるごはん、たべます。	Eating lunch.	Object without particle	を (drops)	Natural speech	Conversational	を	[sound:e6c43f3e430d.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
田中さんが来ました。	たなかさんがきました。	Tanaka came.	Subject specified	が (stays)	New information	Marked assertion	が	[sound:a17edab54647.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
田中さん、来ました。	たなかさん、きました。	Tanaka came.	Name as topic	が (drops)	Natural narrative	Conversational	が	[sound:dd66d3e4265a.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top10k source:imabi
家に帰ります。	いえにかえります。	Go home.	Destination marked	に (stays)	Location goal	Standard	に	[sound:9bbd5f166f07.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
私の姉、医者です。	わたしのあね、いしゃです。	My older sister is a doctor.	Subject as topic (family)	が (drops)	Natural with family	Conversational	が	[sound:f672ab59f8ca.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
水で野菜を洗う。	みずでやさいをあらう。	Wash vegetables with water.	Full syntax	で＋を	Means + object	Standard	で＋を	[sound:ffa84ea4fb3d.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
水、野菜、洗う。	みず、やさい、あらう。	Wash vegetables with water.	All particles drop	で＋を (drops)	Natural speech	Conversational	で＋を	[sound:eead8def994b.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
窓から光が入ります。	まどからひかりがはいります。	Light enters from the window.	Source marked	から (stays)	Origin indication	Standard	から	[sound:6e92144ac806.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
窓、光、入ります。	まど、ひかり、はいります。	Light from window enters.	Source as topic	から (drops)	Natural speech	Casual	から	[sound:ab87fc12099b.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
木の下で待つ。	きのしたでまつ。	Wait under the tree.	Location marked	で (stays)	Place of action	Standard	で	[sound:12e446155b3a.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
木の下、待つ。	きのした、まつ。	Waiting under the tree.	Location as topic	で (drops)	Natural speech	Conversational	で	[sound:62888fc5396e.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
やっぱ私が好きです。	やっぱわたしがすきです。	I like it.	Subject with が	が (stays)	Preference assertion	Standard	が	[sound:0c968e1460e2.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
空に星が見えます。	そらにほしがみえます。	Stars are visible in the sky.	Location + subject	に＋が	Existential marking	Standard	に＋が	[sound:d4ebb952cc6c.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
空、星、見えます。	そら、ほし、みえます。	Stars visible in the sky.	All particles drop	に＋が (drops)	Natural speech	Conversational	に＋が	[sound:874d8eb260f7.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
店で靴を買った。	みせでくつをかった。	Bought shoes at the store.	Location + object	で＋を	Where + what	Standard	で＋を	[sound:66bfee75b26f.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
店、靴、買った。	みせ、くつ、かった。	Bought shoes at the store.	Both particles drop	で＋を (drops)	Natural narrative	Conversational	で＋を	[sound:62f3e15d9ce1.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top1k source:imabi
彼女に花をあげた。	かのじょにはなをあげた。	Gave flowers to girlfriend.	Recipient + object	に＋を	Full syntax	Standard	に＋を	[sound:328fa3b21634.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
彼女、花、あげた。	かのじょ、はな、あげた。	Gave flowers to girlfriend.	Both particles drop	に＋を (drops)	Natural narrative	Conversational	に＋を	[sound:236caa15208d.mp3]	module:07-casual point:particle-ellipsis complexity:intro frequency:top5k source:imabi
