#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::06 - Keigo::Recognition
お客さんがお待ちになります。	おきゃくさんがおまちになります。	The customer will wait.	敬語	お+stem+になる	sonkei お+V+になる	honorific pattern	[sound:3c44f8995a61.mp3]	[sound:3c44f8995a61.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top5k source:dictionary-of-jp-grammar
お薬をお作りになります。	おくすりをおつくりになります。	The doctor will make medicine.	敬語	お+stem+になる	sonkei お+V+になる	honorific pattern	[sound:d2f5b200e49e.mp3]	[sound:d2f5b200e49e.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:low source:dictionary-of-jp-grammar
お読みになってください。	およみになってください。	Please read (honorific).	敬語	お+stem+になる	sonkei お+V+になる	honorific pattern	[sound:00e79b05bdcd.mp3]	[sound:00e79b05bdcd.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:top10k source:dictionary-of-jp-grammar
お帰りになりました。	おかえりになりました。	He/she went home.	敬語	お+stem+になる	sonkei お+V+になる	honorific pattern	[sound:b5816470b7c4.mp3]	[sound:b5816470b7c4.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:top5k source:dictionary-of-jp-grammar
ご覧になりましたか。	ごらんになりましたか。	Did you see?	敬語	ご+stem+になる	sonkei ご+V+になる	honorific pattern	[sound:9b96ef0ef77e.mp3]	[sound:9b96ef0ef77e.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro source:dictionary-of-jp-grammar
ご説明になります。	ごせつめいになります。	He/she will explain.	敬語	ご+stem+になる	sonkei ご+V+になる	honorific pattern	[sound:897687b06dcc.mp3]	[sound:897687b06dcc.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:top5k source:dictionary-of-jp-grammar
お話しになりました。	おはなしになりました。	He/she spoke.	敬語	お+stem+になる	sonkei お+V+になる	honorific pattern	[sound:d95e7ffd92c0.mp3]	[sound:d95e7ffd92c0.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:top1k source:dictionary-of-jp-grammar
ご指摘になります。	ごしてきになります。	He/she points out.	敬語	ご+stem+になる	sonkei ご+V+になる	honorific pattern	[sound:b05291735405.mp3]	[sound:b05291735405.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:low source:dictionary-of-jp-grammar
お受けになりました。	おうけになりました。	He/she accepted.	敬語	お+stem+になる	sonkei お+V+になる	honorific pattern	[sound:6c823fedf76c.mp3]	[sound:6c823fedf76c.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro source:dictionary-of-jp-grammar
ご検討をお願いいたします。	ごけんとうをおねがいいたします。	Please consider (humbly).	敬語	ご・する	kenjo ご+N+する	humble pattern	[sound:1b41c443bc93.mp3]	[sound:1b41c443bc93.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top10k source:dictionary-of-jp-grammar
ご報告させていただきます。	ごほうこくさせていただきます。	I will humbly report.	敬語	ご+stem+する	kenjo ご+V+する	humble pattern	[sound:053bfbd1213a.mp3]	[sound:053bfbd1213a.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top10k source:dictionary-of-jp-grammar
ご案内いたします。	ごあんないいたします。	I will guide (humbly).	敬語	ご+stem+いたす	kenjo ご+V+いたす	humble pattern	[sound:3a282de7d4e0.mp3]	[sound:3a282de7d4e0.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:top5k source:dictionary-of-jp-grammar
ご紹介させていただきました。	ごしょうかいさせていただきました。	I humbly introduced.	敬語	ご+stem+させていただく	kenjo ご+V+させていただく	humble pattern	[sound:0261fcbbc334.mp3]	[sound:0261fcbbc334.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top5k source:dictionary-of-jp-grammar
ご承認をさせていただきたい。	ごしょうにんをさせていただきたい。	I wish to humbly approve.	敬語	ご+stem+させていただく	kenjo ご+V+させていただく	humble pattern	[sound:775dd40c5f8e.mp3]	[sound:775dd40c5f8e.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top10k source:dictionary-of-jp-grammar
お手伝いさせていただきます。	おてつだいさせていただきます。	I will humbly help.	敬語	お+stem+させていただく	kenjo お+V+させていただく	humble pattern	[sound:d98027242ca3.mp3]	[sound:d98027242ca3.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top10k source:dictionary-of-jp-grammar
お返事いたします。	おへんじいたします。	I will reply (humbly).	敬語	お+stem+いたす	kenjo お+V+いたす	humble pattern	[sound:0554ec66cc90.mp3]	[sound:0554ec66cc90.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:intro frequency:top5k source:dictionary-of-jp-grammar
ご質問にお答えいたします。	ごしつもんにおこたえいたします。	I will humbly answer your question.	敬語	お+stem+いたす	kenjo お+V+いたす	humble pattern	[sound:44f2922855f7.mp3]	[sound:44f2922855f7.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top5k source:dictionary-of-jp-grammar
お申し込みをさせていただきます。	おもうしこみをさせていただきます。	I will humbly apply.	敬語	お+stem+させていただく	kenjo お+V+させていただく	humble pattern	[sound:540c09487494.mp3]	[sound:540c09487494.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard source:dictionary-of-jp-grammar
ご利用させていただいております。	ごりようさせていただいております。	I am humbly using.	敬語	ご+stem+させていただく	kenjo ご+V+させていただく	humble pattern	[sound:abc56a3af31b.mp3]	[sound:abc56a3af31b.mp3]	module:06-keigo point:o-stem-ni-naru-suru complexity:standard frequency:top5k source:dictionary-of-jp-grammar
