#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

I don't know whether or not he's coming.	彼が来るかどうか分からない。	かれがくるかどうかわからない。	彼が来るかどうか分からない。	かどうか: binary uncertainty — embeds yes/no question: does X happen or not?	[sound:796c98c250a4.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
Let's check whether or not that's true.	それが本当かどうか確認しよう。	それがほんとうかどうかかくにんしよう。	それが本当かどうか確認しよう。	かどうか: truth-check framing — 'is this real or not' as embedded question	[sound:bbcb3dd0ed63.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
I asked whether or not she would agree.	彼女が同意するかどうか聞いてみた。	かのじょがどういするかどうかきいてみた。	彼女が同意するかどうか聞いてみた。	かどうか: consent uncertainty — will agreement be given or refused?	[sound:bd41672d80f1.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:low source:shin-kanzen
It's uncertain whether or not it will succeed.	成功するかどうかは分からない。	せいこうするかどうかはわからない。	成功するかどうかは分からない。	かどうか: outcome uncertainty — success or failure outcome unresolved	[sound:0161d0866e82.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
Let's watch whether or not that plan is implemented.	その計画が実行されるかどうか見守ろう。	そのけいかくがじっこうされるかどうかみまもろう。	その計画が実行されるかどうか見守ろう。	かどうか: execution uncertainty — whether planned action will occur (passive)	[sound:fdab9fee8d02.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
I checked the forecast to see if it will rain or not.	雨が降るかどうか天気予報を見た。	あめがふるかどうかてんきよほうをみた。	雨が降るかどうか天気予報を見た。	かどうか: weather check — forecast consulted to resolve yes/no possibility	[sound:9ac1850ae2c7.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
It's doubtful whether or not he's serious.	彼が本気かどうか疑わしい。	かれがほんきかどうかうたがわしい。	彼が本気かどうか疑わしい。	かどうか: sincerity doubt — binary question: genuinely meant or not?	[sound:f60834773c1c.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:low source:shin-kanzen
We tested whether or not the new product would sell.	新しい製品が売れるかどうか試してみた。	あたらしいせいひんがうれるかどうかためしてみた。	新しい製品が売れるかどうか試してみた。	かどうか: market test framing — sales viability as yes/no commercial question	[sound:121e6bc6beea.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
I don't know where he lives.	彼はどこに住んでいるか分からない。	かれはどこにすんでいるかわからない。	彼はどこに住んでいるか分からない。	indirect WH: どこ — location unknown; location embedded in unknowing clause	[sound:2b2a8351459a.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
Please tell me what time we're departing.	何時に出発するか教えてください。	なんじにしゅっぱつするかおしえてください。	何時に出発するか教えてください。	indirect WH: 何時 — departure time embedded as indirect information request	[sound:ac5d2b00ceee.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
Do you know who did that?	誰がそれをしたか知っていますか。	だれがそれをしたかしっていますか。	誰がそれをしたか知っていますか。	indirect WH: 誰 — actor unknown; identity embedded in knowing-verb clause	[sound:09311b90257b.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top1k source:shin-kanzen
I want to hear why he was late.	なぜ遅刻したか理由を聞きたい。	なぜちこくしたかりゆうをききたい。	なぜ遅刻したか理由を聞きたい。	indirect WH: なぜ — reason for action embedded in wanting-to-know structure	[sound:b5b2b33a0216.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
I'm undecided which book is most interesting.	どの本が一番面白いか迷っている。	どのほんがいちばんおもしろいかまよっている。	どの本が一番面白いか迷っている。	indirect WH: どの — choice among options embedded in deliberation clause	[sound:655dd5dc801b.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top1k source:shin-kanzen
I got an estimate of how much it costs.	いくらかかるか見積もりを取った。	いくらかかるかみつもりをとった。	いくらかかるか見積もりを取った。	indirect WH: いくら — cost amount embedded as indirect financial question	[sound:2dcb038b8e6a.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:low source:shin-kanzen
It's unclear how long it will last.	どのくらい続くか不明だ。	どのくらいつづくかふめいだ。	どのくらい続くか不明だ。	indirect WH: どのくらい — duration unknown; embedded in state of uncertainty	[sound:149ed35b79f8.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:intro frequency:low source:shin-kanzen
I asked what he wanted to eat.	何を食べたいか聞いた。	なにをたべたいかきいた。	何を食べたいか聞いた。	indirect WH: 何 — desired object embedded as indirect inquiry about preference	[sound:83370056a4c9.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:intro frequency:top1k source:shin-kanzen
I won't know how the movie is until I see it.	今度の映画がどうかは見てみないと分からない。	こんどのえいががどうかはみてみないとわからない。	今度の映画がどうかは見てみないと分からない。	indirect WH: どう — quality judgment embedded; must experience to know	[sound:41cbebfdff42.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
I'm waiting for tomorrow to come.	明日がいつ来るか待っている。	あしたがいつくるかまっている。	明日がいつ来るか待っている。	indirect WH: いつ — time-point embedded; waiting for the moment to resolve	[sound:2bbc1f1cb53f.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top1k source:shin-kanzen
I'm looking forward to how it will turn out.	どんな風になるか楽しみだ。	どんなかぜになるかたのしみだ。	どんな風になるか楽しみだ。	indirect WH: どんな — manner/form unknown; anticipation of unspecified state	[sound:a57f1cfea96e.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
Let's watch how this plan progresses.	この計画がどう進むか見守ろう。	このけいかくがどうすすむかみまもろう。	この計画がどう進むか見守ろう。	indirect WH: どう — development manner embedded; future progress unknown	[sound:da8923c95a63.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
I confirmed when summer vacation starts.	夏休みがいつ始まるか確認した。	なつやすみがいつはじまるかかくにんした。	夏休みがいつ始まるか確認した。	indirect WH: いつ — start date embedded in checking action clause	[sound:c8d52591d38b.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
I don't understand why he's not coming.	彼がなぜ来ないか理由が分からない。	かれがなぜこないかりゆうがわからない。	彼がなぜ来ないか理由が分からない。	indirect WH: なぜ — reason for absence embedded as mystery to speaker	[sound:db28932db5fa.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top10k source:shin-kanzen
Please explain why you failed.	どうして失敗したか説明してください。	どうしてしっぱいしたかせつめいしてください。	どうして失敗したか説明してください。	indirect WH: どうして — failure cause requested as indirect explanation	[sound:9a5a8930474f.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
I don't understand why she's angry.	彼女が怒った理由がわからない。	かのじょがいかったりゆうがわからない。	彼女が怒った理由がわからない。	indirect WH: 理由 — underlying cause of anger unknown; reason-noun as WH	[sound:587c1cf407e4.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
I want to know the reason for failing the exam.	試験に落ちたわけを知りたい。	しけんにおちたわけをしりたい。	試験に落ちたわけを知りたい。	indirect WH: わけ — deeper reason for failure; わけ asks for logical explanation	[sound:10ea3d713196.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
I want to check what today's weather is like.	今日の天気がどんなか見ておきたい。	きょうのてんきがどんなかみておきたい。	今日の天気がどんなか見ておきたい。	indirect WH: どんな — weather quality embedded in wanting-to-check desire	[sound:66acf1eced76.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top1k source:shin-kanzen
I want to verify whether or not that story is true.	その話が本当かどうか確かめたい。	そのはなしがほんとうかどうかたしかめたい。	その話が本当かどうか確かめたい。	かどうか: re-confirmation framing — speaker wants to verify truth yes/no	[sound:3ac19a7c1632.mp3]	module:02-n4 jlpt:n4 point:かどうか complexity:standard frequency:top5k source:shin-kanzen
