#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::03 - N3 Grammar::Cloze
#
責任は本人{{c1::だけが}}持つ。	せきにんはほんにん{{c1::だけが}}もつ。	only person	[sound:5bf2aa308c35.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top10k complexity:intro
{{c1::大人がましい}}子。	{{c1::おとながましい}}こ。	seems mature	[sound:786477e30ef4.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k complexity:intro
不幸{{c1::めいた}}話。	ふこう{{c1::めいた}}はなし。	tone of misfortune	[sound:7735938f1e41.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top10k complexity:intro
{{c1::大人ぶる}}。	{{c1::おとなぶる}}。	pretends maturity	[sound:ac835d27b087.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top1k complexity:intro
和風{{c1::ぶり}}。	わふう{{c1::ぶり}}。	Japanese-style quality	[sound:bb5e8f325412.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top1k complexity:intro
少年{{c1::っぽい}}。	しょうねん{{c1::っぽい}}。	boyish	[sound:c1106ca5a340.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top10k complexity:intro
この条件{{c1::のみ}}。	このじょうけん{{c1::のみ}}。	only this	[sound:cf5a43937510.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top10k complexity:intro
友達{{c1::づらをする}}。	ともだち{{c1::づらをする}}。	acts like friend	[sound:954a6dbaa0bd.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top1k complexity:intro
子どもぐらい{{c1::背が低い}}。	こどもぐらい{{c1::せがひくい}}。	height as short as child	[sound:006cab82ea99.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k complexity:intro
いい{{c1::目をしている}}。	いい{{c1::めをしている}}。	has good eyes	[sound:5ad73d0c943f.mp3]	module:03-n3 jlpt:n3 point:n3-misc-suffixes complexity:standard frequency:top5k frequency:top1k complexity:intro
