#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

りんごが三つあります。	りんごがみっつあります。	There are three apples.	つ counter (generic)	Number + つ (small objects, hitotsu-system)	counts generic objects up to ten	generic counter	つ = general objects; 個 (ko) = individual items (sino)	[sound:c1dc222bd08b.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
学生が五人います。	がくせいがごにんいます。	There are five students.	人 counter (people)	Number + 人 (にん / ひとり / ふたり)	counts people	people counter	一人=ひとり, 二人=ふたり are irregular; 三人以上=にん	[sound:631b09498fb0.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
本を二冊買いました。	ほんをにさつかいました。	I bought two books.	冊 counter (bound books)	Number + 冊 (さつ)	counts bound volumes	books/volumes	冊 for books/magazines; 枚 for flat things	[sound:feccd2fb4ddd.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
鉛筆が三本あります。	えんぴつがさんぼんあります。	There are three pencils.	本 counter (long thin objects)	Number + 本 (ほん/ぼん/ぽん)	counts long cylindrical objects	long thin things	一本=いっぽん, 三本=さんぼん, 六本=ろっぽん (rendaku)	[sound:2f0d28926f16.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
猫が二匹います。	ねこがにひきいます。	There are two cats.	匹 counter (small animals)	Number + 匹 (ひき/びき/ぴき)	counts small animals	small animals	一匹=いっぴき, 三匹=さんびき, 六匹=ろっぴき	[sound:ab32ae057373.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
紙を四枚ください。	かみをよんまいください。	Please give me four sheets of paper.	枚 counter (flat things)	Number + 枚 (まい)	counts flat, thin objects	flat objects	枚: paper, plates, shirts, stamps — all flat items	[sound:f3fc77316f29.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
コーヒーを一杯飲みました。	こーひーをいっぱいのみました。	I drank one cup of coffee.	杯 counter (cups/glasses)	Number + 杯 (はい/ばい/ぱい)	counts cupfuls or bowlfuls	drinks in cups	一杯=いっぱい, 三杯=さんばい, 六杯=ろっぱい	[sound:0dd0add76de9.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top5k complexity:standard
バスが五台止まっています。	ばすがごだいとまっています。	Five buses are stopped.	台 counter (machines/vehicles)	Number + 台 (だい)	counts machines, vehicles, large appliances	machines/vehicles	台: cars, buses, TVs, computers (machinery)	[sound:acaa8ca8a59c.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:standard
三回練習しました。	さんかいれんしゅうしました。	I practiced three times.	回 counter (times/occurrences)	Number + 回 (かい)	counts how many times an action occurs	frequency counter	回 vs 度: both = times; 度 feels more formal/temperature	[sound:be5ba5e2fa3f.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top1k complexity:intro
一週間で千円使いました。	いっしゅうかんでせんえんつかいました。	I spent 1,000 yen in one week.	Large numbers (千/万)	百 (100) / 千 (1,000) / 万 (10,000)	large number vocabulary	hundreds and thousands	一万=10,000; 十万=100,000; 百万=1,000,000	[sound:83d1dc41b3a7.mp3]	module:00-foundation jlpt:n5 source:shin-kanzen source:authored point:numbers-counters source:curated-jpgram frequency:top10k complexity:intro
