#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
それは事実に相違ありません。	にちがいない	に決まっている	に相違ない	に相違ない = no doubt/undoubtedly (formal)	No doubt about that fact	[sound:ce843f05cbb8.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:standard
彼の勝利に相違ない。	にちがいない	に決まっている	に相違ない	に相違ない = certain/undeniable (formal)	His victory is undeniable	[sound:f229407b7331.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:intro
明日は雨が降るにちがいない。	に相違ない	に決まっている	にちがいない	にちがいない = must be/surely	It must rain tomorrow	[sound:55173c8368b2.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:top1k complexity:standard
彼がやったにちがいない。	に相違ない	に決まっている	にちがいない	にちがいない = must have (inference)	He must have done it	[sound:cc20347e39b6.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:top5k complexity:intro
絶対に失敗に決まっている。	に相違ない	にちがいない	に決まっている	に決まっている = bound to/certain (emphatic)	Absolutely bound to fail	[sound:291d2ce4e857.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:standard
そんなことが成功に決まっている。	に相違ない	にちがいない	に決まっている	に決まっている = bound to/determined (certain)	Bound to succeed at such thing	[sound:1fd438e44da7.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:standard
その話は本当に相違ありません。	にちがいない	に決まっている	に相違ない	に相違ない = no mistake/definitely (formal)	That story is definitely true	[sound:c6b2bc03f132.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:standard
彼のメッセージは急いでいるに決まっている。	に相違ない	にちがいない	に決まっている	に決まっている = obvious/evident	Obviously his message is urgent	[sound:ac5aac3393a5.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:standard
その会社は潰れるに相違ありません。	にちがいない	に決まっている	に相違ない	に相違ない = bound to/certainly (formal)	That company is bound to fail	[sound:fe2126f75262.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:standard
彼は来るに決まっている。	に相違ない	にちがいない	に決まっている	に決まっている = certain to/sure to	He's sure to come	[sound:832a67400ac4.mp3]	module:05-n1 jlpt:n1 register:literary point:n1-modality-judgement-advanced pos:expr frequency:low complexity:intro
