#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::05 - N1::Production
#
Whether product quality or price, customer satisfaction comes first.	〜にせよ...にせよ	しょうひんのひんしつにせよかかくにせよ、こきゃくまんぞくがさいゆうせんである。	商品の品質にせよ価格にせよ、顧客満足が最優先である。	Dual condition	[sound:ba000d4083f3.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Whatever the implementation method, goal achievement is essential.	〜がどうであれ	じっしほうほうがどうであれ、もくひょうたっせいはひっすである。	実施方法がどうであれ、目標達成は必須である。	Outcome-independent	[sound:7b2193847299.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Even if staff changes, quality maintenance remains unchanged.	〜があろうとも	たんとうしゃのこうたいがあろうとも、ひんしついじはかわらない。	担当者の交替があろうとも、品質維持は変わらない。	Assured continuity	[sound:2064aabae87b.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Big plan or small, the start date is the same.	〜かろうが...かろうが	けいかくのきぼがおおきかろうがちいさかろうが、じっこうかいしびはおなじだ。	計画の規模が大きかろうが小さかろうが、実行開始日は同じだ。	Size indifference	[sound:0899ce17cd7a.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:advanced frequency:low source:shin-kanzen
Schedule changes aside, delivery date is strictly observed.	〜はともあれ	すけじゅーるへんこうはともあれ、でりばりーびはげんしゅするする。	スケジュール変更はともあれ、デリバリー日は厳守する。	Override focus	[sound:5c150d2e4c57.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
Despite individual differences, standard response is recommended.	〜があるにせよ	こじんさがあるにせよ、ひょうじゅんてきなたいおうをすいしょうする。	個人差があるにせよ、標準的な対応を推奨する。	Guideline anchor	[sound:ff04dbea4bdc.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Regardless of progress status, monthly reports are mandatory.	〜いかんにせよ	しんちょくじょうきょういかんにせよ、つきまつほうこくはひっすである。	進捗状況いかんにせよ、月末報告は必須である。	Unconditional	[sound:f56d6408bcaf.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Whether the project becomes cross-departmental, responsibility is clear.	〜になるにしろ	ぶもんをおうだんしたぷろじぇくとになるにしろ、せきにんはめいかくにする。	部門を横断したプロジェクトになるにしろ、責任は明確にする。	Clarity anchor	[sound:5310bb6b3c09.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:advanced frequency:low source:shin-kanzen
Profit pursuit aside, we must not forget social responsibility.	〜はともあれ	りえきついきゅうはともあれ、しゃかいせきにんをわすれてはいけない。	利益追求はともあれ、社会責任を忘れてはいけない。	Value hierarchy	[sound:d7a6fde57cae.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
Technology adoption merits aside, safety assurance is paramount.	〜の是非はともあれ	しんきぎじゅつどうにゅうのぜひはともあれ、あんぜんせいかくほはさいじゅうようである。	新規技術導入の是非はともあれ、安全性確保は最重要である。	Absolute requirement	[sound:1ff20c909231.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:advanced frequency:low source:shin-kanzen
Free from past policy constraints, we should make fresh judgments.	〜に縛られることなく	かこのほうしんにしばられることなく、あらたなはんだんをすべきだ。	過去の方針に縛られることなく、新たな判断をすべきだ。	Constraint release	[sound:1f9afeca5335.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Whether or not success cases exist, examine your own strategy.	〜にかかわらず	せいこうれいがあるなしにかかわらず、じしゃのせんりゃくをけんとうすべき。	成功例があるなしにかかわらず、自社の戦略を検討すべき。	Self-determination	[sound:1c311c6812ca.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:advanced frequency:top10k source:shin-kanzen
Though we cannot meet all individual requests, dialogue is essential.	〜にしろ	ここのようぼうすべてにおうじることはできないにしろ、たいわしせいはたいせつだ。	個々の要望すべてに応じることはできないにしろ、対話姿勢は大切だ。	Balanced approach	[sound:7f449ac33158.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:advanced frequency:low source:shin-kanzen
Whatever the result, process evaluation matters.	〜がどうあれ	けっかがどうあれ、ぷろせすのひょうかがじゅうようである。	結果がどうあれ、プロセスの評価が重要である。	Method emphasis	[sound:3a03c384ffdd.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
With any candidate, ultimately we have no choice but to vote.	〜にせよ	どのこうほにせよ、さいしゅうてきにはとうひょうできめるしかない。	どの候補にせよ、最終的には投票で決めるしかない。	Either-or marker	[sound:f1fb905bc5c6.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
Rain or shine, we depart tomorrow.	〜にしろ	あめにしろはれにしろ、あしたはしゅっぱつする。	雨にしろ晴れにしろ、明日は出発する。	Colloquial either-or	[sound:5bb9feec24b5.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top5k source:shin-kanzen
Whether past or present, human nature doesn't change.	〜であれ	かこであれげんざいであれ、にんげんのほんしつはかわらない。	過去であれ現在であれ、人間の本質は変わらない。	Literary alternative	[sound:8ebd871538f8.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Whether success or failure, experience is never wasted.	〜であろうと	せいこうであろうとしっぱいであろうと、けいけんはむだにならない。	成功であろうと失敗であろうと、経験は無駄にならない。	Literary acknowledgment	[sound:04d5b397051e.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
The distant future matters even more than the near future.	〜にもまして	ちかいしょうらいにもまして、とおいみらいがじゅうようだ。	近い将来にもまして、遠い未来が重要だ。	Exceeding comparison	[sound:de603f6a661b.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
In contrast to last year's recession, this year is booming.	〜にひきかえ	さくねんのふきょうにひきかえ、こんねんはこうきょうだ。	昨年の不況にひきかえ、今年は好況だ。	Dramatic opposition	[sound:cc89068fc362.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Without success, we cannot move to the next stage.	〜なくしては	せいこうなくしては、あらたなだんかいにすすめない。	成功なくしては、新たな段階に進めない。	Requirement negation	[sound:538d728ca3a5.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Not only effort, but luck is necessary too.	〜ばかりか	どりょくばかりか、うんもひつようだ。	努力ばかりか、運も必要だ。	Inclusive addition	[sound:05d80cec648f.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:intro frequency:top10k source:shin-kanzen
We evaluate not only results but also the process.	〜ばかりでなく	けっかばかりでなく、ぷろせすもひょうかする。	結果ばかりでなく、プロセスも評価する。	Inclusive negation	[sound:e6cada568007.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
Regardless of government change, basic policy remains.	〜にせよ	せいけんこうたいにせよ、きほんほうしんはかわらない。	政権交代にせよ、基本方針は変わらない。	Political acceptance	[sound:4ab9b6d09e60.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
Whether pursuing profit, ethics must not be forgotten.	〜であれ	りえきついきゅうであれ、りんりかんをわすれてはならない。	利益追求であれ、倫理観を忘れてはならない。	Conditional caution	[sound:153c127b471f.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
Big or small decisions, responsibility is the same.	〜であろうと	おおきなけっていであろうとちいさなけっていであろうと、せきにんはおなじだ。	大きな決定であろうと小さな決定であろうと、責任は同じだ。	Equalization	[sound:0b356bc2894b.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:advanced frequency:top10k source:shin-kanzen
The sense of fulfillment exceeds even the difficulties.	〜にもまして	こんなんにもまして、やりがいがおおきい。	困難にもまして、やりがいが大きい。	Positive surpassing	[sound:3961f818de5f.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:top10k source:shin-kanzen
In contrast to defeat, victory's joy is immense.	〜にひきかえ	はいぼくにひきかえ、しょうりのよろこびはおおきい。	敗北にひきかえ、勝利の喜びは大きい。	Feeling contrast	[sound:cbcec4ec2def.mp3]	module:05-n1 jlpt:n1 point:n1-abstract-relations complexity:standard frequency:low source:shin-kanzen
