#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition

私は先生に宿題をさせられた。	わたしはせんせいにしゅくだいをさせられた。	I was made by the teacher to do homework.	使役受身	noun + に + V-せ / さ-せられる	forced action	causative-passive	obligation	[sound:3a0a358579d7.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
彼は親に勉強させられている。	かれはおやにべんきょうさせられている。	he is being made by his parents to study.	使役受身	noun + に + V-さ-せられ-ている	ongoing force	causative-passive	education	[sound:a8c04e2ad5e5.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
先生に相談させていただきました。	せんせいにそうだんさせていただきました。	I humbly consulted with my teacher.	させてもらう	V-させ + ていただく	humble request	respectful	courtesy	[sound:ed94f20d492b.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
この案件を担当させていただきたいです。	このあんけんをたんとうさせていただきたいです。	I would like to humbly take on this project.	させていただく	V-させ + ていただきたい	formal request	respectful	work	[sound:49a2f7b8003c.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
ドアを開ける。	どあをひらける。	open the door (transitive).	開ける	object + を + V	transitive	direct action	doors	[sound:147af2399824.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
ドアが開く。	どあがひらく。	the door opens (intransitive).	開く	subject + が + V	intransitive	spontaneous	doors	[sound:49276ea08fc4.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
機械を始める。	きかいをはじめる。	start the machine (transitive).	始める	object + を + V	transitive	direct action	machines	[sound:0ccd7dc8c0a5.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
機械が始まる。	きかいがはじまる。	the machine starts (intransitive).	始まる	subject + が + V	intransitive	spontaneous	machines	[sound:87c7b483a3e2.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
その話には感心させられた。	そのはなしにはかんしんさせられた。	I was impressed by that story (felt impressed).	自発の受身	noun + に + V-ら-れ-た	involuntary admiration	impressed	feeling	[sound:a5a844a450ef.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
彼の才能には驚かされた。	かのさいのうにはおどろかされた。	I was struck by his talent (couldn't help being amazed).	自発の受身	noun + に + V-ら-れ-た	involuntary amazement	amazed	talent	[sound:9671e6a98c6c.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
美しい景色に心奪われた。	うつくしいけしきにこころうばわれた。	I was captivated by the beautiful scenery.	自発の受身	noun + に + V-ら-れ-た	involuntary captivation	captivated	beauty	[sound:96ba9239d4d7.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
息子に手伝わせた。	むすこにてつだわせた。	I had my son help.	使役	noun + に + V-わ-せ-た	causative simple	request	family	[sound:4675266928f6.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
兄に支度させられた。	あににしたくさせられた。	I was made by my brother to prepare.	使役受身	noun + に + V-ら-れ-た	forced preparation	forced	family	[sound:cd577cb42297.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
田中さんに報告させていただきます。	たなかさんにほうこくさせていただきます。	I will humbly report to Tanaka.	させていただく	noun + に + V-させ + ていただく	formal report	respectful	work	[sound:6da38b6625a8.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
窓を閉じる。	まどをとじる。	close the window (transitive).	閉じる	object + を + V	transitive	direct action	windows	[sound:783b3546b30a.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
窓が閉じる。	まどがとじる。	the window closes (intransitive).	閉じる	subject + が + V	intransitive	spontaneous	windows	[sound:a232dfcf0bf6.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
使用人に荷物を運ばせた。	しようにんににもつをはこばせた。	I had the servant carry the luggage.	使役	noun + に + object + を + V-ばせ	causative action	service	work	[sound:d36229799d9f.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
彼に任務を実行させた。	かれににんむをじっこうさせた。	I had him execute the mission.	使役	noun + に + object + を + V-さ-せ-た	causative execution	delegation	work	[sound:2abf6e7f427a.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
部下に書類を整理させられた。	ぶかにしょるいをせいりさせられた。	I was made by my subordinate to organize documents.	使役受身	noun + に + object + を + V-ら-れ-た	passive force	forced	bureaucracy	[sound:62a10cade145.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
先生の指導のおかげで合格できた。	せんせいのしどうのおかげでごうかくできた。	thanks to the teacher's guidance, I was able to pass.	恩恵	noun + の + おかげで + V	passive benefit	gratitude	success	[sound:1e957d9d5d59.mp3]	module:04-n2 jlpt:n2 point:passive-causative-advanced
