#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::05 - N1 Grammar::Production

He seemed anxious in some indescribable way.	～とやら	かれはなんともやら、ふあんそうにみえた。	彼は何ともやら、不安そうに見えた。	やら: literary uncertainty particle — 'I wonder what/how'; open-ended wondering	[sound:d0a135e03ec3.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
What seemed mother voice made him stand.	～と見えて	ははのこえとみえて、かれはたちあがった。	母の声と見えて、彼は立ち上がった。	と見えて: appearance-based causation — 'appeared to be X' led directly to Y	[sound:c4a3654b575d.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top5k source:dictionary-of-jp-grammar source:shin-kanzen
He pleaded as if saying just once more.	と言わんばかりに	もういちどだけ、といわんばかりにこんがんした。	もう一度だけ、と言わんばかりに懇願した。	と言わんばかりに: embodied implication — body/action says X without speaking it	[sound:776e3c878f66.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top5k source:dictionary-of-jp-grammar source:shin-kanzen
It is a work should be treated as novel.	～として	しょうせつとしてあつかわれるべきさくひんだ。	小説として扱われるべき作品だ。	として: role framing — X categorized as Y; functional or honorary identification	[sound:14a687c025c6.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
Along with joy came anxiety.	～とともに	よろこびとともに、ふあんもおとずれた。	喜びとともに、不安も訪れた。	とともに: simultaneous co-occurrence — joy and anxiety arrive in the same moment	[sound:afa76542359a.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
He thought it would work, but reality differed.	とばかり	うまくいくとばかりおもっていたが、げんじつはちがった。	うまくいくとばかり思っていたが、現実は違った。	とばかり: overconfident presumption — acted as IF success were certain beforehand	[sound:9ea525fd76e6.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
Like a different person, he had changed.	まるで～のように	まるでべつのにんげんのように、かれはかわっていた。	まるで別の人間のように、彼は変わっていた。	のように: literary simile — 'like X'; resemblance stated as elegant comparison	[sound:185667b36e8d.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
In silence, one might hear her heartbeat.	～とやら	せいじゃくのなかで、かのじょのしんぞうのおとがきこえるとやら。	静寂の中で、彼女の心臓の音が聞こえるとやら。	とやら: distanced hearsay framing — 'something called X'; speaker disclaims certainty	[sound:b3e282ee48b6.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
At that moment, she seemed to shine like an angel.	～のように	そのしゅんかん、かのじょはてんしのようにかがやいてみえた。	その瞬間、彼女は天使のように輝いて見えた。	のように: appearance simile — 'looked like X'; softened visual metaphor	[sound:65a81f91ed4d.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
He maintained silence without showing anger.	～ことなく	かれはいかりをつゆわにすることなく、ただちんもくをたもった。	彼は怒りを露わにすることなく、ただ沈黙を保った。	ことなく: maintained state without doing — sustained silence; X never occurred	[sound:968410ad7260.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Women danced light as butterflies.	さながら～のよう	じょせいたちはさながらちょうのようにひらひらとまった。	女性たちはさながら蝶のようにひらひらと舞った。	さながら〜のように: perfect-resemblance simile — 'exactly as if'; intensified comparison	[sound:04454202f8b7.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
This story mirrors human nature perfectly.	～ごとくである	このものがたりは、にんげんのほんしつをうつしだすごとくである。	この物語は、人間の本質を映し出すごとくである。	ごとく: classical-register comparison — literary 'as if'; elevated/archaic simile	[sound:4437324fd48b.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
The two seemed bound by something called fate.	～とやら	ふたりはうんめいとやらでむすばれていた。	二人は運命とやらで結ばれていた。	とやら: mysterious-force framing — 'fate or whatever it is'; distance from claim	[sound:6a4ff81ec8d0.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Without hiding her confusion, she answered.	～ことなく	かのじょはとまどいをかくすことなく、こたえた。	彼女は戸惑いを隠すことなく、答えた。	ことなく: honest-state without withholding — answered without hiding confusion	[sound:d5f3be0249b1.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
The interplay of light and shadow was artistic.	～が織りなす	ひかとかげがおりなすばめんは、まさにげいじゅつてきであった。	光と影が織りなす場面は、まさに芸術的であった。	literary description: interweaving qualities — light and shadow combine into art	[sound:2ba118fe4622.mp3]	module:05-n1 jlpt:n1 point:とばかり complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
