#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production

What does it mean when something just happened?	ーたばかり	かれはきたばかりだ。	彼は来たばかりだ。	V-た + ばかり: recent completion — just arrived; action finished moments ago	[sound:36a45750ad25.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
Complete: 'I just finished ___'	〜ばかりだ	しごとをおえたばかりだ。	仕事を終えたばかりだ。	V-た + ばかり: recency marker — just finished; past tense combined with freshness	[sound:cd314ce43661.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
Tell someone to stop just eating and go exercise.	ーばかりに	たべてばかりいないで、うんどうしなさい。	食べてばかりいないで、運動しなさい。	てばかり: negative habit — doing ONLY eating; speaker criticizes exclusive focus	[sound:09712bd005da.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
What structure describes doing something repeatedly?	ーてばかりいる	かれはあそんでばかりいる。	彼は遊んでばかりいる。	てばかりいる: exclusive habitual action — does nothing but play; negative judgment	[sound:cbbf705ee980.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
Complete: 'He does nothing but ___'	ーてばかりいる	あにはしごとをしてばかりいて、あそばない。	兄は仕事をしてばかりいて、遊ばない。	てばかりいて: exclusive to exclusion of other things — never plays, only works	[sound:0a037c9266ce.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
What describes being on the verge of something?	ーんばかり	いまにもこわれんばかりのふるいいえ。	今にも壊れんばかりの古い家。	んばかり: near-certainty state — so old it LOOKS like it could break any moment	[sound:80a6ecf73a50.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
Complete: '___に雨が降ってきた' (consequence)	ーたばかりに	ちょうどいえをでたばかりに、あめがふってきた。	ちょうど家を出たばかりに、雨が降ってきた。	V-たばかりに: unfortunate timing — just happened to leave when rain started	[sound:d8cf49fb5c85.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
Which ばかり meaning is 'exclusive' or 'only'?	ばかり	しっぱいばかりくりかえしている。	失敗ばかり繰り返している。	ばかり繰り返す: repetitive-only pattern — failing and only failing; no variation	[sound:5d0adeb8f17f.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
Fill: 'Only words without ___'	ばかり (exclusive)	ことばばかりでこうどうがない。	言葉ばかりで行動がない。	ばかり: quantity/content exclusive — nothing but; only X and nothing else	[sound:74b7d455b372.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
What structure means 'repeated failures'?	ばかり (repetition)	じかんばかりへってしまう。	時間ばかり経ってしまう。	ばかりではなく: beyond-ばかり reversal — not only X but also Y	[sound:08f4150c4555.mp3]	module:03-n3 jlpt:n3 point:ばかり complexity:standard frequency:top5k source:shin-kanzen
