#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::02 - N4 Grammar::Cloze

{{c1::雨が降りそうです。}}	あめがふりそうです。	probable appearance	[sound:df9c9cc3459d.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top1k complexity:intro source:shin-kanzen sense:evidentials
{{c1::その食べ物が美味しそうです。}}	そのたべものがおいしそうです。	appearance form	[sound:9b5d01e2e52b.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:low complexity:standard source:shin-kanzen sense:evidentials complexity:intro
{{c1::彼女が明日来るそうです。}}	かのじょがあしたくるそうです。	hearsay	[sound:f986877ab589.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:evidentials
{{c1::その映画が面白そうです。}}	そのえいががおもしろそうです。	appearance form	[sound:eb4883919268.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top10k complexity:intro source:shin-kanzen sense:evidentials
{{c1::試験が難しいそうです。}}	しけんがむずかしいそうです。	hearsay	[sound:8cd078db087e.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:evidentials
{{c1::雪が降りそうです。}}	ゆきがふりそうです。	probable appearance	[sound:0bc202fea1c0.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top1k complexity:intro source:shin-kanzen sense:evidentials
{{c1::彼女が疲れているそうです。}}	かのじょがつかれているそうです。	hearsay	[sound:c7363b70952e.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:evidentials complexity:intro
{{c1::そのケーキが甘そうです。}}	そのけーきがあまそうです。	appearance form	[sound:9cbb8c299b92.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:top5k complexity:intro source:shin-kanzen sense:evidentials
{{c1::そのレストランが閉まっているそうです。}}	そのれすとらんがしまっているそうです。	hearsay	[sound:58dedfa31431.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:low complexity:standard source:shin-kanzen sense:evidentials complexity:intro
{{c1::そのコーヒーが美味しそうです。}}	そのこーひーがおいしそうです。	appearance form	[sound:7e699a086ac4.mp3]	module:02-n4 jlpt:n4 register:neutral point:evidentials-sou pos:expr frequency:low complexity:standard source:shin-kanzen sense:evidentials complexity:intro
