#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
彼は専門家ぶっている。	〜めく	〜じみる	〜ぶる	-ぶる: deliberate pretense; -めく: atmospheric; -じみる: unwanted tinge.	Use -ぶる for conscious affectation.	[sound:79e84729f02e.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top5k
春めいた気候。	〜ぶり	〜じみる	〜めく	-めく: seasonal atmosphere; -ぶり: manner; -じみる: negative.	-めく for mood/season shifts.	[sound:82765a42cc8b.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top10k
説教じみた忠告。	〜ぶる	〜めく	〜じみる	-じみる: unwanted quality; -ぶる: pretense; -めく: appears.	-じみる when quality is negative.	[sound:dbb19b6b66b9.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low
大人びた返答。	〜ぶり	〜めく	〜びる	-びる: natural development; -ぶり: manner; -めく: appearance.	-びる for organic maturation.	[sound:c3682cf276bd.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low
古びた建物。	〜ぶる	〜めく	〜びる	-びる: aged quality; -ぶる: pretense; -めく: appears.	-びる for time-worn quality.	[sound:c58a2c1ff4d3.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top1k
下品っぽい言い方。	〜くさい	〜ぶった	〜っぽい	-っぽい: apparent quality; -くさい: smells of; -ぶった: affects.	-っぽい for surface impression.	[sound:d851d8f47bba.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low
決定をかねている。	〜がたい	〜にくい	〜かねる	-かねる: struggle with; -がたい: difficult; -にくい: hard.	-かねる for reluctant negation.	[sound:dd02e5a9efe8.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top10k
失敗しかねない。	〜かもしれない	〜おそれがある	〜かねない	-かねない: warning risk; -かもしれない: possibility; -おそれがある: danger.	-かねない for formal warnings.	[sound:5a80d48c2b5b.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top5k
お医者さんぶった態度は好かれない。	〜じみた	〜めく	〜ぶった	-ぶった: conscious affectation.	-ぶった for false status.	[sound:83921e9ad2a5.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k
冬めいた寒さになってきた。	〜ぶり	〜じみる	〜めく	-めく: seasonal mood.	-めく for weather shifts.	[sound:67a748dc74df.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top1k
その言い方は評論家じみた響きがある。	〜ぶる	〜めく	〜じみた	-じみた: unwanted quality.	-じみた for negative trait.	[sound:b23058542c45.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low
少年が大人びた声で答えた。	〜ぶり	〜めく	〜びた	-びた: natural growth.	-びた for organic development.	[sound:e87e98efc478.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k
その主張は左翼くさい。	〜ぶった	〜じみた	〜くさい	-くさい: unpleasant smell.	-くさい for negative impression.	[sound:7bf6e4200ed3.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top10k
偉そうぶった言い方だ。	〜めく	〜じみた	〜ぶった	-ぶった: false pretense.	-ぶった for fake attitude.	[sound:2cc00ffe7def.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top1k
秋めいた雰囲気が漂う。	〜ぶり	〜じみた	〜めく	-めく: seasonal character.	-めく for mood shift.	[sound:c7542dc5a1f1.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low
その部分は教科書じみた説明だ。	〜ぶっている	〜めく	〜じみた	-じみた: textbook quality.	-じみた for pedantic tone.	[sound:cc7832eefbf2.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k
古びた家具が並んでいる。	〜ぶり	〜くさい	〜びた	-びた: time-worn quality.	-びた for aged appearance.	[sound:69d156bd2ed3.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top10k
知識人ぶった発言は聞き苦しい。	〜めく	〜じみた	〜ぶった	-ぶった: false intellectualism.	-ぶった for pretend expertise.	[sound:3d3733096d49.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low
初夏めいた日差しだ。	〜ぶり	〜じみた	〜めく	-めく: early season.	-めく for nascent season.	[sound:ba2813a0971c.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low
その態度は親父じみている。	〜ぶっている	〜めく	〜じみている	-じみている: stereotypical.	-じみている for negative stereotype.	[sound:b5e63525203e.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low
子どもとは思えない大人びた判断だ。	〜ぶり	〜めく	〜びた	-びた: maturity indicator.	-びた for precocious quality.	[sound:2bbe9f84a5f1.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k
金持ちくさい言い方だ。	〜ぶった	〜じみた	〜くさい	-くさい: class indicator.	-くさい for socioeconomic tone.	[sound:06c30efe8dae.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:top10k
朽ちかけた古びた遺跡。	〜ぶった	〜くさい	〜びた	-びた: extreme age.	-びた for archaeological age.	[sound:e8cc50b26378.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low
管理職ぶった接し方で部下が困っている。	〜めく	〜じみた	〜ぶった	-ぶった: false hierarchy.	-ぶった for unearned authority.	[sound:020f83b9a697.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low
初春めいた気温が心地よい。	〜ぶり	〜じみた	〜めく	-めく: season beginning.	-めく for spring transition.	[sound:f30c65a0391c.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low
