#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::01 - N5 Grammar::Recognition

会って話しました。	あってはなしました。	I met and talked.	う→って 会う	会う → 会って	Derivation: u-ending → tte	Match: 待つ, 立つ	ぐ→いで	[sound:e6efb57bacd7.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
友達を待っています。	ともだちをまっています。	I'm waiting for my friend.	つ→って 待つ	待つ → 待って	Derivation: tsu-ending → tte	Match: 立つ, 勝つ	く→いて	[sound:0b6e296ab000.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
ここに立ってください。	ここにたってください。	Please stand here.	つ→って 立つ	立つ → 立って	Derivation: tsu-ending → tte	Match: 待つ, 勝つ	む→んで	[sound:b0ab50c6d8c4.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro source:shin-kanzen
本を読んで。	ほんをよんで。	Read (a) book.	く→いて 書く	書く → 書いて	Derivation: ku-ending → ite	Match: 聞く, 歩く	す→して	[sound:6115475beb69.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
ここを歩いてください。	ここをあるいてください。	Please walk here.	く→いて 歩く	歩く → 歩いて	Derivation: ku-ending → ite	Match: 書く, 聞く	ぐ→いで	[sound:c01cdc7afe7d.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro source:shin-kanzen
質問を聞いています。	しつもんをきいています。	I'm listening to a question.	く→いて 聞く	聞く → 聞いて	Derivation: ku-ending → ite	Match: 書く, 歩く	る→って	[sound:096232139067.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top1k source:shin-kanzen
川を泳いで行きました。	かわをおよいでいきました。	I swam in the river.	ぐ→いで 泳ぐ	泳ぐ → 泳いで	Derivation: gu-ending → ide	Match: unique	む→んで	[sound:fa7c3f4c626e.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top10k source:shin-kanzen
飲んでください。	のんでください。	Please drink.	む→んで 飲む	飲む → 飲んで	Derivation: mu-ending → nde	Match: 進む, 読む	す→して	[sound:7c1d8565f4e9.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro source:shin-kanzen
選んで食べました。	えらんでたべました。	I chose and ate.	ぶ→んで 選ぶ	選ぶ → 選んで	Derivation: bu-ending → nde	Match: 遊ぶ, 呼ぶ	る→って	[sound:b935587e4e31.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro source:shin-kanzen
死んで行った。	しんでいった。	He died.	ぬ→んで 死ぬ	死ぬ → 死んで	Derivation: nu-ending → nde	Match: unique	ぶ→んで	[sound:21af1f99e274.mp3]	module:01-n5 jlpt:n5 point:って complexity:intro frequency:top10k source:shin-kanzen
