#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::12 - Beyond N1::Production
#
He appealed as if about to cry.	～からんばかりに	なみだからんばかりにうったえた。	涙からんばかりに訴えた。	Literary imminence	[sound:5d9b4a905cc2.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:intro frequency:low source:dictionary-of-jp-grammar
That power should not be underestimated.	られる	そのちからはあなどられるべきではない。	その力は侮られるべきではない。	Formal potential	[sound:6c1af3e71bf1.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top5k source:dictionary-of-jp-grammar
The plan was executed regrettably.	されてしまう	けいかくはすいこうされてしまった。	計画は遂行されてしまった。	Regretful passive	[sound:8f21297008b2.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top5k source:dictionary-of-jp-grammar
No matter what, I will not give up.	たりとも	どんなことがあったとしても、あきらめない。	どんなことがあったとしても、諦めない。	Emphatic negation	[sound:222d7571d50e.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:low source:dictionary-of-jp-grammar
If one said such thing, consequences serious.	もしようなら	そんなことをいおうものなら、たいへんだ。	そんなことを言おうものなら、大変だ。	Grave hypothetical	[sound:d22e5e50fc7b.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Not even his words should be trusted.	たりとも	かのことばたりとも、しんじるな。	彼の言葉たりとも、信じるな。	Universal negation	[sound:dfe6b1f8fc13.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top10k source:dictionary-of-jp-grammar
If both failure and success are experienced.	ものなれば	しっぱいもせいこうもともにけいけんするものなれば。	失敗も成功も共に経験するものなれば。	Existential conditional	[sound:7b2806be7033.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Who could have foreseen reaching this state.	しえたか	かかるじたいにいたろうとは、だれがよそうしえたか。	かかる事態に至ろうとは、誰が予想しえたか。	Unforeseen situation	[sound:976838af6743.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Enjoying benefits is a right and duty.	たり	りえきはぞんぶんにきょうじゅされるべきけんりたり。	利益は存分に享受されるべき権利たり。	Stiff assertion	[sound:b68df5738213.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top10k source:dictionary-of-jp-grammar
If possible, I desire another chance.	～たき	かなうならば、ふたたびきかいをえたきものを。	かなうならば、再び機会を得たきものを。	Formal wish	[sound:02bf439b9ecb.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top10k source:dictionary-of-jp-grammar
He is one who received unfair treatment.	たる	ふとうなあつかいをうけたるものなり。	不当な扱いを受けたるものなり。	Stiff identification	[sound:764a9ad75e36.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:low source:dictionary-of-jp-grammar
It is as if one lost the path to follow.	～たるがごとき	すすむべきみちをみうしないたるがごときなり。	進むべき道を見失いたるがごときなり。	Literary simile	[sound:f8718c21922b.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top5k source:dictionary-of-jp-grammar
In such situation, an unavoidable decision.	～ざる	かかるじょうきょうにおいて、やむをえざるけってい。	かかる状況において、止むを得ざる決定。	Stiff necessity	[sound:b3f3e01fd709.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:top10k source:dictionary-of-jp-grammar
It is known he is one who dislikes conflict.	～ざる	あらそいをこのまざるものとしられたり。	争いを好まざるものと知られたり。	Stiff negation	[sound:e7b344de628d.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:standard frequency:low source:dictionary-of-jp-grammar
There is much that should be known.	～べき	しるべきことはおおきなり。	知るべきことは多きなり。	Obligation statement	[sound:5c79f76a8ab6.mp3]	module:12-beyond-n1 jlpt:beyond point:rare-stiff-aux complexity:intro frequency:top1k source:dictionary-of-jp-grammar
