#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Production

Please help me / Best regards.	よろしく+おねがい+いたす	よろしくおねがいいたします。	よろしくお願いいたします。	standard business phrase	[sound:e1ef2f1b2f82.mp3]	module:02-n4 point:いたす complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
Are there any unclear points?	ご不明+ございませんか	ごふめいなてんはございませんか。	ご不明な点はございませんか。	polite clarification	[sound:4ef57b12ba4a.mp3]	module:02-n4 point:いたす complexity:standard frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
Thank you too (reciprocal).	こちらこそ+ありがとう+ございます	こちらこそありがとうございます。	こちらこそありがとうございます。	reciprocal thanks	[sound:f7fe55ae2712.mp3]	module:02-n4 point:いたす complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
I'm very sorry to trouble you.	大変+恐れ入る+ます+が	たいへんおそれいりますが。	大変恐れ入りますが。	emphatic polite apology	[sound:de08ee67f0d7.mp3]	module:02-n4 point:いたす complexity:intro frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
If you have any unclear points.	何か+ご不明+ございましたら	なにかごふめいなてんがございましたら。	何かご不明な点がございましたら。	polite conditional	[sound:73f8368083ec.mp3]	module:02-n4 point:いたす complexity:standard frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
Please look at this.	こちら+ご覧+ください	こちらをごらんください。	こちらをご覧ください。	polite instruction	[sound:5ab081f46a72.mp3]	module:02-n4 point:いたす complexity:intro source:dictionary-of-jp-grammar sense:keigo-alternatives
Please tell me if there are unclear points.	ご不明+について+お聞かせください	ごふめいなてんについておきかせください。	ご不明な点についてお聞かせください。	polite request	[sound:1dcd9fb73f3e.mp3]	module:02-n4 point:いたす complexity:standard frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
Either is fine, but.	どちら+かまう+ません+が	どちらでもかまいませんが。	どちらでもかまいませんが。	polite choice	[sound:e0ee71d1ce16.mp3]	module:02-n4 point:いたす complexity:standard source:dictionary-of-jp-grammar sense:keigo-alternatives
I will inform you of the costs.	かかる+について+お伝え+いたす	かかるひようについておつたえいたします。	かかる費用についてお伝えいたします。	formal notification	[sound:1fe571a9928a.mp3]	module:02-n4 point:いたす complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
Do you have any objections here?	こちら+異議+ございませんか	こちらでいぎはございませんか。	こちらで異議はございませんか。	polite objection check	[sound:c1dfd6745d8b.mp3]	module:02-n4 point:いたす complexity:standard frequency:low source:dictionary-of-jp-grammar sense:keigo-alternatives
I look forward to your continued support.	今後とも+よろしく+おねがい+いたす	こんごともよろしくおねがいいたします。	今後ともよろしくお願いいたします。	future gratitude	[sound:540b54a457cd.mp3]	module:02-n4 point:いたす complexity:standard frequency:top10k source:dictionary-of-jp-grammar sense:keigo-alternatives
