#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::05 - N1::Production
#
Various laws should be amended.	諸-	しょしゅのほうりつがかいせいされるべきである。	諸種の法律が改正されるべきである。	Multiple laws	[sound:265babd52d91.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low source:shin-kanzen
I humbly understand your situation.	御-	ごじょうきょうをはいさついたします。	御状況を拝察いたします。	Deferential prefix	[sound:e65bbfda67bf.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k source:shin-kanzen
I request a sincere response.	真-	しんしなたいおうをおねがいします。	真摯な対応をお願いします。	Authenticity	[sound:a71abdae6b22.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low source:shin-kanzen
Obtained more than half approval.	半-	はんぶんいじょうのさんせいをえた。	半分以上の賛成を得た。	Proportion	[sound:a0dc0094ab62.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k source:shin-kanzen
I need fifty sheets of documents.	枚	しょるいはごじゅうまいひつようです。	書類は五十枚必要です。	Flat object	[sound:6e033f553d68.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k source:shin-kanzen
Take the medicine one tablet at a time.	粒	くすりはいちりゅうずつのんでください。	薬は一粒ずつ飲んでください。	Small particle	[sound:ca9285c9d518.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low source:shin-kanzen
I prepared three needles.	本	はりはさんぼんようういしました。	針は三本用意しました。	Thin item	[sound:0447955bf310.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k source:shin-kanzen
Ten houses stand in a row.	軒	いえはじゅっけんならんでいる。	家は十軒並んでいる。	Building	[sound:e2bff84661a2.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:low source:shin-kanzen
Two shoes make one set.	足	くつはにそくでいちせっとです。	靴は二足で一セットです。	Pair count	[sound:97202342e5fa.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:intro frequency:top10k source:shin-kanzen
Three new structures were built.	個	あたらしいけんちくぶつがさんこできた。	新しい建築物が三個できた。	Object unit	[sound:3c486148a7b6.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:top10k source:shin-kanzen
All papers are included; eight collected.	編	ぜんろんぶんははっぺんしゅうろくされている。	全論文は八編収録されている。	Work unit	[sound:683f5e7fc409.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:top10k source:shin-kanzen
The poetry collection comprises twelve chapters.	章	ししゅうはぜんじゅうにしょうでなりたつ。	詩集は全十二章で成り立つ。	Section	[sound:bda6d3eed68a.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low source:shin-kanzen
Various problems need to be solved.	諸-	しょもんだいをかいけつするひつようがある。	諸問題を解決する必要がある。	Plural prefix	[sound:55cdc34cdc36.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:top10k source:shin-kanzen
Thank you for attending despite your busy schedule.	御-	ごたぼうのところ、ごさんかありがとうございます。	御多忙のところ、ご参加ありがとうございます。	Honorific prefix	[sound:a95b6871f2c6.mp3]	module:05-n1 jlpt:n1 point:n1-prefixes-counters complexity:standard frequency:low source:shin-kanzen
