#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2::Production
#

Japan and America cooperate.	および	にほんおよびあめりかがきょうりょくする。	日本およびアメリカが協力する。	Formal listing	[sound:2052394fe22b.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:top10k source:shin-kanzen
Men and women are the target.	および	だんせいおよびじょせいがたいしょうである。	男性および女性が対象である。	Enumeration	[sound:48d1d523093d.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:top10k source:shin-kanzen
Technology and knowledge are necessary.	および	ぎじゅつおよびちしきがひつようだ。	技術および知識が必要だ。	Requirement enumeration	[sound:ef75db94181b.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:intro frequency:top10k source:shin-kanzen
We visited Hokkaido and Okinawa.	および	ほっかいどうおよびおきなわをほうもんした。	北海道および沖縄を訪問した。	Geographic enumeration	[sound:e58eba2151ec.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:top10k source:shin-kanzen
Students and faculty participate.	および	がくせいおよびきょういんがさんかする。	学生および教員が参加する。	Participant enumeration	[sound:9c027e02e4c9.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:top10k source:shin-kanzen
There are economic and social issues.	および	けいざいおよびしゃかいてきもんだいがある。	経済および社会的問題がある。	Dual aspect	[sound:1e9675ed206f.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:top5k source:shin-kanzen
I handle manufacturing and sales operations.	および	せいぞうおよびはんばいぎょうむをたんとうする。	製造および販売業務を担当する。	Function listing	[sound:f2e22f571de0.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:low source:shin-kanzen
There are public and private sessions.	および	こうかいおよびひこうかいせっしょんがある。	公開および非公開セッションがある。	Distinction listing	[sound:c9b2abed4c02.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:low source:shin-kanzen
Japan as well as America consented.	ならびに	にほんならびにあめりかがどういした。	日本並びにアメリカが同意した。	Formal conjunction	[sound:1f681aa6bcef.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:low source:shin-kanzen
Reform in both politics and economics is necessary.	ならびに	せいじならびにけいざいのかいかくがひつよう。	政治並びに経済の改革が必要。	Parallel listing	[sound:337c7ade45ea.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:low source:shin-kanzen
Development of both science and art.	ならびに	かがくならびにげいじゅつのはってん。	科学並びに芸術の発展。	Parallel advancement	[sound:ae27eaeae8de.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:intro frequency:low source:shin-kanzen
I refer to both the past and present.	ならびに	かこならびにげんざいをさんこうにする。	過去並びに現在を参考にする。	Temporal listing	[sound:3b17a09ae9b4.mp3]	module:04-n2 jlpt:n2 point:formal-conjunctions complexity:standard frequency:low source:shin-kanzen
