#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2 Grammar::Production

As befits a famous actor, his acting is wonderful.	有名な俳優だけあって、演技が素晴らしい。	ゆうめいなはいゆうだけあって、えんぎがすばらしい。	有名な俳優だけあって、演技が素晴らしい。	だけあって: merit-proportional outcome — quality justified by reputation/status	[sound:285710c39991.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:top10k source:shin-kanzen
No wonder; with years of experience, his judgment is accurate.	長年の経験だけあって、彼の判断は正確だ。	ながねんのけいけんだけあって、かれのはんだんはせいかくだ。	長年の経験だけあって、彼の判断は正確だ。	だけあって: merit-proportional outcome — quality justified by reputation/status	[sound:e2fc7fe96511.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:top10k source:shin-kanzen
As expected from a top university graduate, he's excellent.	一流大学出身だけあって、彼は優秀だ。	いちりゅうだいがくしゅっしんだけあって、かれはゆうしゅうだ。	一流大学出身だけあって、彼は優秀だ。	だけあって: merit-proportional outcome — quality justified by reputation/status	[sound:7c82a876c857.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:low source:shin-kanzen
No wonder, with daily practice, he's skilled.	毎日の練習だけあって、彼は上手だ。	まいにちのれんしゅうだけあって、かれはじょうずだ。	毎日の練習だけあって、彼は上手だ。	だけあって: merit-proportional outcome — quality justified by reputation/status	[sound:603376ddcad1.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:top5k source:shin-kanzen
As expected from learning since childhood, she's fluent.	子どもの時から学んだだけあって、流暢だ。	こどものときからまなんだだけあって、りゅうちょうだ。	子どもの時から学んだだけあって、流暢だ。	だけあって: merit-proportional outcome — quality justified by reputation/status	[sound:09200545b5af.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:top10k source:shin-kanzen
As befits a large concert hall, the acoustics are good.	大きなコンサート会場だけあって、音響がいい。	おおきなこんさーとかいじょうだけあって、おんきょうがいい。	大きなコンサート会場だけあって、音響がいい。	だけあって: merit-proportional outcome — quality justified by reputation/status	[sound:ff4755af309f.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:top5k source:shin-kanzen
Only financial assistance is possible.	金銭的な援助だけが可能だ。	きんせんてきなえんじょだけがかのうだ。	金銭的な援助だけが可能だ。	だけあって: stakes match the merit — outcome is befitting the cause	[sound:b239588f7514.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:top10k source:shin-kanzen
Only his opinion matters.	彼の意見だけが重要だ。	かれのいけんだけがじゅうようだ。	彼の意見だけが重要だ。	だけあって: stakes match the merit — outcome is befitting the cause	[sound:a84053a9e1d7.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:intro frequency:top10k source:shin-kanzen
I only remember yesterday's events.	昨日の出来事だけを覚えている。	きのうのできごとだけをおぼえている。	昨日の出来事だけを覚えている。	だけあって: stakes match the merit — outcome is befitting the cause	[sound:9a342731e73d.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:standard frequency:low source:shin-kanzen
I studied only grammar.	文法だけを勉強した。	ぶんぽうだけをべんきょうした。	文法だけを勉強した。	だけあって: stakes match the merit — outcome is befitting the cause	[sound:1ab24d7b5473.mp3]	module:04-n2 jlpt:n2 point:だけあって complexity:intro frequency:top5k source:shin-kanzen
