#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
できる限り頑張ります。	以上	上は	限り	限り = as far as possible/to extent of	Will do my best as far as possible	[sound:60df7e2e96f5.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:low complexity:intro source:shin-kanzen
知る限りでは、彼は良い人だ。	以上	上は	限り	限り = as far as I know	As far as I know, he's good	[sound:bd4af62fa0a8.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:low complexity:standard source:shin-kanzen
社会人である以上、責任がある。	限り	上は	以上	以上 = now that/since being	Being an adult, have responsibility	[sound:c3b69f7f7d49.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:top10k complexity:standard source:shin-kanzen
学生である以上、勉強すべき。	限り	上は	以上	以上 = in light of/since	Since being student, should study	[sound:f831013d7306.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:top5k complexity:standard source:shin-kanzen
約束した上は、守らなきゃ。	限り	以上	上は	上は = having/since	Having promised, must keep	[sound:16085666638e.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:top5k complexity:intro source:shin-kanzen
言った上は、責任を持つ。	限り	以上	上は	上は = having said, now must	Having said, take responsibility	[sound:b2407a9880e1.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:top10k complexity:intro source:shin-kanzen
力の限り戦う。	以上	上は	限り	限り = with all/to fullest extent	Fight with all my strength	[sound:871130ba4ff7.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:low complexity:intro source:shin-kanzen
この条件である以上、応じられない。	限り	上は	以上	以上 = given the condition	Given this condition, can't comply	[sound:b9c2b1b46fb2.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:top10k complexity:standard source:shin-kanzen
時間がある上は、手伝おう。	限り	以上	上は	上は = if/since have time	If we have time, let's help	[sound:dc1a11d20c25.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:top1k complexity:intro source:shin-kanzen
見る限り、問題がない。	以上	上は	限り	限り = as far as can see	As far as can see, no problem	[sound:4051cbaff077.mp3]	module:04-n2 jlpt:n2 register:formal point:formal-condition-restriction pos:expr frequency:low complexity:intro source:shin-kanzen
