#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::04 - N2::Production
#
I cannot leave him alone.	V + わけにはいかない	かれをほっておくわけにはいかない。	彼を放っておくわけにはいかない。	Formal impossibility	[sound:5e667d550fa5.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top5k source:shin-kanzen
I cannot give up here.	V + わけにはいかない	ここであきらめるわけにはいかない。	ここで諦めるわけにはいかない。	Formal impossibility	[sound:beaf5db3f626.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
I cannot break a promise.	V + わけにはいかない	うーん、やくそくをやぶるわけにはいかない。	うーん、約束を破るわけにはいかない。	Formal impossibility	[sound:0fb4c43468a0.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
I cannot abandon my family.	V + わけにはいかない	かぞくをみすてるわけにはいかない。	家族を見捨てるわけにはいかない。	Formal impossibility	[sound:8f1d31375b8a.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top5k source:shin-kanzen
I must fulfill my responsibility.	V + わけにはいかない	せきにんをはたさないわけにはいかない。	責任を果たさないわけにはいかない。	Formal obligation	[sound:48f8f9690bbd.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
I cannot help but show my frustration.	V neg + ないではいられない	くやしさをかくさないではいられない。	悔しさを隠さないではいられない。	Formal compulsion	[sound:1349acb3855e.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard source:shin-kanzen
I cannot help but laugh.	V neg + ないではいられない	わらわないではいられない。	笑わないではいられない。	Formal involuntary action	[sound:d2b8d5b2b2ab.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:intro source:shin-kanzen
It's a situation where tears cannot be suppressed.	V neg + ないではいられない	なみだがでないではいられないじょうきょうだ。	涙が出ないではいられない状況だ。	Formal inability to suppress	[sound:573542f6113d.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
I cannot help but convey my emotion.	V neg + ないではいられない	かんどうをつたえないではいられない。	感動を伝えないではいられない。	Formal compulsion	[sound:c37fc0bc012f.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
One cannot remain ignorant of this truth.	V neg + ないではいられない	このしんじつをしらないではいられない。	この真実を知らないではいられない。	Formal necessity of knowledge	[sound:1d78cb70a791.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
An attitude that does not hesitate to use sophistry.	V stem + てはばからない	きべんをろうするのをはばからないたいどだ。	詭弁を弄するのを憚らない態度だ。	Formal lack of hesitation	[sound:57399d043b5d.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
He does not shrink from facing difficulties.	V stem + てはばからない	こんなんにたちむかうのをいとわない。	困難に立ち向かうのを厭わない。	Formal willingness	[sound:a3948a1d0b4a.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
He does not hesitate to express his opinion.	V stem + てはばからない	いけんをのべることをためらわない。	意見を述べることを躊躇わない。	Formal willingness	[sound:d68da6db7d5b.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
He does not shy away from criticism.	V stem + てはばからない	ひはんをうけることをさけない。	批判を受けることを避けない。	Formal courage	[sound:c1cdff7691a7.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
He does not hesitate to adopt the latest technology.	V stem + てはばからない	さいしんぎじゅつをさいようすることにためらわない。	最新技術を採用することに躊躇わない。	Formal eagerness	[sound:7f5e44427e93.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
An attitude of persistent humility.	V stem + てやまない	あたまをさげてやまないしせいだ。	頭を下げてやまない姿勢だ。	Formal persistence	[sound:16c011c0e528.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
His effort never ceases.	V stem + てやまない	どりょくしつづけてやまない。	努力し続けてやまない。	Formal continuation	[sound:217bbc82892e.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:intro frequency:top10k source:shin-kanzen
Gratitude that knows no end.	V stem + てやまない	かんしゃしつづけてやまない。	感謝し続けてやまない。	Formal endlessness	[sound:46e58e7c9be8.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:intro frequency:top10k source:shin-kanzen
An unending spirit of support.	V stem + てやまない	おうえんしてやまないきもちだ。	応援してやまない気持ちだ。	Formal persistence	[sound:199a3ab60a2c.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
Prayers that never cease.	V stem + てやまない	いのってやまない。	祈ってやまない。	Formal persistence	[sound:0d3cf74a5e18.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:intro source:shin-kanzen
In implementing this law, caution is required.	V stem noun + にあたって	このほうりつしこうにあたって、ちゅういがひつようだ。	この法律施行に当たって、注意が必要だ。	Formal temporal relation	[sound:3c419941c002.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
When making a contract, confirmation is important.	V + にあたって	けいやくをむすぶにあたって、かくにんがたいせつだ。	契約を結ぶに当たって、確認が大切だ。	Formal occasion	[sound:80551b161d12.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
When taking on new duties, experience is valuable.	N + にあたって	あたらしいしょくむにあたるさい、けいけんがいきる。	新しい職務に当たる際、経験が活きる。	Formal occasion	[sound:5fa628d79b34.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
When facing life decisions, one should be careful.	N + にあたって(は)	じんせいのけつだんにあたっては、しんちょうであるべき。	人生の決断に当たっては、慎重であるべき。	Formal occasion with emphasis	[sound:810b98a5e258.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
With the election, the importance of voting increases.	N + にあたり	せんきょにあたり、とうひょうのじゅうようせいがます。	選挙に当たり、投票の重要性が増す。	Formal occasion	[sound:9805ceaf20f6.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
For democracy to function, citizen participation is essential.	V + にあって(は)	みんしゅしゅぎがきのうするにさいして、しみんさんかがふかけつだ。	民主主義が機能するに際して、市民参加が不可欠だ。	Formal contextual relation	[sound:7194ddff565f.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
In times of crisis, composure is essential.	N + にあって(は)	ききにあっては、れいせいさがたいせつだ。	危機に あっては、冷静さが大切だ。	Formal contextual condition	[sound:a7ef5390fe0f.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
In such a situation, judgment is difficult.	N + にあって(は)	このようなじょうきょうにあっては、はんだんがむずかしい。	このような状況に あっては、判断が難しい。	Formal contextual condition	[sound:808f2d1a9dbe.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
In competitive society, continuous effort is required.	N + にあって(は)	きょうそうしゃかいにあっては、けいぞくてきなどりょくがもとめられる。	競争社会に あっては、継続的な努力が求められる。	Formal contextual condition	[sound:999a1f0b71bd.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:low source:shin-kanzen
In the present day, information literacy is essential.	N + にあって(は)	げんだいにあっては、じょうほうりてらしーがひっすだ。	現代に あっては、情報リテラシーが必須だ。	Formal contextual condition	[sound:c0497cf37a7c.mp3]	module:04-n2 jlpt:n2 point:formal-stiff point:iru-eru-stiff complexity:standard frequency:top10k source:shin-kanzen
