#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::03 - N3 Grammar::Recognition
#
子供の頃、毎日外で遊ぶものだった。	こどものころ、まいにちそとであそぶものだった。	When [I] was a child, [I] used to play outside every day.	Nostalgic habit	V(past) + ものだった	Habitual past; 'used to'	Looking back at past routine	いつもだ (always)	[sound:b3b8aca4eaf3.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top1k
昔は新聞をよく読むものだった。	むかしはしんぶんをよくよむものだった。	In the old days, [people] used to read newspapers often.	Historical habit	V(past) + ものだった	What people did habitually	Old custom/practice	いつもだ	[sound:2adc480e5dc6.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top5k
父は毎朝散歩するものだった。	ちちはまいあささんぽするものだった。	My father used to take a walk every morning.	Paternal habit	V(past) + ものだった	Someone's routine	Regular past behavior	いつもだ	[sound:195ac254f7bf.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top1k
学生の時、よくここに来るものだった。	がくせいのとき、よくここにくるものだった。	When [I] was a student, [I] used to come here often.	School days	V(past) + ものだった	School-era habit	Back when...	いつもだ	[sound:cbf761a5c09e.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top1k
季節になると、蝉が鳴くものだ。	きせつになると、せみがなくものだ。	When the season comes, cicadas sing (are wont to sing).	Natural cycle	V(pres) + ものだ	Natural recurring behavior	Nature's pattern	いつもだ	[sound:cac71503d219.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top5k
人は誰もが死ぬものだ。	ひとはだれもがしぬものだ。	All people are destined to die (are wont to die).	Universal truth	V(pres) + ものだ	Inevitable fact of life	Universal law	いつもだ	[sound:e00340affea0.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:intro frequency:top1k
失敗はつきものだ。	しっぱいはつきものだ。	Failure is inevitable (goes hand in hand with trying).	Inevitable aspect	N + ものだ	Natural accompaniment	Comes with the territory	いつもだ	[sound:27c887ffcaff.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:intro frequency:top5k
年をとると、こういう病気になるものだ。	としをとると、こういうびょうきになるものだ。	When you age, you tend to get this kind of illness.	Age-related inevitability	V(pres) + ものだ	Age-related tendency	Getting older brings X	いつもだ	[sound:e9aded3a2468.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top1k
彼は頭がいいものだから、何でも上手い。	かれはあたまがいいものだから、なんでもじょうずい。	Since he's intelligent (after all), he's good at everything.	Causal explanation	N/Adj + ものだから	Explain natural consequence of trait	He's smart, so...	だから (because)	[sound:e9b89ae555be.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top10k
値段が高いものだから、誰も買わない。	ねだんがたかいものだから、だれもかわない。	Because the price is high (after all), nobody buys it.	Reason from context	Adj + ものだから	Natural reason for outcome	Price is high, so...	だから	[sound:60184e26e81d.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top5k
昔の人だものだから、新しい技術に不慣れだ。	むかしのひとだものだから、あたらしいぎじゅつにふなれだ。	Being old-fashioned (after all), [he's] unfamiliar with new tech.	Character trait reason	N + ものだから	Nature explains behavior	Being X, naturally...	だから	[sound:ae31603806e6.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:low
子供だものだから、理解できない。	こどもだものだから、りかいできない。	Being a child (after all), [he] can't understand.	Age-based limitation	N + ものだから	Nature limits capability	Child can't X	だから	[sound:17f1b608060f.mp3]	module:03-n3 jlpt:n3 point:mono-family complexity:standard frequency:top10k
