#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Production

This policy is seen as promoting growth.	～と見られる	このせいさくは、けいざいせいちょうをそくしんするものとみられている。	この政策は、経済成長を促進するものと見られている。	General perception	[sound:1fb776463f48.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Deterioration is considered unavoidable.	～と見られる	じたいのあっかはさけられないとみられている。	事態の悪化は避けられないと見られている。	Widely held view	[sound:62861eb8f71d.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
He is said to be the next leader.	～とされる	かれはじきりーだーとされている。	彼は次期リーダーとされている。	Attributed view	[sound:1c9d800e411c.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:top5k source:dictionary-of-jp-grammar source:shin-kanzen
This is attributed to climate change.	～とされる	このげんしょうはきこうへんどうにきいんするとされている。	この現象は気候変動に起因するとされている。	Unconfirmed claim	[sound:cc949fdef517.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
One may possibly misjudge.	～とやもしれない	はんだんをあやまるとやもしれない。	判断を誤るとやもしれない。	Negative possibility	[sound:1532ae8559a5.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
Opinions may conflict.	～とやもしれない	いけんはたいりつするとやもしれない。	意見は対立するとやもしれない。	Possible divergence	[sound:95dab64fc00f.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:low source:dictionary-of-jp-grammar source:shin-kanzen
While reasonable, implementation is difficult.	もっともなことだが	もっともなことだが、じっこうはこんなんである。	もっともなことだが、実行は困難である。	Merit acknowledgment	[sound:80fd7bf9d85f.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
In any case, experience is most important.	なんと言っても	なんといっても、けいけんがもっともじゅうようだ。	なんと言っても、経験が最も重要だ。	Strongest emphasis	[sound:cb6477d39f7c.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
In any case, the decision was made.	ともあれ	ともあれ、けっていはくだされた。	ともあれ、決定は下された。	Discussion closure	[sound:52bf4db2f8e1.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:intro frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
In such circumstances, a proposal emerged.	そんな中	そんななか、あたらしいていあんがふじょうした。	そんな中、新しい提案が浮上した。	Backdrop for development	[sound:967348a0fd1c.mp3]	module:02-n4 jlpt:n4 point:とされている complexity:standard frequency:top10k source:dictionary-of-jp-grammar source:shin-kanzen
