#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::13 - L1 Interference::Production

The book that I bought	動詞(過去) + 名詞	わたしがかったほん	私が買った本	pre-noun clause: 私が買った本 — relative clause precedes noun; no 'that/which'	[sound:5417661ab018.mp3]	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram
The article that Tanaka wrote	動詞(過去) + 名詞	たなかさんがかいたきじ	田中さんが書いた記事	pre-noun clause: past action → noun — agent performs action, noun is result/object	[sound:821430f63c65.mp3]	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram
The movie that I watched yesterday	時間詞 + 動詞(過去) + 名詞	きのうみたえいが	昨日見た映画	pre-noun clause: time + verb → noun — time adverb integrated into pre-nominal clause	[sound:ce6577e033eb.mp3]	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram
The apartment where he lives	動詞(現在) + 名詞	かれがすんでいるあぱーと	彼が住んでいるアパート	pre-noun clause: location verb → noun — location predicate modifies the place-noun	[sound:b6cbe418d421.mp3]	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram
The student that the teacher is teaching	動詞(現在進行) + 名詞	せんせいがおしえているがくせい	先生が教えている学生	pre-noun clause: progressive → noun — ongoing state used as pre-nominal description	[sound:b7820fc019eb.mp3]	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram
The person that I know	状態動詞(現在) + 名詞	わたしがしっているひと	私が知っている人	pre-noun clause: state verb → noun — stative predicate precedes the modified noun	[sound:49071cc71b6a.mp3]	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram
The park where children play	動詞(現在) + 名詞	こどもたちがあそぶこうえん	子どもたちが遊ぶ公園	pre-noun clause: habitual action → place — activity identifies the place used for it	[sound:c9b8f965add4.mp3]	module:13-l1 point:l1-relative-clauses frequency:top5k complexity:intro source:curated-jpgram
The product that the company developed	動詞(過去) + 名詞	きぎょうがかいはつしたせいひん	企業が開発した製品	pre-noun clause: development → product — agent's past action qualifies the product	[sound:12906aa5e600.mp3]	module:13-l1 point:l1-relative-clauses frequency:low complexity:intro source:curated-jpgram
The coffee that I drink every day	時間詞 + 動詞(現在) + 名詞	まいにちのむこーひー	毎日飲むコーヒー	pre-noun clause: ownership verb → noun — possession relation expressed before noun	[sound:909a60ad1bb6.mp3]	module:13-l1 point:l1-relative-clauses frequency:top1k complexity:intro source:curated-jpgram
The dish that my grandmother made	動詞(過去) + 名詞	そぼがつくったりょうり	祖母が作った料理	pre-noun clause: repeated action → person — agent's habitual role modifies noun	[sound:78d1217990ea.mp3]	module:13-l1 point:l1-relative-clauses frequency:top10k complexity:intro source:curated-jpgram
