#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Production

From experience, this method is best.	N + からみると / N + からいうと	けいけんからみると、このほうほうがさいりょうだ。	経験からみると、この方法が最良だ。	From perspective of — inference based on viewpoint	[sound:df95a91efbf6.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
Looking at statistics, increase is clear.	N + からみると / N + からいうと	とうけいからみれば、ぞうかがあきらかだ。	統計からみれば、増加が明らかだ。	From perspective of — inference based on viewpoint	[sound:956b2f7769e4.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:low source:shin-kanzen
Given the position, I should voice my opinion.	N + からして	たちばからして、いけんをいうべきだ。	立場からして、意見を言うべきだ。	From the very fact/evidence of — inference from appearance	[sound:a477146f2fe6.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
The way he put it, he's opposing.	N + からみると / N + からいうと	そのいいかたからいうと、はんたいしている。	その言い方からいうと、反対している。	From perspective of — inference based on viewpoint	[sound:721dbd390d0a.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top5k source:shin-kanzen
Historically speaking, it's the same mistake.	N + からみると / N + からいうと	れきしからいえば、おなじあやまちだ。	歴史から言えば、同じ過ちだ。	From perspective of — inference based on viewpoint	[sound:f8f1bb4a05b0.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:low source:shin-kanzen
In terms of results, it was a success.	N + からみると / N + からいうと	けっかからみると、せいこうだった。	結果から見ると、成功だった。	From perspective of — inference based on viewpoint	[sound:8670167b51e2.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
Given the context, it's a different meaning.	N + からして	ぶんみゃくからして、ちがういみだ。	文脈からして、違う意味だ。	From the very fact/evidence of — inference from appearance	[sound:1e11c3cc7b75.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:intro frequency:low source:shin-kanzen
The fee changes depending on distance.	N + によって / N + による / N + により	きょりによって、りょうきんがかわる。	距離によって、料金が変わる。	Depending on / caused by — variation or causal relation	[sound:65f13b483270.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
There's a large difference due to individual variation.	N + によって / N + による / N + により	こじんさによる、ちがいがおおきい。	個人差による、違いが大きい。	Depending on / caused by — variation or causal relation	[sound:215a82d1397f.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
Preferences vary depending on the person.	N + によって / N + による / N + により	にんによって、このみがことなる。	人によって、好みが異なる。	Depending on / caused by — variation or causal relation	[sound:3b5306b8fcf9.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:intro frequency:top10k source:shin-kanzen
Results differ depending on the method.	N + によって / N + による / N + により	ほうほうにより、けっかがちがう。	方法により、結果が違う。	Depending on / caused by — variation or causal relation	[sound:9ecd5e2aa150.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:intro frequency:top10k source:shin-kanzen
Culture varies by region.	N + によって / N + による / N + により	ちいきによって、ぶんかがことなる。	地域によって、文化が異なる。	Depending on / caused by — variation or causal relation	[sound:23849a7630fa.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
Differences in understanding due to age.	N + によって / N + による / N + により	ねんれいによる、りかいのちがい。	年齢による、理解の違い。	Depending on / caused by — variation or causal relation	[sound:cf0ea3c96409.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:intro frequency:top10k source:shin-kanzen
It may change depending on the situation.	N + によって / N + による / N + により	じょうきょうによっては、かわるかのうせいがある。	状況によっては、変わる可能性がある。	Depending on / caused by — variation or causal relation	[sound:62e6a101a193.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:standard frequency:top10k source:shin-kanzen
Response differs depending on circumstances.	N + によって / N + による / N + により	じょうきょうにより、たいおうがことなる。	状況により、対応が異なる。	Depending on / caused by — variation or causal relation	[sound:fae4c33e3b97.mp3]	module:02-n4 jlpt:n4 point:ようだ complexity:intro frequency:low source:shin-kanzen
