#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::03 - N3 Grammar::Recognition
#
時々彼は黙っていることがある。	ときどきかれはだまっていることがある。	Sometimes he becomes silent (occasionally does).	Occasional occurrence	V(pres/imper) + ことがある	Occasional experience; happens sometimes	Sometimes does X	ことができる (has ability)	[sound:fb053e77d966.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
冬には雪が降ることがある。	ふゆにはゆきがふることがある。	In winter, snow sometimes falls.	Natural occurrence	V(pres) + ことがある	Occasional natural event	Weather/nature happens sometimes	ことができる	[sound:f91333fe150d.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
朝寝坊することがある。	あさねぼうすることがある。	Sometimes [I] oversleep.	Human habit	V + ことがある	Admit occasional mistake	Everyone sometimes does X	ことができる	[sound:18b9e8285ee5.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
彼女と喧嘩することがある。	かのじょとけんかすることがある。	Sometimes [I] fight with my girlfriend.	Relational conflict	V + ことがある	Relationship friction	Human conflict happens	ことができる	[sound:3233f1545d94.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
勉強中に居眠りすることがある。	べんきょうちゅうにいねむりすることがある。	While studying, [I] sometimes doze off.	Study disruption	V + ことがある	Occasional drowsiness	Caught napping sometimes	ことができる	[sound:afa4ee9f09ef.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
彼は日本語を話すことができる。	かれはにほんごをはなすことができができる。	He can speak Japanese.	Acquired ability	V + ことができる	Ability to do; capability	Has skill/competence	ことがある (occasional)	[sound:17b35b7852e0.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
誰もが夢を見ることができる。	だれもがゆめをみることができる。	Anyone can dream.	Universal possibility	V + ことができる	Possible for all	Everyone is capable	ことがある	[sound:6735d1064758.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
このパソコンで映画を見ることができる。	このぱそこんでえいがをみることができる。	On this PC, [you] can watch movies.	Tool capability	V + ことができる	Device/tool permits action	System enables X	ことがある	[sound:2875b3dfdabd.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
お金があれば、何でも買うことができる。	おかねがあれば、なんでもかうことができる。	With money, [one] can buy anything.	Conditional ability	V + ことができる	Prerequisite enables action	Condition → ability	ことがある	[sound:f14f7b1ed301.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
森の中で様々な動物を見ることができた。	もりのなかでようようなどうぶつをみることができた。	In the forest, [I] was able to see various animals.	Successful experience	V(past) + ことができた	Achieved/experienced action	Managed to see/do	ことがある	[sound:74f536fda49f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
毎日走ることにした。	まいにちはしることにした。	[I] decided to run every day.	Volitional decision	V + ことにした	Deliberate decision; one decides	Decided on plan X	ようにする (to aim)	[sound:040f698164e0.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
明日から禁煙することにします。	あしたからきんえんすることにします。	Starting tomorrow, [I] will quit smoking.	Future resolution	V + ことにする	Resolve to do from now on	Commitment to change	ようにする	[sound:5a17615691af.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
来月から新しい学校に行くことになった。	らいげつからあたらしいがっこうにいくことになった。	It was decided [I] will go to a new school next month.	Outside decision	V + ことになった	External arrangement; 'it has been arranged'	Decided for you by others	ようにする	[sound:0d2afb33628d.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
毎週金曜日に会うことにしましょう。	まいしゅうきんようびにあうことにしましょう。	Let's decide to meet every Friday.	Group decision	V + ことにしましょう	Propose mutual agreement	Suggesting a plan	ようにする	[sound:db0b68b53913.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
この仕事はあの人が担当することになった。	このしごとはあのひとがたんとうすることになった。	It has been arranged that that person handles this job.	Role assignment	V + ことになった	External assignment	Assigned to do X	ようにする	[sound:539efc2b8824.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
人のためになることをするべきだ。	ひとのためになることをするべきだ。	One should do things that help people.	Normative statement	V + ことだ	Literary: 'one should'; obligation	Ought to; what one does	べきだ (duty)	[sound:78957e9ea450.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
何というか、不思議なことか。	なんというか、ふしぎなことか。	How strange! What an oddity!	Exclamation	N + ことか	Literary exclamation; 'what a X!'	Expressing surprise	なんと + adjective	[sound:e7d3b15c4714.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
安心することなく、常に注意しなさい。	あんしんすることなく、つねにちゅういしなさい。	Don't relax; always be careful.	Negation/avoidance	V + ことなく	Without doing; never do X	Avoid doing; never X	ことはない	[sound:f0238d2d102b.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
時間がないことはない。	じかんがないことはない。	It's not that [I] have no time.	Double negation	N + ことはない	Litotes: 'not that there isn't'; there is	Subtle affirmation	ことがある	[sound:772f1a8f3e4f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
失敗しないことはない。	しっぱいしないことはない。	It's not that [I] never fail; [I] do sometimes.	Admission	V(neg) + ことはない	Concede that X sometimes happens	Can't claim never X	ことがある	[sound:08a2ff42e8da.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
映画を見ることができて、嬉しかった。	えいがをみることができて、うれしかった。	Was able to watch a movie, [I] was happy.	Successful experience	V(past) + ことができて	Achieved action + emotion	Managed to see, felt good	ことがある	[sound:dba0a75dde07.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
何もしないことはできない。	なにもしないことはできない。	Can't do nothing; must do something.	Necessity negation	V(neg) + ことはできない	Impossible to not do; must do	Can't avoid doing	ことができる	[sound:cd25a25d268f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
泣くことなく、演技を続けた。	なくことなく、えんぎをつづけた。	Without crying, [she] continued the performance.	Avoidance	V + ことなく	Without doing X; never do	Acting without tears	ことがある	[sound:dc9d86d76aec.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
雨の日は外で遊ぶことができない。	あめのひはそとであそぶことができない。	On rainy days, [you] can't play outside.	Conditional inability	V + ことができない	Unable to do due to condition	Rain prevents play	ことができる	[sound:9c4ad75f01db.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
毎週金曜日に会うことに決めた。	まいしゅうきんようびにあうことにきめた。	Decided to meet every Friday.	Group decision variant	V + ことに + きめた	Decided on arrangement	Friday meetings planned	ことにする	[sound:9d18ca16ed57.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
その知らせを聞いたことがある。	そのしらせをきいたことがある。	Have heard that news before.	Past experience	V(past) + ことがある	Have experienced in past	Encountered before	ことができる	[sound:a1a36cd4ff0b.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
成功することを願っている。	せいこうすることをねがっている。	Hoping to succeed.	Future hope	V + ことを + negau	Wishing for action X	Hopeful for success	ことができる	[sound:f1c0411c6b30.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
変わることなく、応援し続ける。	かわることなく、おうえんしつづける。	Without changing, [I] will continue supporting.	Continuous support	V + ことなく	Unchanged; consistently X	Unwavering support	ことがある	[sound:575fe1c1562f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
高いところから見ることができました。	たかいところからみることができました。	Was able to see from high place.	Perspective achievement	V(past) + ことができました	Could do; managed to	Saw from above	ことがある	[sound:a8be361a16c1.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
働くことなしに生活できない。	はたらくことなしにせいかつできない。	Can't live without working.	Necessity	V + ことなしに	Without X; can't exist	Work is necessary	ことができる	[sound:be4fbcd28be9.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations
