#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Production

After long negotiations, an agreement was reached.	N + の + あげく	ながいこうしょうのあげく、ごういにたっした。	長い交渉の挙句、合意に達した。	Formal result after long process	[sound:befb670f88e0.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
After hardship, he realized his dream.	N + の + あげく	くろうのあげく、ゆめをじつげんした。	苦労の挙句、夢を実現した。	Formal result	[sound:075be73e8dc3.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:intro frequency:top10k source:shin-kanzen
After many failures, he succeeded.	N + の + あげく	なんどもしっぱいのあげく、せいこうした。	何度も失敗の挙句、成功した。	Formal result	[sound:808ab321ca06.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
After years of effort, the goal was achieved.	N + の + あげく	ながねんのどりょくのあげく、もくひょうをたっせいした。	長年の努力の挙句、目標を達成した。	Formal result	[sound:4ce05af228a8.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
After many trials and errors, a solution was found.	N + の + あげく	おおくのしこうさくごのあげく、かいけつさくがみつかった。	多くの試行錯誤の挙句、解決策が見つかった。	Formal result	[sound:0b7c30dbcc24.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
At the end of a long life, he achieved enlightenment.	N + の + すえに	ながいじんせいのすえに、かれはさとりをひらいた。	長い人生の果てに、彼は悟りを開いた。	Formal temporal result	[sound:7bafd56cbbe2.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
After extensive research, a discovery was made.	N + の + すえに	おおくのけんきゅうのすえに、はっけんにいたった。	多くの研究の果てに、発見に至った。	Formal result	[sound:8649be619882.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
After protracted negotiations, the treaty was signed.	N + の + すえに	ちょうきのこうしょうのすえに、じょうやくがちょういんされた。	長期の交渉の果てに、条約が調印された。	Formal result	[sound:83d994fe85a7.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
After the passage of years, the fact became clear.	N + の + すえに	としつきのすえに、そのじじつがあきらかになった。	年月の果てに、その事実が明らかになった。	Formal temporal result	[sound:baefc4f7f97e.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
After pursuit, the criminal was caught.	N + の + すえに	ついせきのすえに、はんにんをつかまえた。	追跡の果てに、犯人を捕まえた。	Formal result	[sound:6384a7460e12.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:low source:shin-kanzen
Despite how busy the work is, the pay is low.	Adj + わりに(は)	しごとがいそがしいわりに、きゅうりょうがひくい。	仕事が忙しいわりに、給料が低い。	Formal concessive ratio	[sound:6e13c33efb62.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
Despite looking easy, it's actually difficult.	V + わりに(は)	かんたんそうにみえるわりに、じつはむずかしい。	簡単そうに見えるわりに、実は難しい。	Formal concessive	[sound:1f91611afbb8.mp3]	module:04-n2 jlpt:n2 point:あげく complexity:standard frequency:top10k source:shin-kanzen
