#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::01 - N5 Grammar::Recognition
#
運動したほうがいいです。	うんどうしたほうがいいです。	You should exercise.	advice	V-た + ほうがいい	recommends action	suggests better option	するべき	[sound:659475942627.mp3]	module:01-n5 jlpt:n5 point:advice-experience
もっと勉強したほうがいいですよ。	もっとべんきょうしたほうがいいですよ。	You should study more.	advice	V-た + ほうがいい	constructive suggestion	advises improvement	するべき	[sound:a5f2d09f0daa.mp3]	module:01-n5 jlpt:n5 point:advice-experience
野菜を食べたほうがいいです。	やさいをたべたほうがいいです。	You should eat vegetables.	advice	V-た + ほうがいい	health suggestion	recommends diet	すべき	[sound:647ab444b352.mp3]	module:01-n5 jlpt:n5 point:advice-experience
早く寝たほうがいいですね。	はやくねたほうがいいですね。	You should sleep early.	advice	V-た + ほうがいい	health advice	suggests schedule	するべき	[sound:ba47d2d2262b.mp3]	module:01-n5 jlpt:n5 point:advice-experience
医者に行ったほうがいいですよ。	いしゃにいったほうがいいですよ。	You should see a doctor.	advice	V-た + ほうがいい	health recommendation	suggests medical care	すべき	[sound:4cfb8b23bec4.mp3]	module:01-n5 jlpt:n5 point:advice-experience
そんなことはしないほうがいいです。	そんなことはしないほうがいいです。	You shouldn't do that.	advice-negative	V-negative + ほうがいい	advises against action	negative recommendation	するべきではない	[sound:daf048c442b3.mp3]	module:01-n5 jlpt:n5 point:advice-experience
その人と関わらないほうがいいですよ。	そのひととかかわらないほうがいいですよ。	Better not get involved.	advice-negative	V-negative + ほうがいい	warns against association	advises distance	するべきではない	[sound:8b28edf76973.mp3]	module:01-n5 jlpt:n5 point:advice-experience
今は言わないほうがいいですね。	いまはいわないほうがいいですね。	Better not say it now.	advice-negative	V-negative + ほうがいい	advises silence	timing advice	するべきではない	[sound:0675f4789bb0.mp3]	module:01-n5 jlpt:n5 point:advice-experience
日本に行ったことがあります。	にほんにいったことがあります。	I have been to Japan.	experience	V-た + ことがある	past experience	visited before	いったことがない	[sound:20bcffe64c7c.mp3]	module:01-n5 jlpt:n5 point:advice-experience
フランス料理を食べたことがあります。	ふらんすりょうりをたべたことがあります。	I have eaten French food.	experience	V-た + ことがある	tried before	past taste experience	いったことがない	[sound:ebaed3b27109.mp3]	module:01-n5 jlpt:n5 point:advice-experience
パスポートを失くしたことがあります。	ぱすぽーとをなくしたことがあります。	I have lost passport before.	experience	V-た + ことがある	past mishap	happened before	いったことがない	[sound:72871bb92527.mp3]	module:01-n5 jlpt:n5 point:advice-experience
映画館で泣いたことがあります。	えいがかんでないたことがあります。	I have cried at cinema.	experience	V-た + ことがある	emotional memory	past emotion	いったことがない	[sound:811b1f589b54.mp3]	module:01-n5 jlpt:n5 point:advice-experience
夜明けを見たことがあります。	よあけをみたことがあります。	I have seen dawn.	experience	V-た + ことがある	witnessed moment	past observation	いったことがない	[sound:a26fa0ec374a.mp3]	module:01-n5 jlpt:n5 point:advice-experience
同じ間違いを三回したことがあります。	おなじまちがいをさんかいしたことがあります。	Made same mistake 3 times.	experience-repeated	V-た + ことがある + 数	repeated experience	multiple occurrences	いったことがない	[sound:84ee1de5221c.mp3]	module:01-n5 jlpt:n5 point:advice-experience
