#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::12 - BEYOND-N1::Recognition
#
この政策は、経済成長を促進するものと見られている。	このせいさくは、けいざいせいちょうをそくしんするものとみられている。	This policy is seen as promoting growth.	Expert judgment	～と見られる	General perception	Policy view	～と思われる (subjective)	[sound:1fb776463f48.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
事態の悪化は避けられないと見られている。	じたいのあっかはさけられないとみられている。	Deterioration is considered unavoidable.	Outlook/assessment	～と見られる	Widely held view	Outlook	～そうである (appearance)	[sound:62861eb8f71d.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
彼は次期リーダーとされている。	かれはじきりーだーとされている。	He is said to be the next leader.	Attribution/report	～とされる	Attributed view	Leadership	～と言われる (spoken)	[sound:1c9d800e411c.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
この現象は気候変動に起因するとされている。	このげんしょうはきこうへんどうにきいんするとされている。	This is attributed to climate change.	Attributed explanation	～とされる	Unconfirmed claim	Climate attribution	～と考えられる (analysis)	[sound:cc949fdef517.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
判断を誤るとやもしれない。	はんだんをあやまるとやもしれない。	One may possibly misjudge.	Uncertain possibility	～とやもしれない	Negative possibility	Misjudgment risk	～かもしれない (common)	[sound:1532ae8559a5.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
意見は対立するとやもしれない。	いけんはたいりつするとやもしれない。	Opinions may conflict.	Uncertain scenario	～とやもしれない	Possible divergence	Opinion conflict	～可能性がある (simpler)	[sound:95dab64fc00f.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
もっともなことだが、実行は困難である。	もっともなことだが、じっこうはこんなんである。	While reasonable, implementation is difficult.	Concession/contrast	もっともなことだが	Merit acknowledgment	Merit/difficulty	もっともだが (shorter)	[sound:80fd7bf9d85f.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
なんと言っても、経験が最も重要だ。	なんといっても、けいけんがもっともじゅうようだ。	In any case, experience is most important.	Emphasis/priority	なんと言っても	Strongest emphasis	Experience priority	やはり (after all)	[sound:cb6477d39f7c.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
ともあれ、決定は下された。	ともあれ、けっていはくだされた。	In any case, the decision was made.	Conclusion/transition	ともあれ	Discussion closure	Decision	いずれにせよ (anyway)	[sound:52bf4db2f8e1.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
そんな中、新しい提案が浮上した。	そんななか、あたらしいていあんがふじょうした。	In such circumstances, a proposal emerged.	Context setting	そんな中	Backdrop for development	New proposal	こうした中 (formal)	[sound:967348a0fd1c.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
細かい点はさておき、重要なのは結果である。	こまかいてんはさておき、じゅうようなのはけっかである。	Setting aside details, results matter.	Setting aside/dismissing	さておき	Dismissing minor concerns	Result focus	置いておき (casual)	[sound:a6e5bf3ecbd4.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
それにも関わらず、問題は解決されなかった。	それにもかかわらず、もんだいはかいけつされなかった。	Despite that, the problem was not solved.	Concessive contrast	それにも関わらず	Strong despite contrast	Unsolved	しかし (however)	[sound:59fcd478077e.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
成功は困難だと予想されたにもかかわらず、達成された。	せいこうはこんなんだとよそうされたにもかかわらず、たっせいされた。	Despite being predicted difficult, it was achieved.	Against expectations	にもかかわらず	Surpassing expectations	Unexpected success	けれども (yet)	[sound:b16d485dfa1f.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
失敗の可能性も高いと見られるが、試みる価値がある。	しっぱいのかのうせいもたかいとみられるが、こころみるかちがある。	While failure is likely, trying is worth it.	Assessment with caveat	～と見られるが	Expert view with caveat	Risk assessment	～のに (concessive)	[sound:ea17b661c347.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
事態は深刻化するとみられ、早急な対応が求められる。	じたいはしんこくかするとみられ、さっきゅうなたいおうがもとめられる。	Situation worsens, urgent response needed.	Outlook plus implication	とみられ	Assessment driving necessity	Urgent action	～ようで (seeming)	[sound:441ef5e0eb0e.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
当初の予想に反して、経済は好転したと言えよう。	とうしょのよそうにはんして、けいざいはこうてんしたといえよう。	One might say economy improved contrary to expectation.	Tentative conclusion	と言えよう	Cautious assertion	Economic recovery	～といえる (assertion)	[sound:7068c03b8402.mp3]	module:12-beyond-n1 jlpt:beyond point:editorial-style
