#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::02 - N4 Grammar::Cloze

朝起き{{c1::たら}}、外は雨でした。	あさおき{{c1::たら}}、そとはあめでした。	when woke	[sound:b9cc3a627701.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top1k complexity:intro source:shin-kanzen sense:conditionals
冷蔵庫を開け{{c1::たら}}、牛乳がありました。	れいぞうこをひらけ{{c1::たら}}、ぎゅうにゅうがありました。	when opened	[sound:ec9408e7e7f5.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top1k complexity:standard source:shin-kanzen sense:conditionals
疲れ{{c1::たら}}連絡してね。	つかれ{{c1::たら}}れんらくしてね。	when tired contact me	[sound:5ff0ad259140.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top10k complexity:intro source:shin-kanzen sense:conditionals
家に着い{{c1::たら}}シャワーを浴びた。	いえについ{{c1::たら}}しゃわーをあびた。	narrative-then after arriving	[sound:e6f559222c18.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top1k complexity:standard source:shin-kanzen sense:conditionals
朝起き{{c1::たら}}、窓を開けた。	あさおき{{c1::たら}}、まどをひらけた。	narrative-then morning	[sound:883f7c399d65.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top1k complexity:intro source:shin-kanzen sense:conditionals
スーパーに行っ{{c1::たら}}、友達に会った。	すーぱーにいっ{{c1::たら}}、ともだちにあった。	narrative-then at store	[sound:b8f53458cb3b.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top1k complexity:standard source:shin-kanzen sense:conditionals
テストが終わっ{{c1::たら}}、遊びに行こう。	てすとがおわっ{{c1::たら}}、あそびにいこう。	when test finishes	[sound:2d81f80b019c.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top5k complexity:standard source:shin-kanzen sense:conditionals
お金が貯まっ{{c1::たら}}、新しい車を買う。	おきんがたまっ{{c1::たら}}、あたらしいくるまをかう。	when money accumulates	[sound:6c7e680a500f.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top10k complexity:standard source:shin-kanzen sense:conditionals
夜中に電話が鳴っ{{c1::たら}}、びっくりした。	よなかにでんわがなっ{{c1::たら}}、びっくりした。	when phone rang at night	[sound:d20ec04cc3bc.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top10k complexity:standard source:shin-kanzen sense:conditionals
大学に入っ{{c1::たら}}、人生が変わった。	だいがくにはいっ{{c1::たら}}、じんせいがかわった。	when entered university	[sound:cd2e64f5ed87.mp3]	module:02-n4 jlpt:n4 point:たら frequency:top10k complexity:standard source:shin-kanzen sense:conditionals
