#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::03 - N3 Grammar::Production
#
Sometimes he becomes silent (occasionally does).	時々彼は黙っていることがある。	ときどきかれはだまっていることがある。	時々彼は黙っていることがある。	Occasional experience; happens sometimes	[sound:fb053e77d966.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top5k source:shin-kanzen
In winter, snow sometimes falls.	冬には雪が降ることがある。	ふゆにはゆきがふることがある。	冬には雪が降ることがある。	Occasional natural event	[sound:f91333fe150d.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
Sometimes [I] oversleep.	朝寝坊することがある。	あさねぼうすることがある。	朝寝坊することがある。	Admit occasional mistake	[sound:18b9e8285ee5.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:intro frequency:low source:shin-kanzen
Sometimes [I] fight with my girlfriend.	彼女と喧嘩することがある。	かのじょとけんかすることがある。	彼女と喧嘩することがある。	Relationship friction	[sound:3233f1545d94.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top5k source:shin-kanzen
While studying, [I] sometimes doze off.	勉強中に居眠りすることがある。	べんきょうちゅうにいねむりすることがある。	勉強中に居眠りすることがある。	Occasional drowsiness	[sound:afa4ee9f09ef.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
He can speak Japanese.	彼は日本語を話すことができる。	かれはにほんごをはなすことができができる。	彼は日本語を話すことができる。	Ability to do; capability	[sound:17b35b7852e0.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
Anyone can dream.	誰もが夢を見ることができる。	だれもがゆめをみることができる。	誰もが夢を見ることができる。	Possible for all	[sound:6735d1064758.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top5k source:shin-kanzen
On this PC, [you] can watch movies.	このパソコンで映画を見ることができる。	このぱそこんでえいがをみることができる。	このパソコンで映画を見ることができる。	Device/tool permits action	[sound:2875b3dfdabd.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top5k source:shin-kanzen
With money, [one] can buy anything.	お金があれば、何でも買うことができる。	おかねがあれば、なんでもかうことができる。	お金があれば、何でも買うことができる。	Prerequisite enables action	[sound:f14f7b1ed301.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
In the forest, [I] was able to see various animals.	森の中で様々な動物を見ることができた。	もりのなかでようようなどうぶつをみることができた。	森の中で様々な動物を見ることができた。	Achieved/experienced action	[sound:74f536fda49f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
[I] decided to run every day.	毎日走ることにした。	まいにちはしることにした。	毎日走ることにした。	Deliberate decision; one decides	[sound:040f698164e0.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:intro frequency:top1k source:shin-kanzen
Starting tomorrow, [I] will quit smoking.	明日から禁煙することにします。	あしたからきんえんすることにします。	明日から禁煙することにします。	Resolve to do from now on	[sound:5a17615691af.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
It was decided [I] will go to a new school next month.	来月から新しい学校に行くことになった。	らいげつからあたらしいがっこうにいくことになった。	来月から新しい学校に行くことになった。	External arrangement; 'it has been arranged'	[sound:0d2afb33628d.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
Let's decide to meet every Friday.	毎週金曜日に会うことにしましょう。	まいしゅうきんようびにあうことにしましょう。	毎週金曜日に会うことにしましょう。	Propose mutual agreement	[sound:db0b68b53913.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
It has been arranged that that person handles this job.	この仕事はあの人が担当することになった。	このしごとはあのひとがたんとうすることになった。	この仕事はあの人が担当することになった。	External assignment	[sound:539efc2b8824.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
One should do things that help people.	人のためになることをするべきだ。	ひとのためになることをするべきだ。	人のためになることをするべきだ。	Literary: 'one should'; obligation	[sound:78957e9ea450.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
How strange! What an oddity!	何というか、不思議なことか。	なんというか、ふしぎなことか。	何というか、不思議なことか。	Literary exclamation; 'what a X!'	[sound:e7d3b15c4714.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
Don't relax; always be careful.	安心することなく、常に注意しなさい。	あんしんすることなく、つねにちゅういしなさい。	安心することなく、常に注意しなさい。	Without doing; never do X	[sound:f0238d2d102b.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
It's not that [I] have no time.	時間がないことはない。	じかんがないことはない。	時間がないことはない。	Litotes: 'not that there isn't'; there is	[sound:772f1a8f3e4f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:intro frequency:top1k source:shin-kanzen
It's not that [I] never fail; [I] do sometimes.	失敗しないことはない。	しっぱいしないことはない。	失敗しないことはない。	Concede that X sometimes happens	[sound:08a2ff42e8da.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:intro frequency:top5k source:shin-kanzen
Was able to watch a movie, [I] was happy.	映画を見ることができて、嬉しかった。	えいがをみることができて、うれしかった。	映画を見ることができて、嬉しかった。	Achieved action + emotion	[sound:dba0a75dde07.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
Can't do nothing; must do something.	何もしないことはできない。	なにもしないことはできない。	何もしないことはできない。	Impossible to not do; must do	[sound:cd25a25d268f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
Without crying, [she] continued the performance.	泣くことなく、演技を続けた。	なくことなく、えんぎをつづけた。	泣くことなく、演技を続けた。	Without doing X; never do	[sound:dc9d86d76aec.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
On rainy days, [you] can't play outside.	雨の日は外で遊ぶことができない。	あめのひはそとであそぶことができない。	雨の日は外で遊ぶことができない。	Unable to do due to condition	[sound:9c4ad75f01db.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top5k source:shin-kanzen
Decided to meet every Friday.	毎週金曜日に会うことに決めた。	まいしゅうきんようびにあうことにきめた。	毎週金曜日に会うことに決めた。	Decided on arrangement	[sound:9d18ca16ed57.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:low source:shin-kanzen
Have heard that news before.	その知らせを聞いたことがある。	そのしらせをきいたことがある。	その知らせを聞いたことがある。	Have experienced in past	[sound:a1a36cd4ff0b.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
Hoping to succeed.	成功することを願っている。	せいこうすることをねがっている。	成功することを願っている。	Wishing for action X	[sound:f1c0411c6b30.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
Without changing, [I] will continue supporting.	変わることなく、応援し続ける。	かわることなく、おうえんしつづける。	変わることなく、応援し続ける。	Unchanged; consistently X	[sound:575fe1c1562f.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top10k source:shin-kanzen
Was able to see from high place.	高いところから見ることができました。	たかいところからみることができました。	高いところから見ることができました。	Could do; managed to	[sound:a8be361a16c1.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top1k source:shin-kanzen
Can't live without working.	働くことなしに生活できない。	はたらくことなしにせいかつできない。	働くことなしに生活できない。	Without X; can't exist	[sound:be4fbcd28be9.mp3]	module:03-n3 jlpt:n3 point:koto-nominalisations complexity:standard frequency:top5k source:shin-kanzen
