#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition
#
彼の態度は権力ぶっている。	かれのたいどはけんりょくぶっている。	His attitude is showing off power.	False authority	〜ぶっている	Pretense marker	Arrogance context	〜めいている	[sound:8fdbf1fa15b0.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low source:shin-kanzen
新しい制度は現代的めいている。	あたらしいせいどはげんだいてきめいている。	The new system appears modern.	Atmospheric quality	〜めいている	Contemporary appearance	Innovation context	〜ぶりの	[sound:bf3a14531a07.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k source:shin-kanzen
その指摘は過度に学者じみている。	そのしてきはかどにがくしゃじみている。	That point excessively smacks of academic pretension.	Unwanted quality	〜じみている	Pedantic tone	Criticism context	〜ぶり	[sound:5c3d11fe3bfd.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low source:shin-kanzen
少年が大人びた返答をした。	しょうねんがおとなびたへんとうをした。	The boy gave a mature response.	Precocious quality	〜びた	Developed trait	Age context	〜めいた	[sound:6f163256fece.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low source:shin-kanzen
親父臭い言動だ。	おやじくさいげんどうだ。	His behavior smells of old-man-ish.	Negative stereotype	〜くさい	Unwanted quality	Behavior context	〜じみた	[sound:a61278d1ebb9.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low source:shin-kanzen
長年の経験が滲み出ている表現だ。	ながねんのけいけんがにじみでているひょうげんだ。	An expression that oozes long experience.	Subtle manifestation	〜が滲み出ている	Evident quality	Experience context	〜が現れている	[sound:b1526a9729d4.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k source:shin-kanzen
管理職ぶった態度では部下の信頼を失う。	かんりしょくぶったたいどではぶかのしんらいをうしなう。	Affecting a managerial attitude loses subordinate trust.	False rank	〜ぶった	Fraudulent role	Leadership context	〜のふりをした	[sound:f2973911984f.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low source:shin-kanzen
古びた建物が多く残っている。	ふるびたたてものがおおくのこっている。	Many old buildings remain.	Aged quality	〜びた	Time-worn	Architecture context	〜めいた	[sound:0cba82d991ea.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top1k source:shin-kanzen
品のない下品な言い方だ。	しなのないげひんないいかただ。	It's a vulgar way of speaking.	Negative manner	下品な	Uncouth style	Speech context	〜っぽい	[sound:68dce4b66177.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low source:shin-kanzen
子どもっぽい遊びばかりしている。	こどもっぽいあそびばかりしている。	Playing childlike games all the time.	Childish behavior	〜っぽい	Apparent quality	Maturity context	〜めいた	[sound:3d9a2ced9392.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top5k source:shin-kanzen
その言動は知識人ぶっている。	そのげんどうはちしきじんぶっている。	His behavior shows off intellectual pretense.	False intellectualism	〜ぶっている	Pretense marker	Behavior context	〜のふりをしている	[sound:539708c58918.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:top10k source:shin-kanzen
春めいた美しさがある。	はるめいたうつくしさがある。	There's a spring-like beauty.	Seasonal appearance	〜めいた	Atmospheric quality	Nature context	〜のような	[sound:ecbb7c5f17b1.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:intro frequency:low source:shin-kanzen
その指摘は説教じみている。	そのしてきはせっきょうじみている。	That point comes across as preachy.	Unwanted character	〜じみている	Negative tinge	Criticism context	〜のようだ	[sound:513e5f7ddd5e.mp3]	module:05-n1 jlpt:n1 point:n1-suffixes complexity:standard frequency:low source:shin-kanzen
