#separator:tab
#html:true
#columns:Audio	Transcript	Reading	EN	Hint	Tags
#notetype:Listening
#deck:Japanese Grammar::11 - Classical::Listening
#
[sound:d9047be5782a.mp3]	彼はこの仕事をせぬ	かれはこのしごとをせぬ	Negation (古典).	modern ぬ = ない	module:11-classical point:classical-aux-verbs complexity:intro frequency:top5k source:imabi point:module-listening_listening complexity:standard
[sound:5f5389920648.mp3]	我輩はこれを為さん	わがはいはこれをなさん	Volitional (古典).	modern ～う/～よう	module:11-classical point:classical-aux-verbs complexity:intro frequency:low source:imabi point:module-listening_listening complexity:standard
[sound:434b63631d27.mp3]	学べし	まなべし	Should/must (古典).	modern べき/はずだ	module:11-classical point:classical-aux-verbs complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:2d2e34c7b342.mp3]	行くべきか	いくべきか	Ought/should (古典).	modern べき/はずだ	module:11-classical point:classical-aux-verbs complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:e904fd8d8d08.mp3]	するべからず	するべからず	Must not (古典).	modern ～はずがない	module:11-classical point:classical-aux-verbs complexity:intro source:imabi point:module-listening_listening complexity:standard
[sound:0e1a030ad5d8.mp3]	決してやるべまじ	けっしてやるべまじ	Forbidden (古典).	modern ～てはいけない	module:11-classical point:classical-aux-verbs complexity:intro frequency:top5k source:imabi point:module-listening_listening complexity:standard
[sound:3258f3176a39.mp3]	それ故に行かぬ	それゆえにいかぬ	Therefore not (古典).	modern いかない	module:11-classical point:classical-aux-verbs complexity:intro frequency:low source:imabi point:module-listening_listening complexity:standard
[sound:0f5d75732ff3.mp3]	知るざり	しるざり	Neg perfective (古典).	modern ～なかった	module:11-classical point:classical-aux-verbs complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:99cfaa23b48e.mp3]	汝何ぞ来たりや	なんじなにぞきたりや	Why did you come.	modern か	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:ba8331bd5c6b.mp3]	この者の身のたけや	このもののみのたけや	What is this person's height.	modern か	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:2b3321594684.mp3]	王の命なるに	おうのいのちなるに	In that it is the king's word.	modern の・が	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:a8186ad805c0.mp3]	彼の言葉なり	かのことばなり	It is his words.	modern ～の・～である	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top5k source:imabi point:module-listening_listening complexity:standard
[sound:6541dd912f39.mp3]	罪を犯し	つみをおかし	Commit a crime (object marker).	modern を	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:05a817ab6496.mp3]	命を失わん	いのちをうしなわん	Will lose one's life.	modern を	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:8025c4bc4e5f.mp3]	火よ燃えよ	ひよもえよ	O fire, burn.	modern ～よ・～ね	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top5k source:imabi point:module-listening_listening complexity:standard
[sound:3646557081a9.mp3]	知識よりして	ちしきよりして	From knowledge.	modern から・に	module:11-classical point:classical-particles-conjugations complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:c3ba4c6f2bf1.mp3]	何ぞ知らん	なにぞしらん	How would one know.	modern なぜ	module:11-classical point:kanbun-yomi complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:f9a23777825a.mp3]	もとより然るべし	もとよりしかるべし	Naturally it should be so.	modern もともと	module:11-classical point:kanbun-yomi complexity:intro source:imabi point:module-listening_listening complexity:standard
[sound:e8f638347e78.mp3]	然くして	ぜんくして	Thus/in this way.	modern そのようにして	module:11-classical point:kanbun-yomi complexity:intro source:imabi point:module-listening_listening complexity:standard
[sound:3e1bb87f8390.mp3]	如何なる者ぞや	いかなるものぞや	What kind of person is it.	modern どんな～か	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
[sound:9a47eab64ec9.mp3]	きわめて美し	きわめてうつくし	Extremely beautiful.	modern 極めて・非常に	module:11-classical point:kanbun-yomi complexity:intro frequency:low source:imabi point:module-listening_listening complexity:standard
[sound:87519f1b836e.mp3]	古人のいわく	こじんのいわく	The ancients say.	modern ～という	module:11-classical point:kanbun-yomi complexity:intro frequency:top1k source:imabi point:module-listening_listening complexity:standard
[sound:1a4f64e6a220.mp3]	故に行く	ゆえにいく	Therefore he goes.	modern だから・そのため	module:11-classical point:kanbun-yomi complexity:intro frequency:low source:imabi point:module-listening_listening complexity:standard
[sound:b661c5df104a.mp3]	不幸にして死す	ふこうにしてしす	Unfortunately he dies.	modern あいにく	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k source:imabi point:module-listening_listening complexity:standard
