#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::03 - N3 Grammar::Cloze
#
彼が遅れたの{{c1::わけだ}}。	かれがおくれたのわけだ。	explanation: that's why he was late	[sound:ddce418bdc1f.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:intro frequency:top10k
実は失敗したわけ{{c1::ではない}}。	じつはしっぱいしたわけ{{c1::ではない}}。	negation: not that (I) failed	[sound:5fad1773e89c.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:intro frequency:top10k
実はそんなことあるわけ{{c1::がない}}。	じつはそんなことあるわけ{{c1::がない}}。	impossibility: no way	[sound:3c309975b85f.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実はここで失敗するわけ{{c1::にはいかない}}。	じつはここでしっぱいするわけ{{c1::にはいかない}}。	obligation: can't afford to fail	[sound:bf1260f72810.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
要するに、背が高いという{{c1::わけだ}}。	ようするに、せがたかいというわけだ。	restatement: in other words	[sound:b7ca7242ba9b.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は時々彼は黙っていることが{{c1::ある}}。	じつはときどきかれはだまっていることが{{c1::ある}}。	occasional: sometimes (does)	[sound:3f3dab6c8675.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は彼は日本語を話すことが{{c1::できる}}。	じつはかれはにほんごをはなすことが{{c1::できる}}。	ability: can speak	[sound:70be6326c89b.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は毎日走ることに{{c1::した}}。	じつはまいにちはしることに{{c1::した}}。	decision: decided to	[sound:b25bf3e03c43.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:intro frequency:top10k
実は来月から新しい学校に行くことに{{c1::なった}}。	じつはらいげつからあたらしいがっこうにいくことに{{c1::なった}}。	arrangement: was arranged that	[sound:eaf3de6d00ac.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
人のためになることをするべきだという{{c1::ことだ}}。	ひとのためになることをするべきだということだ。	norm (literary): one should	[sound:a7638f092700.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top1k
実は子供の頃、毎日外で遊ぶ{{c1::ものだった}}。	じつはこどものごろ、まいにちそとであそぶ{{c1::ものだった}}。	nostalgic: used to	[sound:4fcddb2698a3.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は人は誰もが死ぬ{{c1::ものだ}}。	じつはにんはだれもがしぬ{{c1::ものだ}}。	universal: destined to	[sound:1d3a512b0a77.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:intro frequency:top10k
実は彼は頭がいい{{c1::ものだから}}、何でも上手い。	じつはかれはあたまがいい{{c1::ものだから}}、なんでもうまい。	reason: since he's intelligent	[sound:57f0e4452b17.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は私がそんなことするもの{{c1::か}}。	じつはわたしがそんなことするもの{{c1::か}}。	emphatic negation: like hell I would	[sound:bf34ecd58d06.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は親に反抗するもの{{c1::ではない}}。	じつはおやにはんこうするもの{{c1::ではない}}。	propriety: shouldn't do	[sound:57f4c9f97e53.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:intro frequency:top10k
あなたのせいで、試験に落ちた。から / {{c1::おかげで}}？	あなたのせいで、しけんにおちた。おかげで？	context: blame or gratitude? (blame)	[sound:fa3cbd1e417a.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top5k
実は兄は弟のために、大学を{{c1::辞めた}}。	じつはあにはおとうとのために、だいがくを{{c1::やめた}}。	purpose: for brother's sake	[sound:b427545052e2.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
インターネットを{{c1::通して}}、世界中と繋がれる。	いんたーねっとをとおして、せかいじゅうとつながれる。	via: through the internet	[sound:06e642d08a7e.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top5k
実は雨が降ったら、試合は{{c1::中止}}になる。	じつはあめがふったら、しあいは{{c1::ちゅうし}}になる。	conditional: match will cancel	[sound:703341a03f6d.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は彼は学生{{c1::だけに}}、知識が豊富だ。	じつはかれはがくせい{{c1::だけに}}、ちしきがほうふだ。	because: precisely as student	[sound:a788dae1b940.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
新しい{{c1::ばかりに}}、使い方に困った。	あたらしいばかりに、つかいかたにこまった。	unfortunately: because it's new	[sound:77d2d9e36086.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:intro frequency:top1k
失敗することはない。→ 失敗しないこと{{c1::はない}}。	しっぱいしないことはない。	double negation: do sometimes fail	[sound:c65aa5d476f9.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top5k
実は何というか、不思議な{{c1::ことか}}。	じつはなんというか、ふしぎな{{c1::ことか}}。	exclamation: what a strange thing!	[sound:0ef5f49a20f6.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は若いばかりに、経験が{{c1::不足}}していた。	じつはわかいばかりに、けいけんが{{c1::ふそく}}していた。	unfortunate: youth lacks experience	[sound:bb6f2d4eda62.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
実は皆の協力のおかげで、プロジェクトが{{c1::成功}}した。	じつはみなのきょうりょくのおかげで、ぷろじぇくとが{{c1::せいこう}}した。	gratitude: thanks to cooperation	[sound:d1a65b35d1ff.mp3]	module:03-n3 jlpt:n3 point:wake-koto-mono complexity:standard frequency:top10k
