#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::12 - Beyond N1::Production
#
Data is treated as valid statistics.	～として扱われる	でーたはゆうこうなとうけいとしてあつかわれる。	データは有効な統計として扱われる。	Technical handling	[sound:fe39f06c159c.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
This variable is treated as independent.	～として扱われている	このへんすうはどくりつへんすうとしてあつかわれている。	この変数は独立変数として扱われている。	Technical role	[sound:e07620f5bc75.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Conclusion is presented as follows.	～として提示される	けつろんはいかのようにていじされる。	結論は以下のように提示される。	Structured display	[sound:c3eb1ca36b54.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
Building on prior research, we propose new method.	～を踏まえて	せんこうけんきゅうをふまえて、あたらしいしゅほうをていあんする。	先行研究を踏まえて、新しい手法を提案する。	Reference point	[sound:8116527571a4.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
In light of existing knowledge, the following holds.	～を踏まえると	これまでのちけんをふまえると、いかがいえる。	これまでの知見を踏まえると、以下が言える。	Conditional conclusion	[sound:4df3f4ab71a7.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
Based on test results, improvements implemented.	～に踏まえ	しけんけっかにふまえ、かいぜんさくをじっしする。	試験結果に踏まえ、改善策を実施する。	Grounding action	[sound:a63eedc65164.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:top10k source:dictionary-of-jp-grammar
While keeping budget controlled, efficiency pursued.	～を抑えて	よさんをおさえて、こうりつかをめざす。	予算を抑えて、効率化を目指す。	Operating within limits	[sound:0bdaf4180de4.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
We introduce it experimentally only in region.	～を限って	このちいきをかぎって、しけんてきにどうにゅうする。	この地域を限って、試験的に導入する。	Restricted domain	[sound:9b8eb5420d45.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
We operate limited to nighttime.	～を限って	やかんをかぎってえいぎょうする。	夜間を限って営業する。	Operating only during period	[sound:fb637cbe3910.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:intro frequency:low source:dictionary-of-jp-grammar
Change accompanied by high growth is needed.	～を伴う	たかいせいちょうをともなうへんかがもとめられる。	高い成長を伴う変化が求められる。	Linked phenomena	[sound:36127dfec814.mp3]	module:12-beyond-n1 jlpt:beyond point:technical-prose complexity:standard frequency:low source:dictionary-of-jp-grammar
