#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition
#
このプランは日本国内に限る。	このぷらんはにほんこくないにかぎる。	This plan is limited to Japan only.	Scope limitation	に限る	Restrictive scope	Only applies	に限らず	[sound:6991ac4035ef.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
金曜日のみに限り配達可能。	きんようびのみにかぎりはいたつかのう。	Delivery is possible only on Fridays.	Temporal restriction	に限り	Time-limited availability	Specific day	に限る	[sound:691c69e01965.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
この条件下に限ってのみ許可する。	このじょうけんかにかぎってのみきょかする。	I approve only under these conditions.	Conditional permission	に限って	Conditioned allowance	Stipulation	に限る	[sound:481e0167ecc4.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
学生に限ってこのサービスが無料。	がくせいにかぎってこのさーびすがむりょう。	This service is free only for students.	Group-specific benefit	に限って	Exclusive provision	Student benefit	に限る	[sound:29dae1c4a923.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
書類の提出に限定される。	しょるいのていしゅつにげんていされる。	It is limited to document submission.	Scope restriction	に限定される	Narrow scope	Documentation	に限る	[sound:ee52ec614997.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:intro frequency:low source:shin-kanzen
このルールは例外に限らず適用される。	このるーるはれいがいにかぎらずてきようされる。	This rule applies without exception.	Absolute application	に限らず	No exception clause	Universal rule	に限る	[sound:90a8ce3269a9.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
専門家に限らず一般人も質問できる。	せんもんかにかぎらずいっぱんじんもしつもんできる。	Not only experts but also ordinary people can ask questions.	Inclusive scope	に限らず	Inclusive application	Open participation	に限る	[sound:f7f9ed6d37b8.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
アジアに限らず世界中で流行している。	あじあにかぎらずせかいじゅうではやっている。	It's popular not just in Asia but worldwide.	Wider scope	に限らず	Expansive reach	Global context	に限る	[sound:023b66c6fd75.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:top10k source:shin-kanzen
その利点は学生に限らない。	そのりてんはがくせいにかぎらない。	That advantage is not limited to students.	Extended benefit	に限らない	Broader application	Universal advantage	に限る	[sound:53bdfafe9b80.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
問題は組織内に限りません。	もんだいはそしきないにかぎりません。	The problem is not confined to the organization.	Extended scope	に限りません	Broader issue	Systemic problem	に限る	[sound:01af761b77ba.mp3]	module:04-n2 jlpt:n2 point:formal-condition point:formal-condition-restriction complexity:standard frequency:low source:shin-kanzen
