#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::06 - Keigo::Production
#
Please help me / Best regards.	よろしく+おねがい+いたす	よろしくおねがいいたします。	よろしくお願いいたします。	standard business phrase	[sound:e1ef2f1b2f82.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Are there any unclear points?	ご不明+ございませんか	ごふめいなてんはございませんか。	ご不明な点はございませんか。	polite clarification	[sound:4ef57b12ba4a.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Thank you too (reciprocal).	こちらこそ+ありがとう+ございます	こちらこそありがとうございます。	こちらこそありがとうございます。	reciprocal thanks	[sound:f7fe55ae2712.mp3]	module:06-keigo point:business-set-phrases complexity:standard source:dictionary-of-jp-grammar
I'm very sorry to trouble you.	大変+恐れ入る+ます+が	たいへんおそれいりますが。	大変恐れ入りますが。	emphatic polite apology	[sound:de08ee67f0d7.mp3]	module:06-keigo point:business-set-phrases complexity:intro frequency:low source:dictionary-of-jp-grammar
If you have any unclear points.	何か+ご不明+ございましたら	なにかごふめいなてんがございましたら。	何かご不明な点がございましたら。	polite conditional	[sound:73f8368083ec.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Please look at this.	こちら+ご覧+ください	こちらをごらんください。	こちらをご覧ください。	polite instruction	[sound:5ab081f46a72.mp3]	module:06-keigo point:business-set-phrases complexity:intro source:dictionary-of-jp-grammar
Please tell me if there are unclear points.	ご不明+について+お聞かせください	ごふめいなてんについておきかせください。	ご不明な点についてお聞かせください。	polite request	[sound:1dcd9fb73f3e.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Either is fine, but.	どちら+かまう+ません+が	どちらでもかまいませんが。	どちらでもかまいませんが。	polite choice	[sound:e0ee71d1ce16.mp3]	module:06-keigo point:business-set-phrases complexity:standard source:dictionary-of-jp-grammar
I will inform you of the costs.	かかる+について+お伝え+いたす	かかるひようについておつたえいたします。	かかる費用についてお伝えいたします。	formal notification	[sound:1fe571a9928a.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Do you have any objections here?	こちら+異議+ございませんか	こちらでいぎはございませんか。	こちらで異議はございませんか。	polite objection check	[sound:c1dfd6745d8b.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
I look forward to your continued support.	今後とも+よろしく+おねがい+いたす	こんごともよろしくおねがいいたします。	今後ともよろしくお願いいたします。	future gratitude	[sound:540b54a457cd.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
I will contact you separately.	別途+ご連絡+させていただく	べっとごれんらくさせていただきます。	別途ご連絡させていただきます。	polite future action	[sound:2cc2f3462399.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top5k source:dictionary-of-jp-grammar
Thank you for your time.	お時間+いただく+ありがとう+ございます	おじかんをいただきありがとうございます。	お時間をいただきありがとうございます。	time gratitude	[sound:51f917b4c3d4.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top1k source:dictionary-of-jp-grammar
How about this one?	こちら+いかが+でしょう+か	こちらはいかがでしょうか。	こちらはいかがでしょうか。	polite presentation	[sound:45f2448d7fa9.mp3]	module:06-keigo point:business-set-phrases complexity:standard source:dictionary-of-jp-grammar
If you like, please check this.	よろしければ+こちら+ご確認+ください	よろしければこちらをごかくにんください。	よろしければこちらをご確認ください。	polite conditional request	[sound:127dc75305e4.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Thank you for your reply.	返信+いただく+ありがとう+ございます	へんしんいただきありがとうございます。	返信いただきありがとうございます。	email thanks	[sound:ea7fffadd984.mp3]	module:06-keigo point:business-set-phrases complexity:standard source:dictionary-of-jp-grammar
Thank you very much despite your busy time.	お忙しい中+ありがとう+ございました	おいそがしいなかありがとうございました。	お忙しい中ありがとうございました。	gratitude acknowledgment	[sound:3e19399820fc.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Regarding the feedback I received.	いただいた+ご指摘+について	いただきましたごしてきについて。	いただきましたご指摘について。	acknowledging feedback	[sound:5d07905d11b8.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Thank you for your question.	ご質問+ありがとう+ございます	ごしつもんありがとうございます。	ご質問ありがとうございます。	question thanks	[sound:c9bff42bb014.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top1k source:dictionary-of-jp-grammar
Business: thank you for response this time.	この度+ご対応+ありがとう	このどはごたいおうありがとうございました。	この度はご対応ありがとうございました。	formal thanks	[sound:e7cd06e6a448.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Business: very sorry to trouble you.	大変+ご多忙+恐れ入る	たいへんごたぼうのところおそれいります。	大変ご多忙のところ恐れ入ります。	formal apology	[sound:0d9fd2a232c3.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Business: if you have questions about this.	本件+ご質問+ございましたら	ほんけんについてごしつもんなどございましたら。	本件についてご質問などございましたら。	polite conditional	[sound:deee87d28162.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Business: can you return by deadline.	返却期限+お返し+いただける	へんきゃくきげんまでにおかえしいただけますか。	返却期限までにお返しいただけますか。	polite request	[sound:5e1425471c4c.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Business: I will respond per your instructions.	ご指示+に従いまして+対応+いたす	ごしじにしたがいましてたいおういたします。	ご指示に従いまして対応いたします。	formal compliance	[sound:04f7ffb6c22d.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Business: sorry to rush you.	お急ぎ+申し訳+ございません	おいそぎのところもうしわけございません。	お急ぎのところ申し訳ございません。	formal apology	[sound:e7a4fe562224.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Business: as you know (formal).	ご存知+の通り+でございます	ごぞんじのとうりでございます。	ご存知の通りでございます。	formal confirmation	[sound:6982f2ed858d.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top5k source:dictionary-of-jp-grammar
Business: wish to meet separately.	別途+お打ち合わせ+させていただきたい	べっとおうちあわせをさせていただきたく。	別途お打ち合わせをさせていただきたく。	humble meeting request	[sound:40039c5681c9.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top5k source:dictionary-of-jp-grammar
Thank you for your careful attention.	こちらこそ+ご丁寧+ご対応+ありがとう	こちらこそごていねいなごたいおうをありがとうございます。	こちらこそご丁寧なご対応をありがとうございます。	formal thanks	[sound:dc0da66570f6.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
I will mail documents separately.	別途+書類+お郵送+させていただく	べっとしょるいをおゆうそうさせていただきます。	別途書類をお郵送させていただきます。	future action	[sound:811cdb3eb3cd.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
Thank you for understanding.	ご理解+いただきまして+ありがとう	ごりかいいただきましてありがとうございます。	ご理解いただきましてありがとうございます。	formal thanks	[sound:6be10b0511b6.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
If there is anything unclear.	何か+ご分かりにくい+ございましたら	なにかごわからないことございましたら。	何かご分からないことございましたら。	polite conditional	[sound:1884ad2d5a34.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Please feel free to contact us.	弊社+お気軽に+お問い合わせ	へいしゃまでおきがるにおといあわせください。	弊社までお気軽にお問い合わせください。	polite invitation	[sound:d4319743f86c.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
I apologize for the pointed-out matter.	ご指摘+の件+お詫び+申し上げる	ごしてきのけんにつきましておわびもうしあげます。	ご指摘の件につきましてお詫び申し上げます。	formal apology	[sound:9778b42cfa73.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low source:dictionary-of-jp-grammar
I thank you for this cooperation.	今回+ご協力+お礼+申し上げる	こんかいのごきょうりょくについておれいもうしあげます。	今回のご協力についてお礼申し上げます。	formal thanks	[sound:89eaa2c8d27f.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k source:dictionary-of-jp-grammar
Thank you for attending.	ご出席+いただきまして+ありがとう	ごしゅっせきいただきましてありがとうございます。	ご出席いただきましてありがとうございます。	formal thanks	[sound:14eba666a1f4.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top5k source:dictionary-of-jp-grammar
