#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::03 - N3 Grammar::Cloze

彼は来たのに、{{c1::何も言わなかった}}。	かれはきたのに、{{c1::なにもいわなかった}}。	said nothing	[sound:79e39e00e355.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
雨なのに、{{c1::皆が外に出た}}。	あめなのに、{{c1::みながそとにでた}}。	everyone went out	[sound:1e010020a3a2.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
給料が高いのに、{{c1::満足していない}}。	きゅうりょうがたかいのに、{{c1::まんぞくしていない}}。	not satisfied	[sound:a93169214556.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
勉強したのに、{{c1::試験に落ちた}}。	べんきょうしたのに、{{c1::しけんにおちた}}。	failed the exam	[sound:07ce8fa0b7b3.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
彼は医者なのに、{{c1::患者を助けなかった}}。	かれはいしゃなのに、{{c1::かんじゃをたすけなかった}}。	didn't help patient	[sound:f5c85990016f.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
高いのに、{{c1::品質が悪い}}。	たかいのに、{{c1::ひんしつがわるい}}。	quality is poor	[sound:4f9e74ce3fc4.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
親切なのに、{{c1::みんなが避ける}}。	しんせつなのに、{{c1::みんながさける}}。	everyone avoids	[sound:ba86fedde042.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
やめろと言ったのに、{{c1::続けている}}。	やめろといったのに、{{c1::つづけている}}。	continues anyway	[sound:bc6ea17007a4.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
時間があるのに、{{c1::行かなかった}}。	じかんがあるのに、{{c1::いかなかった}}。	didn't go	[sound:5f77bfd74423.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
頼んだのに、{{c1::誰も来なかった}}。	たのんだのに、{{c1::だれもこなかった}}。	no one came	[sound:62819e08d558.mp3]	module:03-n3 jlpt:n3 point:のに complexity:standard frequency:top5k source:shin-kanzen
