#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::11 - Classical::Production
#
One time, one meeting.	ことわざ四字	いちごいちえ	一期一会	一回限りの出会い	[sound:991517c02a58.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top1k source:imabi
Besieged from all sides.	ことわざ四字	しめんそか	四面楚歌	四方を囲まれた状態	[sound:e6611d33d927.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Four-act structure.	ことわざ四字	きしょうてんけつ	起承転結	作品の構成・四段階	[sound:279cc6769df7.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro source:imabi
With utmost sincerity.	ことわざ四字	せいしんせいい	誠心誠意	心から・本気で	[sound:90561735abb7.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:low source:imabi
Much of a muchness.	ことわざ四字	ごじゅっぽひゃっぽ	五十歩百歩	どっちもどっち・大差ない	[sound:19dcf47957e3.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top1k source:imabi
Medicine has no effect.	ことわざ四字	やくせきこうなし	薬石効なし	手の施しようがない	[sound:020a11124be3.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top5k source:imabi
One leaf shows autumn.	ことわざ四字	いちようちあき	一葉知秋	小さなことから全体を推測	[sound:ae96fa312168.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top5k source:imabi
Foolproof plan.	ことわざ四字	ばんぜんのさく	万全の策	完璧な計画・対策	[sound:996b63f53072.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Dragon and tiger fight.	ことわざ四字	りゅうこそううつ	龍虎相搏つ	強い者同士が争う	[sound:33227ac3e94d.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Heaven and earth (obscure).	ことわざ四字	てんちげんこう	天地玄黄	天と地の深い色	[sound:3a4fce021456.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:low source:imabi
The vast primordial cosmos.	ことわざ四字	うちゅうこうこう	宇宙洪荒	開闢前の世界	[sound:9c016e5c15d5.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Comeback from retirement.	ことわざ四字	ひがしやまさいき	東山再起	隠居から再び活躍	[sound:f3cd1a1fd8d0.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top1k source:imabi
Adding eyes to painted dragon.	ことわざ四字	がりょうてんせい	画竜点睛	最後の仕上げ・完成	[sound:491e933182eb.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top5k source:imabi
Seeing once beats hearing a hundred times.	ことわざ成句	ひゃくぶんはいっけんにしかず	百聞は一見に如かず	自分で見ることが大切	[sound:f93d25b775f1.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:low source:imabi
Knowledge is power.	ことわざ成句	ちしきはちからなり	知識は力なり	学ぶことの大切さ	[sound:a141df74d26c.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Bad money drives out good.	ことわざ経済	あっかはりょうかをくちくする	悪貨は良貨を駆逐する	悪いものが良いものを淘汰	[sound:42c41f79b23f.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Blessing in disguise.	ことわざ四字	さいおうがうま	塞翁が馬	人生の吉凶は不定	[sound:a34d35ca3e24.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Old steed in the stable.	ことわざ四字	ろうきふくれき	老驥伏櫪	老いてなお志を失わず	[sound:f0763c416f1f.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro source:imabi
Spring breeze and autumn rain.	ことわざ四字	はるかぜあきさめ	春風秋雨	自然の恵み・季節	[sound:d65a06936ec1.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top1k source:imabi
Adapt to the situation.	ことわざ四字	りんきおうへん	臨機応変	状況に合わせて対応	[sound:4d480fa7ef51.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top5k source:imabi
Far-seeing eye.	ことわざ四字	せんりがん	千里眼	遠く見通す力	[sound:3f9d075c8e7c.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top1k source:imabi
Unchanging and changing.	ことわざ成句	ふえきりゅうこう	不易流行	不変と変化の両立	[sound:0c82b558fccb.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Acting as if no one else exists.	ことわざ四字	ぼうじゃくぶじん	傍若無人	他人を顧みない態度	[sound:bc13baeb5c75.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
Simplicity and strength.	ことわざ四字	しつじつごうけん	質実剛健	質素で剛健な態度	[sound:d6ca3ec878bd.mp3]	module:11-classical point:proverbs-yojijukugo complexity:intro frequency:top10k source:imabi
