#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::05 - N1 Grammar::Recognition
彼は必ず成功するに違いない。	かれはかならずせいこうするにちがいない。	He must definitely succeed.	〜に違いない	certainty	Certain conclusion	confidence	certainty	[sound:c5e187a34f84.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
その結論は正確であるに違いない。	そのけつろんはせいかくであるにちがいない。	That conclusion must be accurate.	〜に違いない	certainty	Must be correct	analysis	certainty	[sound:ef1065fcc654.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
この技術は革新的であるに違いない。	このぎじゅつはかくしんてきであるにちがいない。	This technology must be innovative.	〜に違いない	innovation	Surely innovative	technology	certainty	[sound:5db2f9a1d567.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:low source:shin-kanzen
彼の努力だけのことはある。	かれのどりょくだけのことはある。	His effort alone is worth it.	〜だけのことはある	worth	Effort shows results	achievement	reciprocal	[sound:a40284710bd0.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
その手法は効果的だけのことはある。	そのしゅほうはこうかてきだけのことはある。	That method is indeed effective.	〜だけのことはある	effectiveness	Proves effective	methods	reciprocal	[sound:1d5af4a23994.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:low source:shin-kanzen
彼女の才能は本物だけのことはある。	かのじょのさいのうはほんものだけのことはある。	Her talent is indeed genuine.	〜だけのことはある	talent	Real talent shows	ability	reciprocal	[sound:a247f3ffda24.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
これは重要であって、無視できない。	これはじゅうようであって、むしできない。	This is important and cannot be ignored.	〜であって	emphasis	Important, not ignorable	seriousness	affirmation	[sound:de65c236023b.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
その説明は明確であって、誤解の余地がない。	そのせつめいはめいかくであって、ごかいのよちがない。	That explanation is clear and leaves no room for misunderstanding.	〜であって	clarity	Clear, unambiguous	explanation	affirmation	[sound:ac0ba34b3aae.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:low source:shin-kanzen
高い価値があって、軽視すべきではない。	たかいかちがあって、けいしすべきではない。	It has high value and should not be dismissed.	〜であって	value	Has worth, not dismissible	assessment	affirmation	[sound:88c9c50b8b58.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
その判断は正しかろうと、結果が重要だ。	そのはんだんはただしかろうと、けっかがじゅうようだ。	Whether that judgment is right or not, the result matters.	〜であろうと	concession	Right or wrong, result counts	evaluation	concession	[sound:6bc729643a6b.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
成功しようと失敗しようと、努力が大切だ。	せいこうしようとしっぱいしようと、どりょくがたいせつだ。	Whether you succeed or fail, effort is what matters.	〜ようと	concession	Success or failure, effort counts	motivation	concession	[sound:196a6f0cba5e.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
彼の知識と経験が相まって、優れた成果を生み出した。	かれのちしきとけいけんがあいまって、すぐれたせいかをうみだした。	His knowledge and experience combined produced excellent results.	〜と相まって	combination	Combined effect	synergy	combination	[sound:263188271c64.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:low source:shin-kanzen
新技術と従来の方法が相まって、効率が向上した。	しんぎじゅつとじゅうらいのほうほうがあいまって、こうりつがこうじょうした。	New technology combined with traditional methods improved efficiency.	〜と相まって	synergy	Combined improvement	innovation	combination	[sound:a0a3e46d1c96.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:low source:shin-kanzen
理論と実践が相まって、真の理解が得られた。	りろんとじっせんがあいまって、まのりかいがえられた。	Theory and practice combined yielded true understanding.	〜と相まって	unity	Combined understanding	learning	combination	[sound:0587840b50bc.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:low source:shin-kanzen
彼はやもしれない状況にいた。	かれはやもしれないじょうきょうにいた。	He was perhaps in a precarious situation.	〜やもしれない	literary perhaps	Possibly/perhaps	uncertainty	literary	[sound:887c5d0e9101.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
その計画は失敗するやもしれない。	そのけいかくはしっぱいするやもしれない。	That plan might perhaps fail.	〜やもしれない	possibility	Might possibly fail	planning	literary	[sound:d385b998bcee.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top5k source:shin-kanzen
その決定は間違いに違いない。	そのけっていはまちがいにちがいない。	That decision must be wrong.	error	〜に違いない	Surely mistaken	judgment	certainty	[sound:b32e8cb6a3cc.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
彼の言葉は本心に違いない。	かれのことばはほんしんにちがいない。	His words must be his true feelings.	sincerity	〜に違いない	Must be genuine	emotion	certainty	[sound:5469ad9399c4.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
その情報は信頼できるに違いない。	そのじょうほうはしんらいできるにちがいない。	That information must be reliable.	trust	〜に違いない	Must be trustworthy	information	certainty	[sound:7b68b857d45c.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top10k source:shin-kanzen
多年の経験だけのことはある。	たねんのけいけんだけのことはある。	Years of experience surely show.	experience	〜だけのことはある	Experience evident	expertise	reciprocal	[sound:b247c72efde3.mp3]	module:05-n1 jlpt:n1 point:n1-modality-judgement-advanced complexity:standard frequency:top5k source:shin-kanzen
