#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast
#
若いうちに勉強しておく。	あいだに	まで	うちに	うちに = while still/during period	Study while young	[sound:8ba01ee3b634.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top1k complexity:intro
元気なうちに旅行に行こう。	あいだに	まで	うちに	うちに = while able/in time	Travel while healthy	[sound:06b2ebe0428d.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top1k complexity:standard
会社員の間に貯金する。	うちに	まで	あいだに	あいだに = during period/while being	Save money while employee	[sound:124fa76027fb.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top10k complexity:intro
雨の間に仕事を終わらせる。	うちに	まで	あいだに	あいだに = during the time of	Finish work during the rain	[sound:67e6d1534efb.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top5k complexity:standard
夜明けまでに着く。	うちに	あいだに	まで	まで = until/up to	Arrive by dawn	[sound:7d39b02ba717.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top10k complexity:intro
明日までに終わらせて。	うちに	あいだに	まで	まで = by (deadline)	Finish by tomorrow	[sound:ae675f974380.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top1k complexity:intro
目が覚めるうちに逃げよう。	あいだに	まで	うちに	うちに = before/while aware	Escape before he wakes up	[sound:53b85bf306d8.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top10k complexity:standard
病気の間に体が弱くなった。	うちに	まで	あいだに	あいだに = during illness period	Body weakened during illness	[sound:8e05acb0bb50.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:low complexity:standard
実行までに準備が必要。	うちに	あいだに	まで	まで = leading up to	Preparation needed before execution	[sound:c34094ae6824.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top10k complexity:intro
学生のうちに色々経験しておきたい。	あいだに	まで	うちに	うちに = while in state of/period of	Want experience while student	[sound:0ecda74f397f.mp3]	module:04-n2 jlpt:n2 register:formal point:temporal-na-uchini pos:expr frequency:top5k complexity:standard
