#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::08 - Slang::Production
#
That's a really cute outfit.	めっちゃ very	めっちゃかわいいふくだね。	めっちゃ可愛い服だね。	Cuteness praise	[sound:5cf595afd385.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top1k source:tofugu
That's seriously hilarious!	マジ seriously + funny	まじうける。	マジうける！	Laugh reaction	[sound:9b3340516dd7.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
I got that bag.	Get English	げっとしたよ、ばっぐ。	ゲットしたよ、バッグ。	Shopping success	[sound:5cf889686753.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
That guy is annoying.	うざい irritating	うざい、そいつ。	うざい、そいつ。	Annoyance expression	[sound:42853960879d.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
That's weird/gross.	引く recoil/withdraw	ひくよ、そんなの。	ひくよ、そんなの。	Disgust response	[sound:7ace7d87cadd.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
That fashion is uncool.	ダサい uncool	ださい、そのふぁっしょん。	ダサい、そのファッション。	Style judgment	[sound:2848af911b1d.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
That guy is super handsome.	チョー super + handsome	ちょーいけめん、あいつ。	チョーイケメン、あいつ。	Extreme admiration	[sound:852c5fd3f853.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
I love handsome guys.	イケメン attractive male	いけめん、だいすき。	イケメン、大好き。	Love expression	[sound:bf9d70b54127.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top1k source:tofugu
That accessory is so cute!	カワイイ elongation	かわいいー、そのあくせ。	カワイイー、そのアクセ。	Accessory praise	[sound:5b5bfc1cf0e7.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
Your hair is stylish.	おしゃれ fashionable	おしゃれだね、そのかみ。	オシャレだね、その髪。	Hair praise	[sound:83b816967509.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top5k source:tofugu
Seriously, that's crazy.	マジ seriously + extreme	まじ、やばいよ。	マジ、やばいよ。	Extreme reaction	[sound:42fe995a89c7.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
That's hilarious!	ウケる amuse	うける。	ウケる！	Quick laugh	[sound:f946763ad10c.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
Isn't it cute?	可愛い question	かわいくない。	可愛くない？	Seeking agreement	[sound:e89e3d8e7bc6.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
That girl is wonderful.	素敵 wonderful	すてきだね、そのこ。	素敵だね、その子。	Positive assessment	[sound:7afad34aadfc.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
Seriously! (cool gesture).	マジ + 卍 emoji	まじまんじ。	マジ卍！	Extreme approval	[sound:9ebabef26604.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
Your makeup looks amazing.	最高 best + makeup	さいこうだよ、そのめいく。	最高だよ、そのメイク。	Excellent comment	[sound:bbf9c9b0eb2b.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
That's so sparkly.	キラキラ sparkle	きらきらだね。	キラキラだね。	Glittery quality	[sound:07131d604c00.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
Your makeup is really done up.	盛る pile on	もってる、めいく。	盛ってる、メイク。	Glamorous makeup	[sound:48fe7313c7d2.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
That phone decoration is cute.	デコ decoration	でこ、かわいい。	デコ、かわいい。	Decoration praise	[sound:7e7123f9a365.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
That overly-stylized guy is funny.	ビタ overstylized	びたおとこ、うける。	ビタ男、うける。	Mocking reaction	[sound:e971d739a81b.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top1k source:tofugu
My favorite is cute.	推し favorite + cute	おし、かわいい。	推し、可愛い。	Attraction expression	[sound:05d6a1cd3060.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top1k source:tofugu
Fandom life is the best.	推し活 fan activity	おしかつ、さいこう。	推し活、最高。	Fandom appreciation	[sound:fa9697c884d2.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
I'm working hard for my favorite.	推し事 fandom work	おしかつおうえんちゅう。	推し活応援中。	Effort statement	[sound:17a885397cd5.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
I'm supporting my favorite.	推す support + doing	おし、おうえんしてる。	推し、応援してる。	Support action	[sound:729acff5a251.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro frequency:top10k source:tofugu
I want to support my favorite (monetarily).	推し contribute	おしにつぎたい。	推しに貢ぎたい。	Financial support	[sound:fb69274cb670.mp3]	register:slang domain:gyaru module:08-slang point:gyaru-words complexity:intro source:tofugu
