#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

When I got home, I took a shower.	もし + V-たら	いえにかえったら、しゃわーをあびました。	家に帰ったら、シャワーを浴びました。	たら: habitual sequence — return home triggers familiar routine	[sound:4e9161e5006c.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I opened the door, the cat was there.	もし + V-たら	どあをあけたら、ねこがいました。	ドアを開けたら、猫がいました。	たら: discovery conditional — opening door reveals unexpected presence	[sound:1e6cb5405dea.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I called her, she answered immediately.	もし + V-たら	かのじょにでんわしたら、すぐにこたえました。	彼女に電話したら、すぐに答えました。	たら: result discovery — calling reveals how quickly person responded	[sound:89c0fba12502.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top5k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I looked outside, it was snowing.	もし + V-たら	そとをみたら、ゆきがふっていました。	外を見たら、雪が降っていました。	たら: scene discovery — looking reveals an ongoing state in progress	[sound:675f29e16027.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
When the class started, the teacher was late.	もし + V-たら	じゅぎょうがはじまったら、せんせいがちこくしました。	授業が始まったら、先生が遅刻しました。	たら: temporal surprise — class start triggers unexpected absent teacher	[sound:48ae199eba2a.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I turned on the TV, the news was on.	もし + V-たら	てれびをつけたら、にゅーすがながれていました。	テレビをつけたら、ニュースが流れていました。	たら: channel discovery — turning on TV reveals program already running	[sound:06611c18754c.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I arrived at the station, it was raining.	もし + V-たら	えきについたら、あめがふっていました。	駅に着いたら、雨が降っていました。	たら: arrival discovery — reaching station reveals current weather state	[sound:ae8a60137025.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I checked my phone, there was a message.	もし + V-たら	けいたいをかくにんしたら、めっせーじがありました。	携帯を確認したら、メッセージがありました。	たら: checking reveals new information — unlocking phone uncovers message	[sound:9f0940c65721.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top10k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I woke up, it was already noon.	もし + V-たら	めがさめたら、もうひるでした。	目が覚めたら、もう昼でした。	たら: waking discovery — regaining consciousness reveals how much time passed	[sound:21c7592be677.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
When I read the letter, I understood everything.	もし + V-たら	てがみをよんだら、ぜんぶわかりました。	手紙を読んだら、全部わかりました。	たら: reading reveals understanding — completion of reading unlocks meaning	[sound:e476350473fa.mp3]	module:02-n4 jlpt:n4 register:neutral point:たら pos:expr frequency:top1k complexity:standard source:shin-kanzen sense:conditional-alternatives
