#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::02 - N4 Grammar::Contrast

彼は病気___。	ようだ	みたい	らしい	らしい = hearsay/report (indirect info)	I hear he's sick	[sound:df59eeb3b994.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top5k complexity:intro source:shin-kanzen
天気が悪くなる___。	ようだ	みたい	らしい	らしい = reported forecast	I hear weather will get worse	[sound:8fb5dc28314f.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top10k complexity:intro source:shin-kanzen
その映画はおもしろい___。	らしい	みたい	ようだ	ようだ = visual/direct appearance	That movie seems interesting	[sound:de22f97af32d.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top1k complexity:standard source:shin-kanzen
彼は疲れている___。	らしい	みたい	ようだ	ようだ = observable condition	He seems tired	[sound:43c94c56bc0b.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top10k complexity:intro source:shin-kanzen
その話はウソ___だ。	らしい	ようだ	みたい	みたい = looks like/seems (colloquial)	That story seems like a lie	[sound:80df4288ec4e.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top1k complexity:intro source:shin-kanzen
赤ちゃん___に泣いている。	らしい	ようだ	みたい	みたい = resembles/similar to	Crying like a baby	[sound:c743b96bdae0.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top5k complexity:standard source:shin-kanzen
彼は学者___。	ようだ	みたい	らしい	らしい = character/nature (typical of)	He's a typical scholar	[sound:7e8e6bd16e9d.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top10k complexity:intro source:shin-kanzen
その場所は危ない___。	らしい	みたい	ようだ	ようだ = appears/seems (observation)	That place appears dangerous	[sound:70e5735bdf80.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top5k complexity:intro source:shin-kanzen
彼の言葉はでたらめ___だ。	らしい	ようだ	みたい	みたい = seems/looks like (casual)	His words seem like nonsense	[sound:484406abd9f0.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top5k complexity:standard source:shin-kanzen
その人は医者___。	ようだ	みたい	らしい	らしい = apparent role/profession	That person is apparently a doctor	[sound:cfc4207e12ea.mp3]	module:02-n4 jlpt:n4 register:formal point:ようだ pos:expr frequency:top1k complexity:intro source:shin-kanzen
