#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#
#deck:Japanese Grammar (Strict)::01 - N5 Grammar::Production

Say: 'I must study'	私は勉強しなければなりません。	わたしはべんきょうしなければなりません。	私は勉強しなければなりません。	なければならない	[sound:4eec4779ec30.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:intro source:shin-kanzen frequency:top1k complexity:standard
Say: 'You have to go'	あなたは行かなければなりません。	あなたはいかなければなりません。	あなたは行かなければなりません。	なければならない	[sound:d502daf74c6c.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:intro source:shin-kanzen complexity:standard
Say: 'It's necessary to sleep'	寝ることが必要です。	ねることがひつようです。	寝ることが必要です。	こと+が+必要	[sound:cd9517aa9ccc.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top5k complexity:intro
Say: 'I must not be late'	私は遅刻してはいけません。	わたしはちこくしてはいけません。	私は遅刻してはいけません。	てはいけない	[sound:9c547b27f5ef.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top10k
Say: 'You shouldn't lie'	あなたは嘘をついてはいけません。	あなたはうそをついてはいけません。	あなたは嘘をついてはいけません。	てはいけない	[sound:c60c5442a651.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top5k
Say: 'I must finish today'	私は今日中に終わらせなければなりません。	わたしはきょうちゅうにおわらせなければなりません。	私は今日中に終わらせなければなりません。	なければならない	[sound:01437586d2ec.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top1k
Say: 'I should study more'	私はもっと勉強するべきです。	わたしはもっとべんきょうするべきです。	私はもっと勉強するべきです。	べき=should	[sound:4e412e6b3ca7.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top1k
Say: 'You must listen'	あなたは聞かなければなりません。	あなたはきかなければなりません。	あなたは聞かなければなりません。	なければならない	[sound:708223816f49.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen
Say: 'She has to come'	彼女は来なければなりません。	かのじょはこなければなりません。	彼女は来なければなりません。	なければならない	[sound:5c1e4dde258e.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:intro source:shin-kanzen frequency:top10k complexity:standard
Say: 'I ought to apologize'	私は謝るべきです。	わたしはあやまるべきです。	私は謝るべきです。	べき	[sound:7350027aa0e7.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top5k complexity:intro
Say: 'It's required to register'	登録することが必須です。	とうろくすることがひっすです。	登録することが必須です。	ひっす	[sound:20bf62cfc150.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:low complexity:intro
Say: 'We must respect rules'	私たちは規則を守らなければなりません。	わたしたちはきそくをまもらなければなりません。	私たちは規則を守らなければなりません。	なければならない	[sound:50a9bda7b6c3.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top5k
Say: 'I must not eat this'	これを食べてはいけません。	これをたべてはいけません。	これを食べてはいけません。	てはいけない	[sound:2b8036e8a1ea.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen
Say: 'They should know'	彼らは知っているべきです。	かれらはしっているべきです。	彼らは知っているべきです。	べき	[sound:39b8a2f6f03c.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:standard source:shin-kanzen frequency:top5k
Say: 'I had to stay'	私は残らなければなりませんでした。	わたしはのこらなければなりませんでした。	私は残らなければなりませんでした。	なければならない+過去	[sound:89c3685957fc.mp3]	module:01-n5 jlpt:n5 point:ないでください complexity:intro source:shin-kanzen frequency:top1k complexity:standard
