#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition

日本およびアメリカが協力する。	にほんおよびあめりかがきょうりょくする。	Japan and America cooperate.	Formal conjunction	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Formal listing	Official context	ならびに	[sound:2052394fe22b.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
男性および女性が対象である。	だんせいおよびじょせいがたいしょうである。	Men and women are the target.	Inclusive listing	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Enumeration	Gender context	ならびに	[sound:48d1d523093d.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
技術および知識が必要だ。	ぎじゅつおよびちしきがひつようだ。	Technology and knowledge are necessary.	Resource listing	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Requirement enumeration	Skills context	ならびに	[sound:ef75db94181b.mp3]	module:04-n2 jlpt:n2 point:および complexity:intro frequency:top10k source:shin-kanzen
北海道および沖縄を訪問した。	ほっかいどうおよびおきなわをほうもんした。	We visited Hokkaido and Okinawa.	Location listing	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Geographic enumeration	Travel context	ならびに	[sound:e58eba2151ec.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
学生および教員が参加する。	がくせいおよびきょういんがさんかする。	Students and faculty participate.	Group listing	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Participant enumeration	Academic context	ならびに	[sound:9c027e02e4c9.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top10k source:shin-kanzen
経済および社会的問題がある。	けいざいおよびしゃかいてきもんだいがある。	There are economic and social issues.	Multi-faceted problems	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Dual aspect	Issue context	ならびに	[sound:1e9675ed206f.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:top5k source:shin-kanzen
製造および販売業務を担当する。	せいぞうおよびはんばいぎょうむをたんとうする。	I handle manufacturing and sales operations.	Dual responsibility	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Function listing	Business context	ならびに	[sound:f2e22f571de0.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
公開および非公開セッションがある。	こうかいおよびひこうかいせっしょんがある。	There are public and private sessions.	Session types	N₁ + および + N₂ (formal written "and"; exhaustive listing)	Distinction listing	Event context	ならびに	[sound:c9b2abed4c02.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
日本並びにアメリカが同意した。	にほんならびにあめりかがどういした。	Japan as well as America consented.	Formal agreement listing	N₁ + ならびに + N₂ (formal "and / as well as"; written administrative)	Formal conjunction	Official context	および	[sound:1f681aa6bcef.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
政治並びに経済の改革が必要。	せいじならびにけいざいのかいかくがひつよう。	Reform in both politics and economics is necessary.	Dual reform	N₁ + ならびに + N₂ (formal "and / as well as"; written administrative)	Parallel listing	Policy context	および	[sound:337c7ade45ea.mp3]	module:04-n2 jlpt:n2 point:および complexity:standard frequency:low source:shin-kanzen
