#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast

彼は毎日勉強しているのに、試験に落ちた。	-のに	-けども	のに	-のに = result contradicts expectation	Result contradicts expectation; consequence surprising.	[sound:86c9947573f1.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top5k source:shin-kanzen
実は値段は高いとはいえ、品質は最高だ。	-とはいえ	-にもかかわらず	とはいえ	-とはいえ acknowledges concession	Acknowledges point but continues despite it.	[sound:5f71de23367d.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:low source:shin-kanzen
新しいというものの、実用性が疑わしい。	-というものの	-ながらも	というものの	-というものの = stated quality is questionable	Stated quality is acknowledged as insufficient.	[sound:577852f37ef2.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:low source:shin-kanzen
雨が降っているものの、野球は続く。	-ものの	-のに	ものの	-ものの = weather acknowledged but play continues	Weather/condition conceded; action continues.	[sound:1e175bbaf5b6.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は若いながらも、経験が豊かだ。	-ながらも	-というものの	ながらも	-ながらも = age acknowledged with experience	Difficulty with desire; opposition with action.	[sound:f3579cf87c72.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
貧困にもかかわらず、彼は成功した。	-にもかかわらず	-のに	にもかかわらず	-にもかかわらず = formal obstacle overcome	Formal obstacle overcome; warning ignored.	[sound:9df1698d0d75.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:low source:shin-kanzen
高いものの、品質が良い。	-ものの	-とはいえ	ものの	-ものの = price conceded	Weather/condition conceded; action continues.	[sound:8cfc0761dfe6.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:intro frequency:low source:shin-kanzen
失敗したとしても、また挑戦する。	-たとしても	-のに	たとしても	-たとしても = hypothetical resilience	Hypothetical resilience despite condition.	[sound:df551ec9a521.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は苦手なものの、頑張っている。	-ものの	-ながらも	ものの	-ものの = difficulty conceded	Weather/condition conceded; action continues.	[sound:c3527191b4f9.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は難しいながらも、チャレンジしたい。	-ながらも	-たとしても	ながらも	-ながらも = difficulty with desire	Difficulty with desire; opposition with action.	[sound:45fbc3def859.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:low source:shin-kanzen
実は反対しながらも、協力した。	-ながらも	-というものの	ながらも	-ながらも = opposition acknowledged with action	Difficulty with desire; opposition with action.	[sound:1706eede256e.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は忙しいながらも、時間を作った。	-ながらも	-のに	ながらも	-ながらも = busyness acknowledged with action	Difficulty with desire; opposition with action.	[sound:7545c85eda1b.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は病気ながらも、仕事を続けている。	-ながらも	-にもかかわらず	ながらも	-ながらも = illness with work	Difficulty with desire; opposition with action.	[sound:4464bd87e3c8.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
頭が良いというものの、常識がない。	-というものの	-ものの	というものの	-というものの = intelligence doesn't imply sense	Stated quality is acknowledged as insufficient.	[sound:b7f5b04da628.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は楽しいというものの、疲れる。	-というものの	-ながらも	というものの	-というものの = fun doesn't prevent fatigue	Stated quality is acknowledged as insufficient.	[sound:041a01a272fd.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は計画を立てたというものの、実行できるか分からない。	-というものの	-たとしても	というものの	-というものの = plan doesn't ensure execution	Stated quality is acknowledged as insufficient.	[sound:679c52166569.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:advanced frequency:top10k source:shin-kanzen
大事だというものの、無視されている。	-というものの	-のに	というものの	-というものの = stated importance contradicts practice	Stated quality is acknowledged as insufficient.	[sound:e96683e2baab.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
実は給料が上がったとしても、幸せになれるか分からない。	-たとしても	-ものの	たとしても	-たとしても = money increase doesn't guarantee happiness	Hypothetical resilience despite condition.	[sound:57871fe51a4d.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:advanced frequency:top10k source:shin-kanzen
才能があったとしても、努力は必要だ。	-たとしても	-ながらも	たとしても	-たとしても = talent insufficient alone	Hypothetical resilience despite condition.	[sound:b0a2b852653e.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
親だとしても、完璧ではない。	-だとしても	-ものの	だとしても	-だとしても = status doesn't ensure perfection	Status doesn't ensure outcome; despite assumption.	[sound:7e6dfd76ab14.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top5k source:shin-kanzen
実は反対にもかかわらず、計画を進めた。	-にもかかわらず	-のに	にもかかわらず	-にもかかわらず = formal obstruction ignored	Formal obstacle overcome; warning ignored.	[sound:e263e5c906b5.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
警告にもかかわらず、危険な行動をした。	-にもかかわらず	-ながらも	にもかかわらず	-にもかかわらず = explicit warning ignored	Formal obstacle overcome; warning ignored.	[sound:16946c8999ce.mp3]	module:03-n3 jlpt:n3 point:ながらも complexity:standard frequency:top10k source:shin-kanzen
