#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition
#
もし雨が降ったら、家に留まります。	もしあめがふったら、いえにとどまります。	If it rains, I'll stay home.	Specific hypothetical	もし + 条件 + たら + 行動	Specific consequence	One-time scenario	ば conditional (generic)	[sound:828381bc1e9f.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top1k source:shin-kanzen
電話をかけたら、誰も出ませんでした。	でんわをかけたら、だれもでませんでした。	When I called, no one answered.	Past discovery/narrative shift	行動 + たら + 結果	What happened next	Called → found out	と conditional (automatic)	[sound:dad4e365f8a9.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top10k source:shin-kanzen
朝起きたら、外は雪だったです。	あさおきたら、そとはゆきだったです。	When I woke up this morning, it was snowing outside.	Narrative shift/discovery	時点 + たら + 発見	Temporal discovery	Woke up → saw snow	と conditional (automatic)	[sound:ff3c2055b551.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top1k source:shin-kanzen
友達に会ったら、すぐに誘ってください。	ともだちにあったら、すぐにさそってください。	If you see your friend, please invite them immediately.	Polite conditional invitation	条件 + たら + 依頼	Polite condition	If you see friend → invite	ば conditional (generic)	[sound:5e52b1c60da6.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top1k source:shin-kanzen
試験に合格したら、祝ってください。	しけんにごうかくしたら、いわってください。	If you pass the test, please congratulate me.	Polite conditional celebration	行動 + たら + 依頼	Polite consequence	Pass exam → celebrate	ば conditional (generic)	[sound:ef0097b18308.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top10k source:shin-kanzen
明日来たら、一緒に遊びましょう。	あしたきたら、いっしょにあそびましょう。	If you come tomorrow, let's play together.	Polite conditional proposal	条件 + たら + 提案	Polite proposal	If come tomorrow → play	ば conditional (generic)	[sound:c906d2929899.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top10k source:shin-kanzen
角を曲がったら、駅が見えます。	かどをまがったら、えきがみえます。	When you turn the corner, you can see the station.	Narrative shift/discovery	行動 + たら + 発見	Direction consequence	Turn corner → see station	と conditional (automatic)	[sound:cfb2001fabf8.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top1k source:shin-kanzen
このドアを開いたら、何が出ますか。	このどあをあいたら、なんがでますか。	When I open this door, what comes out?	Hypothetical result curiosity	行動 + たら + 疑問	Consequence question	Open door → what appears?	ば conditional (generic)	[sound:a7f844ff9ce7.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top10k source:shin-kanzen
冷蔵庫を見たら、牛乳がありませんでした。	れいぞうこをみたら、ぎゅうにゅうがありませんでした。	When I looked in the fridge, there was no milk.	Past discovery	確認 + たら + 発見	Temporal discovery	Checked → found out	と conditional (automatic)	[sound:7484a091f285.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top1k source:shin-kanzen
医者に行ったら、手術が必要だと言われました。	いしゃにいったら、しゅじゅつがひつようだといわれました。	When I went to the doctor, I was told surgery is necessary.	Narrative discovery	受診 + たら + 報告	Medical discovery	Went to doctor → learned surgery needed	と conditional (automatic)	[sound:4e23042a51b6.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top10k source:shin-kanzen
猫を見かけたら、教えてください。	ねこをみかけたら、おしえてください。	If you spot a cat, please let me know.	Polite conditional request	条件 + たら + 依頼	Polite request	If see cat → tell me	ば conditional (generic)	[sound:92eb83ce15b3.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:top10k source:shin-kanzen
荷物が届いたら、開けてみます。	にもつがとどいたら、あけてみます。	When the package arrives, I'll open it and see.	Temporal consequence anticipation	時点 + たら + 行動	Future action	When arrives → will open	ば conditional (generic)	[sound:ca6776808c77.mp3]	module:02-n4 jlpt:n4 point:conditional-tara complexity:standard frequency:low source:shin-kanzen
