#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Recognition

これは重要であって、無視できない。	これはじゅうようであって、むしできない。	This is important and cannot be ignored.	〜であって	N + であって + N (formal copula emphasis)	Important, not ignorable	seriousness	affirmation	[sound:de65c236023b.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
その説明は明確であって、誤解の余地がない。	そのせつめいはめいかくであって、ごかいのよちがない。	That explanation is clear and leaves no room for misunderstanding.	〜であって	Clause + であって (formal clarification)	Clear, unambiguous	explanation	affirmation	[sound:ac0ba34b3aae.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:low source:shin-kanzen
高い価値があって、軽視すべきではない。	たかいかちがあって、けいしすべきではない。	It has high value and should not be dismissed.	〜であって	N + であって (defining value)	Has worth, not dismissible	assessment	affirmation	[sound:88c9c50b8b58.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
その判断は正しかろうと、結果が重要だ。	そのはんだんはただしかろうと、けっかがじゅうようだ。	Whether that judgment is right or not, the result matters.	〜であろうと	V-plain / N + ても / のに (concessive)	Right or wrong, result counts	evaluation	concession	[sound:6bc729643a6b.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
成功しようと失敗しようと、努力が大切だ。	せいこうしようとしっぱいしようと、どりょくがたいせつだ。	Whether you succeed or fail, effort is what matters.	〜ようと	V-plain / N + ても / のに (concessive)	Success or failure, effort counts	motivation	concession	[sound:196a6f0cba5e.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
彼はやもしれない状況にいた。	かれはやもしれないじょうきょうにいた。	He was perhaps in a precarious situation.	〜やもしれない	V-plain + やもしれない (literary: perhaps)	Possibly/perhaps	uncertainty	literary	[sound:887c5d0e9101.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
その計画は失敗するやもしれない。	そのけいかくはしっぱいするやもしれない。	That plan might perhaps fail.	〜やもしれない	V-plain + やもしれない (literary possibility)	Might possibly fail	planning	literary	[sound:d385b998bcee.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top5k source:shin-kanzen
その決定は間違いに違いない。	そのけっていはまちがいにちがいない。	That decision must be wrong.	error	〜に違いない	Surely mistaken	judgment	certainty	[sound:b32e8cb6a3cc.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
彼の言葉は本心に違いない。	かれのことばはほんしんにちがいない。	His words must be his true feelings.	sincerity	〜に違いない	Must be genuine	emotion	certainty	[sound:5469ad9399c4.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
その情報は信頼できるに違いない。	そのじょうほうはしんらいできるにちがいない。	That information must be reliable.	trust	〜に違いない	Must be trustworthy	information	certainty	[sound:7b68b857d45c.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top10k source:shin-kanzen
多年の経験だけのことはある。	たねんのけいけんだけのことはある。	Years of experience surely show.	experience	〜だけのことはある	Experience evident	expertise	reciprocal	[sound:b247c72efde3.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:top5k source:shin-kanzen
その美しさだけのことはある。	そのうつくしさだけのことはある。	That beauty alone is notable.	beauty	〜だけのことはある	Indeed beautiful	aesthetics	reciprocal	[sound:7ff5d9ff9d01.mp3]	module:04-n2 jlpt:n2 point:に相違ない complexity:standard frequency:low source:shin-kanzen
