#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::03 - N3 Grammar::Cloze
#
ところで雨が降ろうとしている{{c1::ところが}}、彼は外に出た。	ところであめがふろうとしている{{c1::ところが}}、かれはそとにでた。	ところが	[sound:3d5ded99fdf3.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
ところで危うく事故に遭う{{c1::ところだった}}。	ところであやうくじこにあう{{c1::ところだった}}。	ところだった	[sound:a6ab61d73e91.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
実は上手くなったどころか、下手{{c1::になった}}。	じつはうまくなったどころか、へた{{c1::になった}}。	それどころか	[sound:65b5dc81dc60.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
実は文句を言っ{{c1::たところで}}、何も変わらない。	じつはもんくをいっ{{c1::たところで}}、なにもかわらない。	ーたところで	[sound:1dc3798da7f4.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
実は彼は来{{c1::たばかり}}だ。	じつはかれはき{{c1::たばかり}}だ。	ーたばかり	[sound:36d6145346ec.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:intro frequency:top10k source:shin-kanzen
実は彼の一言だけに、みんなが笑{{c1::った}}。	じつはかのひとことだけに、みんながわら{{c1::った}}。	ばかりに	[sound:394da3ae9c3f.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
ところで今にも壊れ{{c1::んばかり}}の古い家。	ところでいまにもこわれ{{c1::んばかり}}のふるいいえ。	-んばかりに	[sound:b4fc32124a7e.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
実は彼は遊{{c1::んでばかりいる}}。	じつはかれはあそ{{c1::んでばかりいる}}。	ーてばかりいる	[sound:2e10a75f58de.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:intro frequency:top10k source:shin-kanzen
ところでちょうど家を出{{c1::たばかりに}}、雨が降ってきた。	ところでちょうどいえをで{{c1::たばかりに}}、あめがふってきた。	ーたばかりに	[sound:5efe72d0fece.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
ところで有名な俳優{{c1::だけあって}}、演技が素晴らしい。	ところでゆうめいなはいゆう{{c1::だけあって}}、えんぎがすばらしい。	だけあって	[sound:da73760b5034.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
実は金銭的な援助{{c1::だけ}}が可能だ。	じつはきんせんてきなえんじょ{{c1::だけ}}がかのうだ。	だけだ	[sound:3882e67e6468.mp3]	module:03-n3 jlpt:n3 point:tokoro-bakari-dake complexity:standard frequency:top10k source:shin-kanzen
