#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#
#deck:Japanese Grammar (Strict)::04 - N2 Grammar::Recognition

この事実をずにはおかない、受け入れなければならない。	このじじつをずにはおかない、うけいれなければならない。	ずにはおかない = obligation forced by circumstance; ないではいられない = involuntary emotion	contrast-derived	ずにはおかない	ずにはおかない = obligation forced by circumstance; ないではいられない = involuntary emotion	ずにはおかない for external obligation	ずにはおかない vs ないではいられない	[sound:5528c24a8d13.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard confusable-with:ないではいられない frequency:low source:shin-kanzen
涙がないではいられない出る。	なみだがないではいられないでる。	ないではいられない = involuntary; ずにはおかない = external duty	contrast-derived	ないではいられない出る	ないではいられない = involuntary; ずにはおかない = external duty	ないではいられない for involuntary emotion	ずにはおかない出る vs ないではいられない出る	[sound:fa14989c7b43.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:intro confusable-with:ずにはおかない出る frequency:top10k source:shin-kanzen complexity:standard
選択肢がないから、その方法をざるを得ない使う。	せんたくしがないから、そのほうほうをざるをえないつかう。	ざるを得ない = no choice but; ずにはおかない = forced obligation	contrast-derived	ざるを得ない使う	ざるを得ない = no choice but; ずにはおかない = forced obligation	ざるを得ない for no-choice situations	ずにはおかない使う vs ざるを得ない使う	[sound:0a7edb860324.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard confusable-with:ずにはおかない使う frequency:top10k source:shin-kanzen
真実を隠しないではいられない、良心が苦しむ。	しんじつをかくしないではいられない、りょうしんがくるしむ。	ないではいられない = emotional response; ずにはおかない = external action	contrast-derived	ないではいられない	ないではいられない = emotional response; ずにはおかない = external action	ないではいられない for conscience	ずにはおかない vs ないではいられない	[sound:bafa1a230aa9.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard confusable-with:ずにはおかない frequency:low source:shin-kanzen
困難に直面してざるを得ない進む。	こんなんにちょくめんしてざるをえないすすむ。	ざるを得ない = necessity; ずにはおかない = duty-based obligation	contrast-derived	ざるを得ない進む	ざるを得ない = necessity; ずにはおかない = duty-based obligation	ざるを得ない = necessity without choice	ずにはおかない進む vs ざるを得ない進む	[sound:ad7ada9cd70b.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:intro confusable-with:ずにはおかない進む frequency:low source:shin-kanzen complexity:standard
危機(either)、冷静さが必要だ。	きき(either)、れいせいさがひつようだ。	Both work; にあっては more vivid; においては more formal	contrast-derived	(either)	Both work; にあっては more vivid; においては more formal	Both acceptable	にあっては vs においては	[sound:cf2809fa12c2.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard frequency:low source:shin-kanzen
この状況にあって、判断が難しい。	このじょうきょうにあって、はんだんがむずかしい。	にあって is more dramatic; においては is formal/official	contrast-derived	にあって	にあって is more dramatic; においては is formal/official	にあって more dynamic	にあって vs において	[sound:12a106eabfc1.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard confusable-with:において frequency:top10k source:shin-kanzen
現代社会においては、情報リテラシーが必須だ。	げんだいしゃかいにおいては、じょうほうりてらしーがひっすだ。	においては = in/within; にあっては = in the midst of	contrast-derived	においては	においては = in/within; にあっては = in the midst of	においては more formal/institutional	にあっては vs においては	[sound:e67c16cba129.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard confusable-with:にあっては frequency:top10k source:shin-kanzen
競争社会において、努力が求められる。	きょうそうしゃかいにおいて、どりょくがもとめられる。	において is standard formal; にあっては is more emphatic	contrast-derived	において	において is standard formal; にあっては is more emphatic	において standard in formal writing	にあって vs において	[sound:dc1cbf8f6716.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard confusable-with:にあって frequency:top10k source:shin-kanzen
戦争の時代にあっては、多くの人が苦しんだ。	せんそうのじだいにあっては、おおくのにんがくるしんだ。	にあっては emphasizes the vivid context; においては is neutral formal	contrast-derived	にあっては	にあっては emphasizes the vivid context; においては is neutral formal	にあっては more vivid	にあって vs においては	[sound:ef469f730f42.mp3]	module:04-n2 jlpt:n2 point:ないではいられない complexity:standard frequency:top10k source:shin-kanzen
