#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::00 - Foundation::Cloze
#
私{{c1::は}}学生です。	わたし__CLOZEれい__がくせいです。	は (topic marker); contrasts with other entities	[sound:82ed3f2dfc72.mp3]	module:00-foundation jlpt:n5 point:particles
私{{c1::が}}好きです。	わたし__CLOZEれい__すきです。	が (subject of 好き); 'I like ~' structure	[sound:ea419e596fbb.mp3]	module:00-foundation jlpt:n5 point:particles
コーヒー{{c1::が}}好きです。	こーひー__CLOZEれい__すきです。	が (object of 好き); marks the liked thing	[sound:e874ff2500aa.mp3]	module:00-foundation jlpt:n5 point:particles
学校{{c1::へ}}行きます。	がっこう__CLOZEれい__いきます。	へ (destination of motion) = に	[sound:1c6cc033d32b.mp3]	module:00-foundation jlpt:n5 point:particles
学校{{c1::に}}います。	がっこう__CLOZEれい__います。	に (location of existence); also destination	[sound:a996cebde60b.mp3]	module:00-foundation jlpt:n5 point:particles
本{{c1::を}}読みます。	ほん__CLOZEれい__よみます。	を (direct object); marks what is done to	[sound:18fa3c1db17d.mp3]	module:00-foundation jlpt:n5 point:particles
水{{c1::を}}飲む。	みず__CLOZEれい__のむ。	を (direct object); marks liquid being drunk	[sound:7f2d88cadd97.mp3]	module:00-foundation jlpt:n5 point:particles
ペン{{c1::で}}書きます。	ぺん__CLOZEれい__かきます。	で (tool/instrument); means 'with'	[sound:eaaf9e121ccd.mp3]	module:00-foundation jlpt:n5 point:particles
電車{{c1::で}}行く。	でんしゃ__CLOZEれい__いく。	で (transportation); marks method of travel	[sound:0cc2205d6c07.mp3]	module:00-foundation jlpt:n5 point:particles
友達{{c1::と}}遊ぶ。	ともだち__CLOZEれい__あそぶ。	と (with/together); marks companion	[sound:bf6c01f2cef8.mp3]	module:00-foundation jlpt:n5 point:particles
兄{{c1::と}}妹。	あに__CLOZEれい__いもうと。	と (and/with); lists two people together	[sound:a6cc87bb4042.mp3]	module:00-foundation jlpt:n5 point:particles
りんご{{c1::と}}みかん。	りんご__CLOZEれい__みかん。	と (and); lists items in a set	[sound:d8867fb0c04e.mp3]	module:00-foundation jlpt:n5 point:particles
田中さん{{c1::から}}もらった。	たなかさん__CLOZEれい__もらった。	から (from); marks source/origin	[sound:ec2b29935b7e.mp3]	module:00-foundation jlpt:n5 point:particles
月曜日{{c1::から}}始まる。	げつようび__CLOZEれい__はじまる。	から (from/since); marks starting point in time	[sound:e1f73aa963b2.mp3]	module:00-foundation jlpt:n5 point:particles
先生{{c1::に}}質問する。	せんせい__CLOZEれい__しつもんする。	に (to/dative); marks target/recipient	[sound:c0088e8775d9.mp3]	module:00-foundation jlpt:n5 point:particles
子供{{c1::に}}教える。	こども__CLOZEれい__おしえる。	に (to); marks person being taught	[sound:50623359dcfa.mp3]	module:00-foundation jlpt:n5 point:particles
明日{{c1::の}}朝。	あした__CLOZEれい__あさ。	の (possessive/attributive); links noun + noun	[sound:28c4fffab206.mp3]	module:00-foundation jlpt:n5 point:particles
私{{c1::の}}家。	わたし__CLOZEれい__いえ。	の (possessive); marks ownership	[sound:60e1e8f098d2.mp3]	module:00-foundation jlpt:n5 point:particles
毎日{{c1::の}}勉強。	まいにち__CLOZEれい__べんきょう。	の (routine); links repeated action to object	[sound:40613d472fe5.mp3]	module:00-foundation jlpt:n5 point:particles
山田さん{{c1::も}}来ました。	やまださん__CLOZEれい__きました。	も (also/too); marks additional item	[sound:6b9aebf4601a.mp3]	module:00-foundation jlpt:n5 point:particles
私{{c1::も}}学生です。	わたし__CLOZEれい__がくせいです。	も (also); marks additional identity	[sound:8a8edeac7df3.mp3]	module:00-foundation jlpt:n5 point:particles
誰{{c1::も}}来ません。	だれ__CLOZEれい__きません。	も (not…anyone); with negative = 'nobody'	[sound:e540783b775a.mp3]	module:00-foundation jlpt:n5 point:particles
日本{{c1::の}}文化。	にっぽん__CLOZEれい__ぶんか。	の (of); indicates domain/category	[sound:3b3ec6d0a05f.mp3]	module:00-foundation jlpt:n5 point:particles
去年{{c1::は}}行きませんでした。	きょねん__CLOZEれい__いきませんでした。	は (contrast in past); 'last year I didn't (but maybe other times)'	[sound:bfb065350e62.mp3]	module:00-foundation jlpt:n5 point:particles
兄{{c1::は}}医者で、弟{{c1::は}}学生だ。	あに__CLOZEれい__いしゃで、おとうと__CLOZEいち__がくせいだ。	は (contrast); lists different subjects with は	[sound:4fcc92d4a268.mp3]	module:00-foundation jlpt:n5 point:particles
田中さん{{c1::へ}}手紙を送った。	たなかさん__CLOZEれい__てがみをおくった。	へ (to person as destination); directional sense	[sound:f3d05c65114a.mp3]	module:00-foundation jlpt:n5 point:particles
一人{{c1::で}}できる。	ひとり__CLOZEれい__できる。	で (by one's self); marks manner/condition	[sound:731bfe4a03bf.mp3]	module:00-foundation jlpt:n5 point:particles
冷たい{{c1::か}}温かい{{c1::か}}？	つめたい__CLOZEれい__あたたかい__CLOZEいち__？	か (or/question); marks alternatives	[sound:bd25f1beec1c.mp3]	module:00-foundation jlpt:n5 point:particles
何{{c1::を}}食べたい？	なに__CLOZEれい__たべたい？	を (direct object); marks desired object	[sound:a726650f2f7f.mp3]	module:00-foundation jlpt:n5 point:particles
私{{c1::に}}手紙をくれた。	わたし__CLOZEれい__てがみをくれた。	に (dative); marks recipient of gift	[sound:a021c3e0b885.mp3]	module:00-foundation jlpt:n5 point:particles
