#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::09 - SFP & Aizuchi::Recognition
#
えっ	えっ	Huh? What?	surprise exclamation	えっ	marks surprise/shock	sudden surprise	vs あ	[sound:22daff09800f.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
へえ	へえ	Oh! (surprised).	mild surprise	へえ	indicates mild surprise	light interest	vs えっ	[sound:ca903eac7468.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
ひゃー	ひゃー	Wow! / Yikes!	excited exclamation	ひゃー	expresses excitement/fear	thrilled or scared	vs わー	[sound:57c2d002dcf0.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
うわ	うわ	Whoa! / Wow!	strong exclamation	うわ	expresses shock/wonder	powerful reaction	vs うわぁ	[sound:e54c732dd519.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
うわぁ	うわぁ	Wowww! (extended).	extended exclamation	うわぁ	prolonged wow expression	extended reaction	vs うわ	[sound:629998c9e55c.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
ゲッ	げっ	Ugh! (disgust).	disgust exclamation	ゲッ	expresses revulsion	gross/yuck marker	vs えっ	[sound:c3177957e1e1.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
オロオロ	おろおろ	Oh no! (flustered).	flustered exclamation	オロオロ	expresses confusion/panic	flustered state	vs あわあわ	[sound:7caf9662ae80.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
あわあわ	あわあわ	Oh gosh! (nervous).	nervous exclamation	あわあわ	indicates nervousness	anxious state	vs オロオロ	[sound:9f6e0799a1ab.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
うんと	うんと	Well, let me think.	thinking sound	うんと	marks hesitation/thinking	contemplation marker	vs えーと	[sound:37e563ecc0fa.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
えーと	えーと	Um, well... (hesitant).	hesitation sound	えーと	indicates searching for words	verbal pause	vs うんと	[sound:9ccfa57d008e.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
やった	やった	Yes! / I did it!	victory exclamation	やった	celebrates success	triumph marker	vs やりました	[sound:40816daf6c85.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
よし	よし	All right! / Let's go!	determination exclamation	よし	marks decision/readiness	commitment marker	vs よーし	[sound:add97ba54f6b.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
よーし	よーし	Allright! (extended).	extended determination	よーし	prolonged readiness	enthusiastic commitment	vs よし	[sound:023b741d596e.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
さあ	さあ	Come on! / Well then.	urging exclamation	さあ	prompts action/time passing	urgency marker	vs さあさあ	[sound:ff9f14ca0a0b.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
さあさあ	さあさあ	Come on, come on!	repeated urging	さあ(repeated)	emphasizes urgency	repeated prompting	vs さあ	[sound:6666355657f7.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
やばい	やばい	Oh no! / That's bad!	negative exclamation	やばい	expresses danger/problem	caution marker	vs えっ	[sound:626c1af47936.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
だめだ	だめだ	This won't work!	negation exclamation	だめだ	declares failure/impossibility	refusal marker	vs ダメ	[sound:c358ca83aa14.mp3]	pos:interjection register:casual module:09-sfp-aizuchi point:interjections complexity:intro source:dictionary-of-jp-grammar
