#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast
#
指導者たる者は倫理が大切。	ごとき	もしくは	たる	たる = one who is/should be	One who leads must have ethics	[sound:d553a33628a7.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:top10k complexity:standard
親たる者は責任を持つべき。	ごとき	もしくは	たる	たる = being/should be	Parent should bear responsibility	[sound:6b731213cded.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:top10k complexity:standard
愚者ごとき扱いを受けた。	たる	もしくは	ごとき	ごとき = like/as if (comparison)	Treated like a fool	[sound:bdc032a3f667.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:low complexity:intro
死神ごときものが現れた。	たる	もしくは	ごとき	ごとき = like/resembling	Something like death god appeared	[sound:2af6ab1af22e.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:top10k complexity:intro
英語もしくはフランス語で対応。	たる	ごとき	もしくは	もしくは = or/perhaps	English or perhaps French	[sound:5f2b8f1c9bdc.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:low complexity:standard
月曜もしくは火曜にお越しください。	たる	ごとき	もしくは	もしくは = or/either	Come Monday or Tuesday	[sound:5a80d5e84015.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:top5k complexity:standard
医者ないし薬剤師が対応します。	ごとき	もしくは	ないし	ないし = or/and/also	Doctor or pharmacist will handle	[sound:73aa9a6eac0f.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:low complexity:standard
午前ないし午後に来てください。	ごとき	もしくは	ないし	ないし = or/between	Come morning or afternoon	[sound:2dc1cd63a049.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:top10k complexity:standard
学者たる者は誠実でなければ。	ごとき	もしくは	たる	たる = scholar should be	Scholar should be honest	[sound:7623adff6da1.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:low complexity:standard
魔女ごとき者に従った。	もしくは	ないし	ごとき	ごとき = witch-like person	Followed a witch-like creature	[sound:977a68f054ab.mp3]	module:05-n1 jlpt:n1 register:literary point:taru-gotoki-mokushikuwa pos:expr frequency:top10k complexity:intro
