#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::05 - N1 Grammar::Cloze

その説は正確だ{{c1::ものと思われる}}。	そのせつはせいかくだ{{c1::ものとおもわれる}}。	formal report: be thought to be	[sound:98428a6a7907.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
売上は減少している{{c1::ものと考えられる}}。	うりあげはげんしょうしている{{c1::ものとかんがえられる}}。	formal judgment: is thought/considered	[sound:6a65b9bb8d3e.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
データは信頼できる{{c1::ものと判断される}}。	データはしんらいできる{{c1::ものとはんだんされる}}。	formal assessment: is judged	[sound:6e11f206e8ea.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
政策は有効である{{c1::ものと認識される}}。	せいさくはゆうこうである{{c1::ものとにんしきされる}}。	formal recognition: is recognized as	[sound:9813d641ffd9.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
結果は失敗だ{{c1::ものと考える}}。	けっかはしっぱいだ{{c1::ものとかんがえる}}。	formal thinking: I consider it to be	[sound:c8b77630b15b.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
計画は実現可能である{{c1::ものと思われる}}。	けいかくはじつげんかのうである{{c1::ものとおもわれる}}。	formal belief: is thought to be feasible	[sound:edfc7b3be754.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
成功は確実だ{{c1::ものと予想される}}。	せいこうはかくじつだ{{c1::ものとよそうされる}}。	formal prediction: is predicted	[sound:9bc89190144f.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
問題は複雑である{{c1::ものと理解される}}。	もんだいはふくざつである{{c1::ものとりかいされる}}。	formal understanding: is understood as	[sound:ffae42df250d.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
改革は必要だ{{c1::ものと認識される}}。	かいかくはひつようだ{{c1::ものとにんしきされる}}。	formal recognition: recognized as necessary.	[sound:cee0338236e8.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
新規事業は有望である{{c1::ものと思われる}}。	しんきじぎょうはゆうぼうである{{c1::ものとおもわれる}}。	formal prediction: thought to be promising.	[sound:4a553d213b21.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
その判断は妥当だ{{c1::ものと考えられる}}。	そのはんだんはだとうだ{{c1::ものとかんがえられる}}。	formal assessment: considered reasonable.	[sound:d3f588ba1d4a.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
技術は革新的だ{{c1::ものと評価される}}。	ぎじゅつはかくしんてきだ{{c1::ものとひょうかされる}}。	formal evaluation: evaluated as innovative.	[sound:1a0f4a04fb2a.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
この政策は有効である{{c1::ものと示唆される}}。	このせいさくはゆうこうである{{c1::ものとしさされる}}。	formal suggestion: suggested to be effective.	[sound:c1ac441334e7.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
状況は改善している{{c1::ものと推察される}}。	じょうきょうはかいぜんしている{{c1::ものとすいさつされる}}。	formal inference: inferred to be improving.	[sound:78d41b94c7f6.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:top10k
彼の意図は善意だ{{c1::ものと信ずる}}。	かれのいとはぜんいだ{{c1::ものとしんずる}}。	formal belief: I believe to be good.	[sound:d041a236fede.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
その提案は実現可能だ{{c1::ものと判定される}}。	そのていあんはじつげんかのうだ{{c1::ものとはんていされる}}。	formal judgment: is judged feasible.	[sound:3cd4ad4a512d.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
結果は良好である{{c1::ものと期待される}}。	けっかはりょうこうである{{c1::ものときたいされる}}。	formal expectation: expected to be good.	[sound:3cd2cada4c69.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
対策は有効だ{{c1::ものと想定される}}。	たいさくはゆうこうだ{{c1::ものとそうていされる}}。	formal assumption: assumed to be effective.	[sound:4985fa7df553.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
成果は期待以上である{{c1::ものと思われる}}。	せいかはきたいいじょうである{{c1::ものとおもわれる}}。	formal observation: thought to exceed expectations.	[sound:17a7065457d0.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
この方法は最善である{{c1::ものと判断する}}。	このほうほうはさいぜんである{{c1::ものとはんだんする}}。	formal judgment: I judge to be best.	[sound:d5c1c05c3297.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
現状は深刻である{{c1::ものと認識する}}。	げんじょうはしんこくである{{c1::ものとにんしきする}}。	formal recognition: I recognize as serious.	[sound:7f072688f6f1.mp3]	module:05-n1 jlpt:n1 point:n1-modality-stiff complexity:intro frequency:low
