#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::01 - N5 Grammar::Cloze
#
毎日{{c1::運動}}したほうがいい。	まいにち__CLOZEれい__したほうがいい。	should exercise daily	[sound:dc91bc1d93ed.mp3]	
もっと{{c1::勉強}}したほうがいい。	もっと__CLOZEれい__したほうがいい。	should study more	[sound:8df50c448acb.mp3]	
そんなことは{{c1::しないほうがいい}}。	そんなことは__CLOZEれい__。	advice against doing that	[sound:d8709f0d12e5.mp3]	
医者に{{c1::行ったほうがいい}}よ。	いしゃに__CLOZEれい__よ。	should see a doctor	[sound:442de0d2f470.mp3]	
タバコを{{c1::吸わないほうがいい}}。	たばこを__CLOZEれい__。	better not to smoke	[sound:dea5c397fb7c.mp3]	
フランス料理を{{c1::食べたことがある}}。	ふらんすりょうりを__CLOZEれい__。	tried French food before	[sound:754926b03182.mp3]	
映画館で{{c1::泣いたことがある}}。	えいがかんで__CLOZEれい__。	cried at movie before	[sound:48bd39f75191.mp3]	
雪の中で{{c1::遊んだことがない}}。	ゆきのなかで__CLOZEれい__。	never played in snow	[sound:57ebe888deb7.mp3]	
三回{{c1::失くしたことがある}}。	さんかい__CLOZEれい__。	lost it 3 times before	[sound:11546daa2a01.mp3]	
時々猫が{{c1::くることがある}}。	ときどきねこが__CLOZEれい__。	cat sometimes comes	[sound:4110b622a123.mp3]	
つい今食べた{{c1::ばかり}}です。	つついまたべた__CLOZEれい__です。	just ate a moment ago	[sound:8649ebd9546b.mp3]	
大学を卒業した{{c1::ばかり}}です。	だいがくをそつぎょうした__CLOZEれい__です。	just graduated from university	[sound:50886ceb3b98.mp3]	
新しい靴を{{c1::買ったばかり}}です。	あたらしいくつを__CLOZEれい__です。	just bought new shoes	[sound:4eadf42e7dd5.mp3]	
パーティーが{{c1::始まったばかり}}。	ぱーてぃーが__CLOZEれい__。	party just started	[sound:5242f2d111ba.mp3]	
彼が{{c1::着いたばかり}}です。	かれが__CLOZEれい__です。	he just arrived	[sound:fb4f213e5663.mp3]	
