#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::05 - N1::Production
#
Many people raise academic ability and thereby contribute to national development.	means	おおくのじんじんはがくりょくをたかめ、もってこっかのはってんにこうけんする。	多くの人々は学力を高め、もって国家の発展に貢献する。	Thereby/by means of	[sound:07f53990517e.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
We approach the goal with full force.	means	ぜんりょくをもってもくひょうたっせいにあたる。	全力をもって目標達成に当たる。	With/by means of	[sound:1b42719a38bf.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
We analyze the current situation and thereby clarify the issues.	means	げんじょうをぶんせきし、もってかだいをめいかくにする。	現状を分析し、以て課題を明確にする。	Thereby/by means of	[sound:0d1b18e76f95.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:top10k source:shin-kanzen
His conduct was criticized because it was inappropriate.	reason	かれのげんどうはふてきせつゆえに、ひはんされた。	彼の言動は不適切ゆえに、批判された。	Therefore/because	[sound:a3ccf6d5f2ee.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:top10k source:shin-kanzen
Because the explanation was unclear, misunderstanding arose.	reason	そのせつめいはふめいかくゆえ、ごかいがしょうじた。	その説明は不明確ゆえ、誤解が生じた。	Because/therefore	[sound:6834b051fcf0.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
Having achieved much, he gained trust.	reason	おおくのじっせきありてゆえに、しんらいをえた。	多くの実績ありて故に、信頼を得た。	Therefore/because of	[sound:0aa844d29c66.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
Since sales increased, bonuses are paid.	reason	うりあげがぞうかしたしたがって、ボーナスがしきゅうされる。	売上が増加したしたがって、ボーナスが支給される。	Therefore/accordingly	[sound:980e9eb7b118.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
Since the plan was changed, the schedule is also adjusted.	reason	けいかくがへんこうされたしたがって、スケジュールもちょうせいされる。	計画が変更された従って、スケジュールも調整される。	Accordingly/therefore	[sound:afc53bf2581f.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
Since grades declined, measures are necessary.	reason	せいせきがていかしたゆえにしたがって、たいさくがひつようだ。	成績が低下した故にしたがって、対策が必要だ。	Therefore/thus	[sound:d7463140cf49.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
The economy is shrinking. That's why unemployment increased.	reason	けいざいはしゅくしょうしている。それゆえしょうぎょうがふえた。	経済は縮小している。それゆえ失業が増えた。	That's why/therefore	[sound:2ed953d22f9d.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
The policy worked. Therefore, public support is high.	reason	せいさくのこうかがでた。それゆえこくみんのしじはたかい。	政策の効果が出た。其れ故国民の支持は高い。	Therefore/thus	[sound:d37ddfa39546.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
When difficulties increase, countermeasures should be considered.	condition	こんなんがますことともなれば、たいおうさくもけんとうすべきだ。	困難が増すことともなれば、対応策も検討すべきだ。	If/when	[sound:bce25834a752.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
When the environment changes, adaptation becomes necessary.	condition	かんきょうがかわることともなると、たいおうがひつようになる。	環境が変わることともなると、対応が必要になる。	When/if	[sound:a5ee3a773c6c.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
When competition intensifies, strategy revision becomes urgent.	condition	きょうそうがげっかするともなれば、せんりゃくのみなおしがきゅうむだ。	競争が激化するともなれば、戦略の見直しが急務だ。	When/if	[sound:31e61b24cde7.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:top10k source:shin-kanzen
Just then, spring's arrival began.	timing	おりしもはるのおとずれがはじまった。	折しも春の訪れが始まった。	Just when/at that moment	[sound:d4c8bf3d8bb3.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
Just then, in the midst of the meeting, urgent news arrived.	timing	おりしもかいぎのさいちゅうに、きんきゅうのしらせがはいった。	折しも会議の最中に、緊急の知らせが入った。	Just when	[sound:ce5eb8b79097.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
New technology combined with traditional methods realized innovation.	combination	あたらしいぎじゅつとじゅうらいのほうほうがあいまって、かくしんがじつげんした。	新しい技術と従来の方法が相まって、革新が実現した。	Combined with	[sound:c69f309a8b0d.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
Theory combined with experiment brought discovery.	combination	りろんとじっけんがあいまって、はっけんがもたらされた。	理論と実験が相まって、発見がもたらされた。	Combined with	[sound:10bd5b7f8ba5.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:low source:shin-kanzen
That decision is the result of his effort.	result	そのけっていはかれのどりょくのいたすところだ。	その決定は彼の努力のいたすところだ。	Result of/outcome	[sound:d818fd1e89fd.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:top10k source:shin-kanzen
Success is the fruit of years of research.	result	せいこうはたねんのけんきゅうのいたすところである。	成功は多年の研究のいたすところである。	Result of	[sound:e5343d0d85b8.mp3]	module:05-n1 jlpt:n1 point:n1-stiff-connectives complexity:standard frequency:top10k source:shin-kanzen
