#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::06 - Keigo::Recognition
よろしくお願いいたします。	よろしくおねがいいたします。	Please help me / Best regards.	ビジネス敬語	よろしく+おねがい+いたす	standard business phrase	request		[sound:e1ef2f1b2f82.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k
ご不明な点はございませんか。	ごふめいなてんはございませんか。	Are there any unclear points?	ビジネス敬語	ご不明+ございませんか	polite clarification	clarification		[sound:4ef57b12ba4a.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low
こちらこそありがとうございます。	こちらこそありがとうございます。	Thank you too (reciprocal).	ビジネス敬語	こちらこそ+ありがとう+ございます	reciprocal thanks	thanks		[sound:f7fe55ae2712.mp3]	module:06-keigo point:business-set-phrases complexity:standard
大変恐れ入りますが。	たいへんおそれいりますが。	I'm very sorry to trouble you.	ビジネス敬語	大変+恐れ入る+ます+が	emphatic polite apology	apology		[sound:de08ee67f0d7.mp3]	module:06-keigo point:business-set-phrases complexity:intro frequency:low
何かご不明な点がございましたら。	なにかごふめいなてんがございましたら。	If you have any unclear points.	ビジネス敬語	何か+ご不明+ございましたら	polite conditional	conditional		[sound:73f8368083ec.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low
こちらをご覧ください。	こちらをごらんください。	Please look at this.	ビジネス敬語	こちら+ご覧+ください	polite instruction	instruction		[sound:5ab081f46a72.mp3]	module:06-keigo point:business-set-phrases complexity:intro
ご不明な点についてお聞かせください。	ごふめいなてんについておきかせください。	Please tell me if there are unclear points.	ビジネス敬語	ご不明+について+お聞かせください	polite request	request		[sound:1dcd9fb73f3e.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low
どちらでもかまいませんが。	どちらでもかまいませんが。	Either is fine, but.	ビジネス敬語	どちら+かまう+ません+が	polite choice	choice		[sound:e0ee71d1ce16.mp3]	module:06-keigo point:business-set-phrases complexity:standard
かかる費用についてお伝えいたします。	かかるひようについておつたえいたします。	I will inform you of the costs.	ビジネス敬語	かかる+について+お伝え+いたす	formal notification	notification		[sound:1fe571a9928a.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k
こちらで異議はございませんか。	こちらでいぎはございませんか。	Do you have any objections here?	ビジネス敬語	こちら+異議+ございませんか	polite objection check	confirmation		[sound:c1dfd6745d8b.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low
今後ともよろしくお願いいたします。	こんごともよろしくおねがいいたします。	I look forward to your continued support.	ビジネス敬語	今後とも+よろしく+おねがい+いたす	future gratitude	thanks		[sound:540b54a457cd.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k
別途ご連絡させていただきます。	べっとごれんらくさせていただきます。	I will contact you separately.	ビジネス敬語	別途+ご連絡+させていただく	polite future action	action		[sound:2cc2f3462399.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top5k
お時間をいただきありがとうございます。	おじかんをいただきありがとうございます。	Thank you for your time.	ビジネス敬語	お時間+いただく+ありがとう+ございます	time gratitude	thanks		[sound:51f917b4c3d4.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top1k
こちらはいかがでしょうか。	こちらはいかがでしょうか。	How about this one?	ビジネス敬語	こちら+いかが+でしょう+か	polite presentation	inquiry		[sound:45f2448d7fa9.mp3]	module:06-keigo point:business-set-phrases complexity:standard
よろしければこちらをご確認ください。	よろしければこちらをごかくにんください。	If you like, please check this.	ビジネス敬語	よろしければ+こちら+ご確認+ください	polite conditional request	request		[sound:127dc75305e4.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top10k
返信いただきありがとうございます。	へんしんいただきありがとうございます。	Thank you for your reply.	ビジネス敬語	返信+いただく+ありがとう+ございます	email thanks	thanks		[sound:ea7fffadd984.mp3]	module:06-keigo point:business-set-phrases complexity:standard
お忙しい中ありがとうございました。	おいそがしいなかありがとうございました。	Thank you very much despite your busy time.	ビジネス敬語	お忙しい中+ありがとう+ございました	gratitude acknowledgment	thanks		[sound:3e19399820fc.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top1k
いただきましたご指摘について。	いただきましたごしてきについて。	Regarding the feedback I received.	ビジネス敬語	いただいた+ご指摘+について	acknowledging feedback	acknowledgment		[sound:5d07905d11b8.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low
ご質問ありがとうございます。	ごしつもんありがとうございます。	Thank you for your question.	ビジネス敬語	ご質問+ありがとう+ございます	question thanks	thanks		[sound:c9bff42bb014.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:top1k
この度はご対応ありがとうございました。	このどはごたいおうありがとうございました。	Business: thank you for response this time.	ビジネス敬語	この度+ご対応+ありがとう	formal thanks	thanks		[sound:e7cd06e6a448.mp3]	module:06-keigo point:business-set-phrases complexity:standard frequency:low
