#separator:tab
#html:true
#columns:Text	Reading	Hint	Audio	Tags
#notetype:Cloze
#deck:Japanese Grammar::02 - N4 Grammar::Cloze

子どもは医者に予防接種をさせ{{c1::られた}}。	こどもはいしゃによぼうせっしゅをさせ{c1::られた}.	forced vaccination	[sound:ab9586244d47.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top10k complexity:standard
労働者は長時間働か{{c1::された}}。	ろうどうしゃはちょうじかんはたらか{c1::された}.	forced labor	[sound:b27bad4b2589.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top10k complexity:intro
私は母に掃除させ{{c1::られている}}。	わたしはははにそうじさせ{c1::られている}.	forced cleaning	[sound:62e341015293.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top1k complexity:intro
選手は練習をさせ{{c1::られた}}。	せんしゅはれんしゅうをさせ{c1::られた}.	forced practice	[sound:f4cf1917a9d2.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top10k complexity:intro
生徒たちは宿題をさせ{{c1::られている}}。	せいとたちはしゅくだいをさせ{c1::られている}.	forced homework	[sound:8cc5a711266e.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top1k complexity:intro
彼は毎日報告書を書か{{c1::されている}}。	かれはまいにちほうこくしょをかか{c1::されている}.	forced reports	[sound:60c8ee40abc8.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top10k complexity:intro
社員は家で待た{{c1::されてしまった}}。	しゃいんはいえでまた{c1::されてしまった}.	regrettable waiting	[sound:a414e16d6df0.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top1k complexity:intro
患者は新薬を飲ませ{{c1::られた}}。	かんじゃはしんやくをのませ{c1::られた}.	forced medicine	[sound:c08c3822caca.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top10k complexity:intro
兵士は行進させ{{c1::られた}}。	へいしはこうしんさせ{c1::られた}.	forced march	[sound:956c9435318a.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:low complexity:intro
生徒は教室で立た{{c1::された}}。	せいとはきょうしつでたた{c1::された}.	forced standing	[sound:fb7f69e2d964.mp3]	module:02-n4 jlpt:n4 point:causative-passive frequency:top1k complexity:intro
