#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::04 - N2 Grammar::Recognition
#
田中に報告させた。		I made Tanaka report	contrast-derived	させた	I made Tanaka report	させた = I caused action, させられた = I was forced	させた vs させられた	[sound:3474262238f2.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:させられた frequency:top10k source:shin-kanzen
私は田中に報告させられた。		I was made to report to Tanaka	contrast-derived	させられた	I was made to report to Tanaka	させられた = I was forced, させた = I caused	させられた vs させた	[sound:0be7ec903c96.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:させた frequency:top10k source:shin-kanzen
親に勉強させた。		I made child study	contrast-derived	させた	I made child study	させた = I imposed, させられた = I was forced	させた vs させられた	[sound:e4358f8c3698.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:させられた frequency:top5k source:shin-kanzen
親に勉強させられた。		I was made by parents to study	contrast-derived	させられた	I was made by parents to study	させられた = passive, させた = active	させられた vs させた	[sound:be024cf0de7d.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:させた frequency:top5k source:shin-kanzen
食べさせてもらった。		casual allowed to eat	contrast-derived	てもらった	casual allowed to eat	てもらう = casual, ていただく = formal humble	てもらった vs ていただいた	[sound:f62003c21005.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:ていただいた source:shin-kanzen
食べさせていただいた。		formal humble allowed to eat	contrast-derived	ていただいた	formal humble allowed to eat	ていただく = formal humble, てもらう = casual	ていただいた vs てもらった	[sound:7cb8940415d0.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:てもらった source:shin-kanzen
成功とは何か。		definition query formal	contrast-derived	とは	definition query formal	とは = definition, というのは = explanation	とは vs というのは	[sound:1f0998846879.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:というのは frequency:top10k source:shin-kanzen
成功というのは何か。		explanation query	contrast-derived	というのは	explanation query	というのは = explanation, とは = definition	というのは vs とは	[sound:5c29959fb1a8.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:とは frequency:top10k source:shin-kanzen
彼が来ないとは驚きだ。		unexpected fact	contrast-derived	とは	unexpected fact	とは = surprising, ということで = consequence	とは vs ということで	[sound:838467ae2714.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:ということで frequency:top10k source:shin-kanzen
彼が来ないということで、会議は延期だ。		consequence from fact	contrast-derived	ということで	consequence from fact	ということで = result, とは = statement	ということで vs とは	[sound:083d55ab31dd.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:とは frequency:top10k source:shin-kanzen
先生に手伝わせる。		I make teacher help	contrast-derived	わせる	I make teacher help	わせる = causative, わされる = passive	わせる vs わされる	[sound:0b0b2b18d5ce.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:わされる frequency:top1k source:shin-kanzen
先生に手伝わされる。		I'm made by teacher to help	contrast-derived	わされる	I'm made by teacher to help	わされる = causative passive, わせる = causative	わされる vs わせる	[sound:4a5f6e4b056f.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:わせる frequency:top1k source:shin-kanzen
彼は優秀だとは限らない。		negation of assumption	contrast-derived	とは限らない	negation of assumption	とは限らない = not necessarily, というわけではない = doesn't mean	とは限らない vs というわけではない	[sound:e68a9cd0557d.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:というわけではない frequency:top10k source:shin-kanzen
彼は優秀だというわけではない。		negation of implication	contrast-derived	というわけではない	negation of implication	というわけではない = not necessarily, とは限らない = not always	というわけではない vs とは限らない	[sound:f7b119ead86c.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:とは限らない frequency:top10k source:shin-kanzen
給料は安いとは言うものの、やりがいがある。		concessive but	contrast-derived	とは言うものの	concessive but	とは言うものの = concession, ということで = consequence	とは言うものの vs ということで	[sound:f141871acc69.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:ということで frequency:top10k source:shin-kanzen
時間がないということで、中止になった。		consequence-based decision	contrast-derived	ということで	consequence-based decision	ということで = result, とは言うものの = concession	ということで vs とは言うものの	[sound:ef6cafac1289.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:とは言うものの frequency:top10k source:shin-kanzen
彼は好人物とは言いがたい。		hard to affirm statement	contrast-derived	とは言いがたい	hard to affirm statement	とは言いがたい = hard to say yes, とは限らない = not necessarily	とは言いがたい vs とは限らない	[sound:790534b54e8e.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:standard confusable-with:とは限らない frequency:top10k source:shin-kanzen
彼は好人物とは限らない。		possibility negation	contrast-derived	とは限らない	possibility negation	とは限らない = not necessarily, とは言いがたい = difficult affirmation	とは限らない vs とは言いがたい	[sound:551cb531286d.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:とは言いがたい frequency:top10k source:shin-kanzen
彼に仕事を任させた。		I entrusted work to him	contrast-derived	わせた	I entrusted work to him	わせた = I caused, わされた = I was forced	わせた vs わされた	[sound:6357bf63c1c0.mp3]	module:04-n2 jlpt:n2 point:passive-discourse complexity:intro confusable-with:わされた frequency:top5k source:shin-kanzen
