#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::04 - N2 Grammar::Contrast

今、受け入れざるをえない。	ないわけにはいかない	なければならない	ざるをえない	ざるをえない = have no choice but to	No choice but to accept now	[sound:2ad27aa76ca5.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:low complexity:intro source:shin-kanzen
その提案を受けざるをえなかった。	ないわけにはいかない	なければならない	ざるをえない	ざるをえない = reluctant necessity	Had no choice but to accept offer	[sound:d8b0e6fd7f3e.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:top10k complexity:standard source:shin-kanzen
これは受け入れないわけにはいかない。	ざるをえない	なければならない	ないわけにはいかない	ないわけにはいかない = can't avoid/cannot not	Cannot avoid accepting this	[sound:8ea016f74103.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:low complexity:standard source:shin-kanzen
親孝行しないわけにはいかない。	ざるをえない	なければならない	ないわけにはいかない	ないわけにはいかない = have to inevitably	Can't help but be filial	[sound:9a3554f797ad.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:low complexity:standard source:shin-kanzen
毎日運動しなければならない。	ざるをえない	ないわけにはいかない	なければならない	なければならない = must/have to (basic obligation)	Must exercise every day	[sound:38b9ed125d67.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:top5k complexity:standard source:shin-kanzen
締め切りまでに終わらせなければならない。	ざるをえない	ないわけにはいかない	なければならない	なければならない = necessary/obligatory	Must finish by deadline	[sound:1de16b992a94.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:low complexity:standard source:shin-kanzen
状況を見てざるをえず判断した。	ないわけにはいかない	なければならない	ざるをえない	ざるをえない = forced/unavoidable	Was forced to judge by situation	[sound:d5aeac7fe026.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:top10k complexity:standard source:shin-kanzen
謝らないわけにはいかなかった。	ざるをえない	なければならない	ないわけにはいかない	ないわけにはいかない = inescapable	Had to apologize	[sound:c77870343cbe.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr complexity:standard source:shin-kanzen
約束を守らなければならないだろう。	ざるをえない	ないわけにはいかない	なければならない	なければならない = obligation/duty	Must probably keep promise	[sound:be6346d5e4ae.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:top5k complexity:standard source:shin-kanzen
その事実を認めざるをえなかった。	ないわけにはいかない	なければならない	ざるをえない	ざるをえない = had to admit reluctantly	Had to admit that fact	[sound:e51d8e6f5014.mp3]	module:04-n2 jlpt:n2 register:formal point:ないわけにはいかない pos:expr frequency:top10k complexity:standard source:shin-kanzen
