#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar (Strict)::02 - N4 Grammar::Recognition

あいつは必ず来るにちがいない	あいつはかならずくるにちがいない	He will certainly come.	-にちがいない	V-plain + に違いない	prediction			[sound:cfdf565be43d.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:standard frequency:top5k source:shin-kanzen
これは間違いなく最高傑作にちがいない	これはまちがいなくさいこうけっさくにちがいない	This is undoubtedly a masterpiece.	-にちがいない	V-plain + に違いない	inference			[sound:9d36002afb57.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:standard frequency:low source:shin-kanzen
雨が降るにちがいない	あめがふるにちがいない	It will definitely rain.	-にちがいない	V-plain + に違いない	prediction			[sound:d2a7d2ac401c.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top1k source:shin-kanzen
彼は忙しいにちがいない	かれはいそがしいにちがいない	He must be busy.	-にちがいない	V-plain + に違いない	inference			[sound:7b55b68fe3d7.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top5k source:shin-kanzen
誰かが来たにちがいない	だれかがきたにちがいない	Someone definitely came.	-にちがいない	V-plain + に違いない	inference			[sound:1b7ac3c69efe.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top10k source:shin-kanzen
それは違うにちがいない	それはちがうにちがいない	That must be wrong.	-にちがいない	V-plain + に違いない	inference			[sound:08617ade0229.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top1k source:shin-kanzen
田中さんは来るはずだ	たなかさんはくるはずだ	Tanaka should come (as expected).	-はずだ	V-plain / N + の + はずだ	expectation			[sound:383f96e8f1bd.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top10k source:shin-kanzen
昨日届くはずだった	きのうとどくはずだった	It was supposed to arrive yesterday.	-はずだった	supposed to / past expectation	expectation			[sound:3e2e5fe62024.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top10k source:shin-kanzen
完成するはずだ	かんせいするはずだ	It's supposed to be completed.	-はずだ	V-plain / N + の + はずだ	expectation			[sound:4e33097d9997.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top10k source:shin-kanzen
すぐに着くはずだ	すぐにつくはずだ	It should arrive soon.	-はずだ	V-plain / N + の + はずだ	expectation			[sound:372bda617596.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top1k source:shin-kanzen
これで終わるはずだった	これでおわるはずだった	This was supposed to end it.	-はずだった	supposed to / past expectation	expectation			[sound:db190e193def.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro source:shin-kanzen
天気が良くなると思う	てんきがよくなるとおもう	I think the weather will improve.	-と思う	V-plain / N + だろう / でしょう (conjecture)	opinion			[sound:b365e600edb0.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top5k source:shin-kanzen
彼は優秀だと思われる	かれはゆうしゅうだとおもわれる	He is thought to be excellent.	-と思われる	V-plain + らしい (hearsay / passive inference)	inference			[sound:da2edc7a0041.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top10k source:shin-kanzen
これは間違いだと見られる	これはまちがいだとみられる	This appears to be a mistake.	-と見られる	V-plain + と見られる (passive inference)	inference			[sound:9113ceefb368.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:standard frequency:top10k source:shin-kanzen
雨が降ると思う	あめがふるとおもう	I think it will rain.	-と思う	V-plain / N + だろう / でしょう (conjecture)	opinion			[sound:e614e993e8a8.mp3]	module:02-n4 jlpt:n4 point:はずだ complexity:intro frequency:top5k source:shin-kanzen
